Alaska December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,18.8
198502,-0.2
198503,12.8
198504,12.6
198505,35.9
198506,46.8
198507,53.4
198508,49.0
198509,39.7
198510,20.7
198511,8.7
198512,17.3
198601,5.8
198602,10.7
198603,8.1
198604,16.9
198605,36.9
198606,50.0
198607,53.2
198608,47.6
198609,41.6
198610,25.9
198611,10.9
198612,15.5
198701,8.6
198702,8.3
198703,13.3
198704,22.7
198705,38.4
198706,49.0
198707,53.7
198708,51.1
198709,38.7
198710,30.2
198711,12.2
198712,4.2
198801,7.6
198802,8.9
198803,13.8
198804,24.8
198805,40.3
198806,50.2
198807,54.5
198808,49.8
198809,39.9
198810,20.6
198811,5.3
198812,9.8
198901,-11.9
198902,14.8
198903,10.8
198904,28.4
198905,37.4
198906,49.7
198907,54.5
198908,52.7
198909,43.5
198910,26.0
198911,4.1
198912,11.2
199001,-1.5
199002,-11.4
199003,15.8
199004,29.8
199005,42.7
199006,50.8
199007,55.3
199008,52.2
199009,40.1
199010,24.0
199011,4.7
199012,2.2
199101,4.0
199102,4.5
199103,12.0
199104,26.8
199105,40.7
199106,51.5
199107,52.3
199108,48.6
199109,43.4
199110,26.6
199111,9.9
199112,3.3
199201,6.5
199202,0.3
199203,12.8
199204,22.6
199205,33.9
199206,50.6
199207,54.6
199208,49.6
199209,31.6
199210,20.9
199211,13.8
199212,3.2
199301,3.2
199302,10.6
199303,16.7
199304,30.4
199305,42.2
199306,51.5
199307,56.8
199308,50.1
199309,39.7
199310,29.9
199311,15.8
199312,11.9
199401,7.4
199402,4.1
199403,9.0
199404,25.6
199405,40.3
199406,49.4
199407,54.4
199408,51.8
199409,39.8
199410,22.8
199411,6.9
199412,2.8
199501,5.0
199502,8.4
199503,6.5
199504,30.0
199505,42.7
199506,49.8
199507,53.8
199508,49.6
199509,45.9
199510,27.0
199511,9.0
199512,5.6
199601,-2.4
199602,4.0
199603,17.7
199604,23.7
199605,40.4
199606,49.6
199607,53.6
199608,47.4
199609,37.3
199610,17.1
199611,11.6
199612,0.9
199701,-0.3
199702,15.1
199703,7.7
199704,27.5
199705,41.0
199706,52.2
199707,55.4
199708,52.2
199709,44.6
199710,20.3
199711,18.1
199712,3.7
199801,0.6
199802,10.4
199803,20.2
199804,30.6
199805,39.2
199806,49.9
199807,54.8
199808,47.7
199809,41.6
199810,27.4
199811,15.0
199812,3.8
199901,-3.3
199902,-3.7
199903,9.1
199904,23.6
199905,37.4
199906,51.0
199907,53.2
199908,51.1
199909,41.9
199910,22.8
199911,8.0
199912,-2.6
200001,0.7
200002,16.2
200003,17.2
200004,24.5
200005,35.4
200006,51.2
200007,51.8
200008,47.4
200009,38.6
200010,24.8
200011,18.2
200012,14.5
200101,15.7
200102,14.7
200103,12.0
200104,25.1
200105,32.7
200106,50.8
200107,52.1
200108,50.4
200109,42.4
200110,21.8
200111,9.7
200112,0.6
200201,9.5
200202,8.7
200203,15.4
200204,21.5
200205,41.1
200206,50.0
200207,53.4
200208,49.2
200209,42.7
200210,31.8
200211,24.1
200212,13.6
200301,10.2
200302,16.5
200303,11.0
200304,27.8
200305,38.4
200306,51.2
200307,53.5
200308,50.6
200309,39.0
200310,31.7
200311,14.8
200312,4.6
200401,-0.4
200402,10.1
200403,10.0
200404,28.7
200405,43.2
200406,55.1
200407,57.3
200408,55.3
200409,37.4
200410,29.5
200411,16.9
200412,8.8
200501,6.7
200502,8.0
200503,18.5
200504,24.5
200505,43.7
200506,52.5
200507,54.4
200508,52.6
200509,42.9
200510,27.4
200511,5.1
200512,13.9
200601,-4.7
200602,12.4
200603,7.7
200604,20.8
200605,40.0
200606,49.1
200607,53.0
200608,48.3
200609,44.3
200610,31.6
200611,6.2
200612,8.1
200701,5.5
200702,6.1
200703,-0.2
200704,29.9
200705,39.4
200706,51.0
200707,55.5
200708,53.2
200709,43.5
200710,25.3
200711,19.8
200712,8.0
200801,0.4
200802,1.7
200803,12.6
200804,23.0
200805,39.1
200806,48.8
200807,51.2
200808,48.4
200809,41.2
200810,18.9
200811,9.6
200812,6.0
200901,-0.2
200902,5.1
200903,7.1
200904,24.1
200905,40.4
200906,49.8
200907,56.1
200908,49.0
200909,41.6
200910,30.5
200911,7.4
200912,10.2
201001,1.5
201002,10.8
201003,9.8
201004,26.9
201005,41.3
201006,49.5
201007,52.1
201008,51.5
201009,42.8
201010,27.6
201011,17.7
201012,-2.4
201101,7.0
201102,6.0
201103,11.9
201104,23.2
201105,40.5
201106,49.8
201107,52.1
201108,49.0
201109,42.4
201110,28.5
201111,3.6
201112,9.4
201201,-12.8
201202,12.1
201203,4.3
201204,27.3
201205,37.2
201206,50.4
201207,52.0
201208,49.9
201209,40.6
201210,25.5
201211,6.0
201212,-0.8
201301,9.8
201302,6.3
201303,11.0
201304,16.7
201305,35.2
201306,53.9
201307,55.0
201308,51.4
201309,39.6
201310,34.0
201311,13.7
201312,7.0
201401,18.4
201402,6.7
201403,14.1
201404,27.4
201405,41.9
201406,48.1
201407,52.7
201408,52.0
201409,42.3
201410,25.8
201411,19.6
201412,15.0
201501,7.1
201502,12.6
201503,15.9
201504,28.2
201505,44.8
201506,52.3
201507,54.2
