Arkansas December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,32.0
198502,37.8
198503,55.5
198504,62.5
198505,68.9
198506,76.1
198507,79.9
198508,79.0
198509,71.7
198510,63.7
198511,54.2
198512,36.8
198601,41.3
198602,47.0
198603,53.9
198604,62.5
198605,69.4
198606,77.6
198607,83.5
198608,76.7
198609,75.3
198610,61.5
198611,48.5
198612,41.0
198701,38.5
198702,45.6
198703,52.0
198704,60.1
198705,73.2
198706,76.9
198707,79.6
198708,82.0
198709,72.2
198710,57.4
198711,51.6
198712,43.3
198801,34.8
198802,41.5
198803,50.5
198804,60.0
198805,68.2
198806,76.6
198807,79.6
198808,80.7
198809,73.2
198810,57.8
198811,51.4
198812,42.7
198901,44.3
198902,37.2
198903,51.3
198904,60.8
198905,67.5
198906,74.1
198907,77.6
198908,78.0
198909,69.2
198910,62.1
198911,52.5
198912,33.0
199001,45.6
199002,49.3
199003,53.4
199004,59.6
199005,66.1
199006,78.0
199007,79.9
199008,79.2
199009,75.4
199010,59.2
199011,54.7
199012,41.7
199101,37.2
199102,46.5
199103,54.2
199104,62.7
199105,72.3
199106,77.8
199107,80.6
199108,78.2
199109,71.6
199110,62.8
199111,46.6
199112,45.1
199201,40.8
199202,48.6
199203,52.6
199204,60.4
199205,66.8
199206,73.9
199207,79.3
199208,74.0
199209,70.5
199210,61.6
199211,48.2
199212,42.0
199301,39.4
199302,41.3
199303,49.0
199304,56.3
199305,67.0
199306,76.4
199307,83.2
199308,81.3
199309,70.6
199310,58.7
199311,46.0
199312,42.5
199401,36.6
199402,43.0
199403,51.9
199404,62.7
199405,66.2
199406,78.8
199407,78.1
199408,76.2
199409,70.2
199410,62.4
199411,54.2
199412,44.4
199501,41.1
199502,44.5
199503,53.5
199504,60.1
199505,68.3
199506,74.6
199507,80.0
199508,83.1
199509,70.0
199510,62.0
199511,47.8
199512,40.7
199601,38.2
199602,44.4
199603,46.2
199604,58.2
199605,72.3
199606,76.3
199607,79.2
199608,77.6
199609,70.0
199610,61.2
199611,46.6
199612,44.6
199701,38.6
199702,46.0
199703,54.8
199704,56.0
199705,65.9
199706,74.3
199707,81.3
199708,77.4
199709,73.2
199710,60.9
199711,47.1
199712,40.4
199801,44.3
199802,46.5
199803,49.6
199804,59.7
199805,72.7
199806,79.9
199807,84.0
