Colorado December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,21.6
198502,22.9
198503,35.6
198504,45.4
198505,53.7
198506,62.2
198507,67.5
198508,66.0
198509,54.3
198510,45.8
198511,30.3
198512,24.2
198601,31.7
198602,31.5
198603,40.8
198604,44.7
198605,51.5
198606,63.0
198607,66.4
198608,65.6
198609,55.2
198610,44.9
198611,34.1
198612,26.3
198701,24.9
198702,30.4
198703,32.4
198704,45.2
198705,53.0
198706,62.8
198707,67.1
198708,64.0
198709,56.7
198710,48.1
198711,34.2
198712,24.2
198801,19.0
198802,27.5
198803,32.7
198804,43.8
198805,52.4
198806,65.1
198807,67.9
198808,66.9
198809,56.3
198810,49.7
198811,34.5
198812,25.4
198901,24.9
198902,22.2
198903,39.1
198904,46.4
198905,54.2
198906,59.8
198907,68.8
198908,64.5
198909,57.6
198910,46.6
198911,36.6
198912,23.8
199001,26.4
199002,27.7
199003,36.6
199004,45.1
199005,50.5
199006,65.3
199007,66.0
199008,64.8
199009,61.2
199010,46.7
199011,36.6
199012,20.3
199101,21.9
199102,32.5
199103,34.9
199104,41.9
199105,53.5
199106,62.5
199107,66.5
199108,65.5
199109,57.5
199110,47.4
199111,30.5
199112,25.9
199201,24.7
199202,31.9
199203,38.1
199204,48.2
199205,54.6
199206,59.7
199207,64.4
199208,63.4
199209,58.6
199210,49.1
199211,28.4
199212,22.1
199301,23.7
199302,25.3
199303,36.1
199304,42.1
199305,52.6
199306,60.2
199307,66.0
199308,63.9
199309,55.3
199310,44.8
199311,29.2
199312,26.8
199401,26.8
199402,26.2
199403,38.3
199404,43.4
199405,55.3
199406,66.2
199407,67.5
199408,67.8
199409,59.1
199410,46.0
199411,32.1
199412,29.5
199501,27.0
199502,34.4
199503,36.2
199504,39.8
199505,47.2
199506,58.5
199507,65.5
199508,68.8
199509,57.4
199510,45.8
199511,38.0
199512,29.4
199601,24.4
199602,30.8
199603,33.8
199604,43.7
199605,55.5
199606,63.4
199607,68.1
199608,66.1
199609,55.7
199610,46.0
199611,34.6
199612,27.2
199701,24.7
199702,27.2
199703,38.3
199704,38.4
199705,52.6
199706,62.2
199707,67.2
199708,65.0
199709,59.8
199710,45.9
199711,32.2
199712,24.6
199801,28.2
199802,29.5
199803,33.7
199804,41.0
199805,54.4
199806,59.4
199807,69.0
199808,66.2
199809,62.5
199810,47.0
199811,37.6
199812,26.5
199901,29.8
199902,33.3
199903,39.3
199904,40.1
199905,50.4
199906,60.5
199907,68.3
199908,65.5
199909,55.4
199910,48.0
199911,41.2
199912,27.9
200001,29.1
200002,34.3
200003,36.6
200004,46.4
200005,56.1
200006,63.0
200007,69.8
200008,69.0
200009,59.4
200010,47.4
200011,27.2
200012,25.7
200101,24.7
200102,28.2
200103,36.0
200104,45.9
200105,53.9
200106,63.9
200107,70.2
200108,66.9
200109,60.3
200110,47.9
200111,37.9
200112,26.4
200201,25.4
200202,27.1
200203,32.0
200204,47.3
200205,53.4
200206,67.1
200207,71.0
200208,66.8
200209,58.4
200210,43.2
200211,33.7
200212,27.6
200301,31.6
200302,26.3
200303,36.6
200304,45.3
200305,53.8
200306,60.1
200307,72.4
200308,68.4
200309,56.7
200310,51.5
200311,33.0
200312,28.6
200401,26.2
200402,26.3
200403,41.8
200404,44.4
200405,54.8
200406,60.8
200407,65.9
200408,63.2
200409,57.7
200410,46.8
200411,33.8
200412,28.4
200501,30.2
200502,31.3
200503,35.2
200504,43.4
200505,53.2
200506,60.9
200507,70.0
200508,65.0
200509,60.2
200510,48.3
200511,37.5
200512,26.0
200601,29.9
200602,28.0
200603,34.9
200604,47.1
200605,55.6
200606,65.7
200607,69.6
200608,65.6
200609,53.5
200610,44.9
200611,36.5
200612,26.8
200701,19.4
200702,27.7
200703,40.5
200704,43.3
200705,53.5
200706,62.8
200707,69.7
200708,68.8
200709,59.7
200710,48.3
200711,38.0
200712,22.4
200801,20.9
200802,27.6
200803,33.9
200804,40.9
200805,51.0
200806,61.6
200807,69.2
200808,65.7
200809,57.3
200810,47.6
200811,38.3
200812,25.3
200901,28.3
200902,32.2
200903,37.1
200904,42.0
200905,54.5
200906,59.8
200907,66.9
200908,64.8
200909,57.6
200910,40.8
200911,37.8
200912,20.4
201001,26.1
201002,24.6
201003,35.2
201004,43.6
201005,50.1
201006,64.0
201007,68.6
201008,66.5
201009,61.2
201010,49.2
201011,33.6
201012,31.1
201101,24.0
201102,24.2
201103,37.7
201104,43.0
201105,49.3
201106,62.9
201107,70.0
201108,69.2
201109,58.5
201110,47.1
201111,34.9
201112,24.4
201201,29.4
201202,27.4
201203,41.9
201204,48.2
201205,55.4
201206,67.9
201207,70.6
201208,67.7
201209,59.5
201210,46.5
201211,39.4
201212,25.9
201301,22.9
201302,25.7
201303,35.0
201304,39.8
201305,52.8
201306,65.6
201307,68.5
201308,67.0
201309,60.7
201310,44.2
201311,35.2
201312,23.7
201401,26.4
201402,27.6
201403,36.3
201404,43.3
201405,52.4
201406,62.5
201407,68.4
201408,64.6
201409,60.0
201410,49.9
201411,33.4
201412,27.9
201501,29.2
201502,32.1
201503,40.6
201504,44.8
201505,49.8
201506,64.9
201507,66.6
201508,66.9
201509,62.6
201510,51.4
201511,34.6
201512,25.8
201601,25.6
201602,32.4
201603,37.9
201604,43.7
201605,50.8
201606,66.4
201607,69.2
201608,64.5
201609,59.7
201610,51.8
201611,40.2
201612,25.2
201701,25.3
201702,35.4
201703,42.5
201704,44.3
201705,51.5
201706,64.8
201707,69.4
201708,64.7
201709,59.1
201710,46.7
201711,41.3
201712,30.1
201801,29.7
201802,28.6
201803,37.8
201804,44.0
201805,57.2
201806,66.5
201807,70.0
201808,66.2
201809,61.9
201810,45.0
201811,32.5
201812,26.6
201901,26.0
201902,24.9
201903,33.8
201904,45.5
201905,47.9
201906,60.6
201907,69.1
201908,68.3
201909,62.9
201910,40.9
201911,35.2
201912,28.1
202001,27.4
202002,26.4
202003,38.8
202004,43.4
202005,55.6
202006,65.0
202007,69.3
202008,70.1
202009,58.8
202010,47.1
202011,38.5
202012,26.7
202101,26.7
202102,24.8
202103,35.8
202104,43.1
202105,52.9
202106,65.7
202107,70.0
202108,67.4
202109,62.4
202110,47.8
202111,40.7
202112,32.4
202201,26.7
202202,25.1
202203,35.1
202204,43.9
202205,53.4
202206,64.4
202207,70.4
202208,67.8
202209,62.5
202210,47.7
202211,31.6
202212,25.7
202301,24.1
202302,25.4
202303,30.9
202304,41.6
202305,54.7
202306,60.0
202307,69.4
202308,67.8
202309,60.7
202310,48.2
202311,37.4
202312,30.8
202401,25.3
202402,32.9
202403,36.9
