Connecticut December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,21.8
198502,29.1
198503,39.0
198504,49.0
198505,59.0
198506,62.4
198507,70.5
198508,68.6
198509,62.6
198510,51.8
198511,42.8
198512,27.3
198601,27.4
198602,25.7
198603,37.4
198604,48.9
198605,59.1
198606,64.4
198607,70.2
198608,67.0
198609,60.2
198610,51.0
198611,38.3
198612,32.3
198701,25.5
198702,26.3
198703,38.3
198704,48.2
198705,57.7
198706,67.3
198707,72.3
198708,67.3
198709,61.2
198710,48.2
198711,41.0
198712,32.6
198801,22.4
198802,28.2
198803,37.1
198804,45.6
198805,57.6
198806,65.4
198807,73.1
198808,72.4
198809,60.4
198810,46.6
198811,42.0
198812,29.1
198901,30.1
198902,27.7
198903,36.1
198904,44.9
198905,57.9
198906,66.9
198907,70.4
198908,69.2
198909,62.3
198910,51.8
198911,40.1
198912,17.9
199001,34.3
199002,32.6
199003,38.6
199004,47.2
199005,54.6
199006,66.5
199007,71.5
199008,70.5
199009,61.3
199010,55.9
199011,43.5
199012,36.3
199101,26.7
199102,32.9
199103,39.4
199104,50.6
199105,62.6
199106,68.0
199107,71.6
199108,70.7
199109,60.8
199110,53.0
199111,42.1
199112,33.1
199201,28.3
199202,29.8
199203,33.6
199204,44.3
199205,56.6
199206,64.3
199207,68.4
199208,67.1
199209,61.2
199210,48.1
199211,39.7
199212,30.8
199301,29.3
199302,23.1
199303,33.1
199304,47.4
199305,59.2
199306,66.3
199307,72.5
199308,71.2
199309,61.8
199310,48.8
199311,40.7
199312,30.4
199401,18.7
199402,22.8
199403,35.2
199404,48.9
199405,56.0
199406,68.8
199407,75.0
199408,68.4
199409,61.5
199410,50.7
199411,45.2
199412,35.1
199501,32.3
199502,25.8
199503,39.3
199504,45.3
199505,55.7
199506,67.0
199507,73.8
199508,70.3
199509,60.5
199510,54.5
199511,37.8
199512,26.1
199601,25.2
199602,27.4
199603,33.4
199604,46.5
199605,55.8
199606,67.1
199607,69.4
199608,69.8
199609,62.3
199610,50.3
199611,37.4
199612,35.9
199701,26.9
199702,33.9
199703,35.8
199704,45.2
199705,54.2
199706,66.3
199707,70.8
199708,68.4
199709,61.6
199710,50.0
199711,38.6
199712,32.0
199801,33.1
199802,35.2
199803,39.3
199804,48.6
199805,61.0
199806,65.2
199807,71.2
199808,71.6
199809,64.2
199810,51.8
199811,41.3
199812,36.6
199901,27.4
199902,31.7
199903,37.4
199904,47.9
199905,58.5
199906,68.8
199907,74.8
199908,69.8
199909,64.6
199910,50.1
199911,45.4
199912,33.8
200001,24.6
200002,31.3
200003,41.9
200004,46.1
200005,57.9
200006,66.0
200007,67.8
200008,67.9
200009,61.2
200010,51.1
200011,40.5
200012,26.1
200101,25.8
200102,29.5
200103,34.1
200104,47.9
200105,58.9
200106,68.1
200107,68.2
200108,72.8
200109,62.5
200110,52.7
200111,45.3
200112,37.1
200201,33.3
200202,34.1
200203,38.6
200204,50.1
200205,55.1
200206,65.5
200207,72.8
200208,71.9
200209,64.8
200210,49.6
200211,40.0
200212,29.8
200301,21.4
200302,23.8
200303,36.0
200304,44.5
200305,55.0
200306,64.7
200307,71.5
200308,72.2
200309,63.3
200310,49.3
200311,43.8
200312,32.4
200401,18.7
200402,28.5
200403,38.0
200404,48.0
200405,59.9
200406,65.0
200407,70.0
200408,69.6
200409,63.8
200410,50.9
200411,41.9
200412,30.8
200501,24.3
200502,29.7
200503,32.3
200504,49.3
200505,53.1
200506,69.6
200507,72.4
200508,73.0
200509,66.0
200510,52.7
200511,43.0
200512,28.7
200601,33.7
200602,29.5
200603,36.7
200604,49.0
200605,57.2
200606,67.1
200607,74.1
200608,69.8
200609,61.2
200610,51.0
200611,46.3
200612,38.0
200701,31.3
200702,23.3
200703,35.1
200704,44.8
200705,59.6
200706,66.6
200707,70.9
200708,70.3
200709,64.6
200710,57.8
200711,39.9
200712,30.2
200801,29.7
200802,29.8
200803,36.5
200804,49.6
200805,55.1
200806,68.6
200807,73.3
200808,67.8
200809,63.3
200810,50.0
200811,40.5
200812,32.2
200901,21.0
200902,30.2
200903,36.8
200904,49.3
200905,57.8
200906,64.0
200907,68.7
200908,71.7
200909,61.0
200910,49.5
200911,46.0
200912,30.1
201001,27.0
201002,29.8
201003,43.0
201004,52.0
201005,60.9
201006,68.9
201007,75.1
201008,71.0
201009,65.6
201010,52.8
201011,41.9
201012,28.2
201101,23.2
201102,27.1
201103,37.0
201104,48.9
201105,59.7
201106,66.9
201107,74.1
201108,70.8
201109,66.4
201110,53.4
201111,45.9
201112,36.9
201201,31.7
201202,35.0
201203,45.8
201204,49.7
201205,61.6
201206,66.4
201207,74.1
201208,72.0
201209,63.3
201210,54.7
201211,39.4
201212,35.9
201301,28.8
201302,29.2
201303,36.0
201304,47.3
201305,58.2
201306,67.7
201307,75.9
201308,68.7
201309,61.4
201310,53.4
201311,39.8
201312,31.0
201401,23.6
201402,25.0
201403,30.6
201404,46.7
201405,58.3
201406,66.8
201407,71.9
201408,68.4
201409,63.6
201410,54.1
201411,39.7
201412,35.4
201501,23.3
201502,15.8
201503,31.0
201504,47.0
201505,62.7
201506,65.3
201507,72.2
201508,72.0
201509,67.8
201510,51.4
201511,46.1
201512,43.5
201601,29.7
201602,32.0
201603,43.2
201604,46.8
201605,58.4
201606,67.4
201607,74.1
201608,73.9
201609,66.2
201610,53.5
201611,43.5
201612,32.6
201701,32.7
201702,34.6
201703,33.4
201704,51.8
201705,56.7
201706,67.0
201707,71.5
201708,69.1
201709,66.0
201710,58.6
201711,41.0
201712,28.7
201801,25.4
201802,35.7
201803,36.4
201804,43.4
201805,62.2
201806,66.4
201807,74.0
201808,74.3
201809,66.1
201810,52.3
201811,39.1
201812,33.8
201901,27.0
201902,30.2
201903,35.0
201904,49.1
201905,57.1
201906,66.5
201907,74.9
201908,70.6
201909,63.2
201910,53.6
201911,38.1
201912,31.7
202001,33.0
202002,33.9
202003,41.4
202004,44.4
202005,56.4
202006,68.4
202007,75.6
202008,72.6
202009,63.5
202010,53.2
202011,45.4
202012,33.6
202101,29.2
202102,28.5
202103,39.3
202104,48.7
202105,57.8
202106,69.2
202107,71.1
202108,72.8
202109,65.2
202110,56.8
202111,41.0
202112,37.0
202201,24.2
202202,30.6
202203,39.0
202204,47.6
202205,60.7
202206,66.3
202207,74.2
202208,74.5
202209,63.6
202210,52.5
202211,45.2
202212,33.5
202301,37.2
202302,33.7
202303,38.9
202304,51.1
202305,56.8
202306,65.4
202307,74.9
202308,69.6
202309,65.3
202310,56.2
202311,39.7
202312,38.6
202401,31.3
202402,33.4
202403,42.3
