Delaware December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,28.3
198502,35.8
198503,45.9
198504,56.2
198505,64.7
198506,69.6
198507,75.4
198508,73.7
198509,68.3
198510,59.5
198511,52.8
198512,34.0
198601,33.4
198602,33.1
198603,44.8
198604,52.2
198605,65.3
198606,72.6
198607,77.4
198608,72.5
198609,67.4
198610,58.6
198611,45.5
198612,38.3
198701,31.8
198702,31.6
198703,44.5
198704,51.2
198705,63.3
198706,73.6
198707,78.6
198708,74.8
198709,68.9
198710,52.3
198711,48.5
198712,39.6
198801,28.7
198802,36.1
198803,44.2
198804,50.4
198805,62.0
198806,71.5
198807,78.3
198808,77.4
198809,65.8
198810,51.3
198811,47.3
198812,36.4
198901,37.6
198902,35.8
198903,42.6
198904,51.5
198905,61.6
198906,74.0
198907,75.2
198908,74.0
198909,68.7
198910,57.9
198911,45.8
198912,25.6
199001,41.5
199002,42.3
199003,46.8
199004,53.5
199005,61.3
199006,71.4
199007,77.0
199008,74.2
199009,66.0
199010,60.8
199011,48.9
199012,42.7
199101,35.8
199102,40.5
199103,46.2
199104,54.8
199105,68.5
199106,72.6
199107,77.1
199108,75.7
199109,67.0
199110,57.4
199111,46.7
199112,40.8
199201,36.1
199202,37.6
199203,41.4
199204,51.5
199205,58.9
199206,68.1
199207,75.8
199208,71.4
199209,67.3
199210,53.6
199211,46.8
199212,38.5
199301,38.1
199302,31.9
199303,40.0
199304,52.0
199305,63.8
199306,71.4
199307,78.7
199308,75.5
199309,68.4
199310,55.8
199311,46.6
199312,36.0
199401,28.0
199402,33.5
199403,42.8
199404,57.7
199405,59.4
199406,74.4
199407,78.3
199408,72.2
199409,66.0
199410,54.8
199411,51.1
199412,42.0
199501,38.2
199502,32.6
199503,45.9
199504,53.5
199505,61.9
199506,71.2
199507,78.2
199508,76.4
199509,68.0
199510,59.8
199511,42.6
199512,32.9
199601,32.6
199602,34.8
199603,39.6
199604,53.3
199605,60.6
199606,72.3
199607,74.2
199608,73.2
199609,68.1
199610,56.8
199611,41.5
199612,41.3
199701,34.1
199702,40.8
199703,45.5
199704,51.1
199705,59.7
199706,69.3
199707,76.1
199708,73.6
199709,67.1
199710,57.0
199711,44.8
199712,38.9
199801,41.6
199802,41.3
199803,45.7
199804,55.2
199805,64.8
199806,71.3
199807,76.0
199808,75.2
199809,71.2
199810,57.5
199811,47.1
199812,42.0
199901,38.1
199902,38.3
199903,42.2
199904,53.4
199905,63.0
199906,71.3
199907,79.2
199908,76.2
199909,68.6
199910,55.9
199911,51.4
199912,40.5
200001,33.3
200002,39.2
200003,48.7
200004,52.4
200005,64.7
200006,73.0
200007,72.8
200008,73.1
200009,66.2
200010,57.6
200011,44.6
200012,31.3
200101,33.1
200102,38.6
200103,41.2
200104,53.9
200105,63.2
200106,73.5
200107,72.9
200108,76.7
200109,66.5
200110,57.6
200111,51.5
200112,44.4
200201,40.0
200202,40.9
200203,46.4
200204,57.1
200205,62.7
200206,73.0
200207,78.0
200208,78.0
200209,70.1
200210,57.9
200211,45.8
200212,36.0
200301,29.6
200302,32.1
200303,45.1
200304,52.0
200305,59.0
200306,70.0
200307,76.3
200308,76.5
200309,69.3
200310,55.8
200311,51.5
200312,37.8
200401,28.8
200402,36.1
200403,46.1
200404,54.7
200405,69.6
200406,71.3
200407,76.1
200408,74.0
200409,69.4
200410,56.2
200411,48.6
200412,39.0
200501,34.3
200502,36.7
200503,40.1
200504,54.3
200505,58.4
200506,72.7
200507,77.9
200508,77.9
200509,71.9
200510,58.8
200511,50.1
200512,35.6
200601,42.1
200602,37.1
200603,44.6
200604,56.3
200605,63.0
200606,72.1
200607,78.3
200608,77.1
200609,66.3
200610,56.2
200611,50.9
200612,43.9
200701,40.1
200702,29.6
200703,45.2
200704,51.0
200705,64.3
200706,72.9
200707,76.1
200708,76.6
200709,70.0
200710,64.1
200711,46.4
200712,39.2
200801,36.7
200802,39.1
200803,45.7
200804,55.4
200805,60.9
200806,75.2
200807,77.4
200808,73.4
200809,69.6
200810,56.2
200811,45.4
200812,40.7
200901,30.7
200902,38.5
200903,43.3
200904,55.0
200905,63.8
200906,70.9
200907,74.5
200908,77.2
200909,66.9
200910,56.6
200911,50.6
200912,37.1
201001,33.4
201002,31.4
201003,48.1
201004,57.5
201005,66.2
201006,77.4
201007,79.9
201008,77.0
201009,71.4
201010,58.6
201011,47.5
201012,31.7
201101,30.3
201102,38.8
201103,43.9
201104,57.2
201105,66.4
201106,74.3
201107,80.6
201108,75.5
201109,70.7
201110,57.2
201111,50.8
201112,43.4
201201,39.3
201202,41.1
201203,52.4
201204,55.0
201205,67.8
201206,72.9
201207,80.9
201208,76.8
201209,68.4
201210,59.4
201211,43.5
201212,44.2
201301,37.4
201302,35.9
201303,40.5
201304,54.6
201305,63.7
201306,73.5
201307,79.2
201308,73.4
201309,66.7
201310,59.5
201311,45.1
201312,40.4
201401,30.0
201402,33.9
201403,39.6
201404,52.9
201405,64.9
201406,72.8
201407,75.8
201408,72.6
201409,69.1
201410,59.4
201411,44.6
201412,41.0
201501,32.1
201502,26.3
201503,40.0
201504,54.2
201505,67.9
201506,73.6
201507,76.9
201508,75.1
201509,72.0
201510,56.5
201511,51.6
201512,50.8
201601,34.3
201602,38.5
201603,49.7
201604,53.1
201605,61.7
201606,72.4
201607,79.6
201608,78.6
201609,72.0
201610,60.3
201611,49.0
201612,39.2
201701,39.1
201702,44.4
201703,43.8
201704,59.6
201705,62.8
201706,73.6
201707,78.4
201708,74.0
201709,69.8
201710,62.4
201711,47.5
201712,36.1
201801,32.8
201802,43.2
201803,40.5
201804,51.6
201805,68.3
201806,72.6
201807,77.2
201808,78.6
201809,73.6
201810,60.2
201811,45.7
201812,41.4
201901,35.3
201902,38.7
201903,43.2
201904,58.7
201905,66.9
201906,73.8
201907,79.8
201908,76.4
201909,71.6
201910,61.5
201911,43.6
201912,40.0
202001,40.2
202002,41.9
202003,49.5
202004,51.8
202005,60.6
202006,73.7
202007,80.7
202008,77.2
202009,68.7
202010,60.0
202011,51.8
202012,39.7
202101,36.2
202102,35.6
202103,47.6
202104,55.3
202105,63.3
202106,73.8
202107,77.7
202108,76.9
202109,70.1
202110,63.2
202111,45.1
202112,44.0
202201,31.6
202202,39.1
202203,47.2
202204,53.2
202205,65.1
202206,72.4
202207,79.0
202208,78.1
202209,69.3
202210,55.8
202211,49.8
202212,37.8
202301,43.1
202302,42.6
202303,45.4
202304,58.4
202305,61.5
202306,70.1
202307,78.4
202308,75.4
202309,69.5
202310,59.6
202311,45.8
202312,43.5
202401,37.2
202402,40.0
202403,48.5
