Florida December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,52.5
198502,60.0
198503,66.7
198504,69.4
198505,76.0
198506,81.1
198507,80.6
198508,81.2
198509,78.4
198510,76.9
198511,70.8
198512,56.3
198601,56.4
198602,62.4
198603,63.2
198604,67.4
198605,75.1
198606,80.6
198607,82.1
198608,81.2
198609,80.3
198610,74.0
198611,72.2
198612,62.6
198701,56.2
198702,59.9
198703,64.1
198704,65.0
198705,75.5
198706,80.7
198707,82.3
198708,82.9
198709,79.6
198710,68.2
198711,66.4
198712,61.2
198801,54.8
198802,57.0
198803,62.9
198804,69.6
198805,73.1
198806,79.2
198807,81.0
198808,81.6
198809,80.3
198810,70.3
198811,67.7
198812,59.1
198901,63.9
198902,61.6
198903,67.1
198904,69.7
198905,75.4
198906,80.1
198907,81.6
198908,81.7
198909,79.8
198910,72.2
198911,65.8
198912,52.6
199001,62.6
199002,65.9
199003,66.9
199004,69.1
199005,77.0
199006,80.7
199007,81.8
199008,82.2
199009,80.0
199010,74.3
199011,66.3
199012,63.1
199101,62.0
199102,61.6
199103,66.2
199104,73.3
199105,78.2
199106,79.9
199107,81.7
199108,81.7
199109,79.7
199110,72.6
199111,62.4
199112,62.1
199201,56.4
199202,61.6
199203,63.9
199204,67.9
199205,72.7
199206,79.9
199207,82.6
199208,80.6
199209,79.4
199210,70.7
199211,67.0
199212,60.6
199301,63.5
199302,58.1
199303,62.4
199304,65.9
199305,73.8
199306,80.4
199307,82.5
199308,82.2
199309,79.9
199310,73.2
199311,65.5
199312,56.2
199401,56.8
199402,63.8
199403,66.0
199404,72.1
199405,75.7
199406,80.5
199407,80.6
199408,80.2
199409,78.2
199410,73.4
199411,69.5
199412,61.8
199501,56.6
199502,58.9
199503,66.5
199504,70.4
199505,78.3
199506,79.2
199507,82.2
199508,82.4
199509,79.9
199510,75.0
199511,62.8
199512,57.3
199601,56.6
199602,58.7
199603,60.6
199604,67.8
199605,77.0
199606,79.2
199607,82.2
199608,80.6
199609,79.1
199610,72.0
199611,64.9
199612,60.0
199701,59.4
199702,64.1
199703,70.5
199704,68.3
199705,74.8
199706,78.7
199707,81.9
199708,81.5
199709,79.8
199710,72.2
199711,63.6
199712,58.9
199801,60.5
199802,60.0
199803,62.2
199804,69.7
199805,77.4
199806,84.1
199807,83.6
199808,82.7
199809,80.3
199810,75.2
199811,69.6
199812,64.6
199901,60.7
199902,61.9
199903,62.6
199904,72.8
199905,74.6
199906,79.3
199907,82.2
199908,83.1
199909,78.9
199910,73.2
199911,65.7
199912,59.0
200001,58.4
200002,60.5
200003,67.6
200004,68.1
200005,77.3
200006,80.5
200007,82.3
200008,81.7
200009,79.5
200010,70.9
200011,63.4
200012,56.7
200101,53.0
200102,65.2
200103,64.3
200104,70.0
200105,74.9
200106,80.1
200107,81.3
200108,81.4
200109,77.6
200110,71.6
200111,67.7
200112,64.1
200201,59.3
200202,59.5
200203,66.6
200204,73.6
200205,76.7
200206,79.6
200207,81.5
200208,81.1
200209,81.0
200210,76.2
200211,63.1
200212,57.3
200301,52.2
200302,61.2
200303,69.8
200304,69.4
200305,78.1
200306,80.1
200307,81.4
200308,81.1
200309,78.9
200310,73.5
200311,68.6
200312,56.1
200401,56.8
200402,59.3
200403,65.7
200404,67.4
200405,76.3
200406,81.3
200407,81.8
200408,81.4
200409,79.9
200410,74.5
200411,67.4
200412,58.0
200501,60.0
200502,60.8
200503,63.0
200504,66.7
200505,74.4
200506,79.9
200507,83.3
200508,83.2
200509,80.8
200510,73.6
200511,67.3
200512,57.0
200601,60.8
200602,58.3
200603,64.8
200604,72.4
200605,75.7
200606,80.5
200607,82.0
200608,82.8
200609,79.3
200610,72.1
200611,63.4
200612,64.2
200701,61.3
200702,58.1
200703,66.3
200704,68.4
200705,74.9
200706,80.0
200707,82.4
200708,83.7
200709,80.5
200710,76.2
200711,64.8
200712,64.4
200801,58.3
200802,63.0
200803,64.7
200804,69.5
200805,76.4
200806,80.9
200807,81.2
200808,81.3
200809,79.7
200810,71.4
200811,61.5
200812,62.0
200901,57.2
200902,57.3
200903,65.3
200904,69.6
200905,76.6
200906,81.9
200907,81.7
200908,82.1
200909,80.5
200910,75.3
200911,66.0
200912,60.4
201001,52.5
201002,52.6
201003,59.0
201004,69.7
201005,78.5
201006,83.1
201007,83.4
201008,83.5
201009,80.9
201010,72.1
201011,64.9
201012,50.1
201101,54.9
201102,61.8
201103,66.5
201104,73.0
201105,76.2
201106,82.1
201107,82.6
201108,83.7
201109,79.7
201110,70.5
201111,66.4
201112,62.8
201201,59.3
201202,64.3
201203,70.3
201204,71.2
201205,77.6
201206,79.3
201207,82.4
201208,81.5
201209,79.5
201210,73.2
201211,62.1
201212,62.0
201301,64.0
201302,61.8
201303,59.1
201304,71.4
201305,74.0
201306,81.1
201307,80.8
201308,82.2
201309,80.0
201310,74.0
201311,67.1
201312,64.7
201401,54.5
201402,62.8
201403,63.5
201404,70.5
201405,76.0
201406,80.3
