Georgia December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,40.1
198502,48.4
198503,58.3
198504,64.1
198505,70.9
198506,77.8
198507,78.5
198508,77.8
198509,72.9
198510,69.0
198511,63.2
198512,44.0
198601,44.5
198602,52.8
198603,55.9
198604,63.5
198605,71.7
198606,79.7
198607,83.4
198608,78.7
198609,75.8
198610,65.5
198611,60.7
198612,48.2
198701,44.4
198702,47.4
198703,55.0
198704,60.1
198705,72.6
198706,77.4
198707,80.5
198708,81.7
198709,74.2
198710,58.2
198711,56.8
198712,50.9
198801,41.2
198802,46.5
198803,55.1
198804,63.3
198805,68.5
198806,76.4
198807,79.4
198808,80.2
198809,74.1
198810,60.1
198811,56.7
198812,47.3
198901,51.6
198902,50.7
198903,58.2
198904,62.1
198905,68.5
198906,77.0
198907,78.9
198908,78.5
198909,73.1
198910,64.0
198911,55.6
198912,40.5
199001,51.4
199002,55.6
199003,58.9
199004,62.0
199005,70.7
199006,78.2
199007,80.7
199008,80.5
199009,75.5
199010,65.8
199011,57.0
199012,51.6
199101,47.2
199102,51.8
199103,58.1
199104,66.5
199105,73.8
199106,76.4
199107,80.3
199108,78.4
199109,74.2
199110,64.6
199111,52.2
199112,51.0
199201,46.2
199202,52.2
199203,55.2
199204,61.2
199205,67.8
199206,75.2
199207,80.2
199208,77.0
199209,73.8
199210,61.9
199211,54.8
199212,47.3
199301,50.3
199302,46.6
199303,52.6
199304,59.0
199305,69.7
199306,78.1
199307,83.1
199308,80.1
199309,75.7
199310,64.0
199311,53.8
199312,45.7
199401,42.3
199402,51.6
199403,57.5
199404,65.3
199405,68.8
199406,77.6
199407,78.0
199408,77.0
199409,72.3
199410,63.6
199411,59.0
199412,50.5
199501,46.4
199502,47.9
199503,58.9
199504,64.0
199505,72.7
199506,75.4
199507,81.2
199508,80.6
199509,73.0
199510,65.5
199511,50.9
199512,45.3
199601,44.6
199602,49.1
199603,51.1
199604,60.9
199605,73.1
199606,76.7
199607,80.3
199608,77.7
199609,73.2
199610,63.1
199611,52.8
199612,49.2
199701,48.0
199702,52.0
199703,62.5
199704,60.1
199705,67.1
199706,73.5
199707,80.3
199708,77.5
199709,74.8
199710,64.1
199711,51.4
199712,47.2
199801,49.5
199802,50.3
199803,53.7
199804,62.4
199805,74.1
199806,80.9
199807,82.4
199808,79.5
199809,76.1
199810,66.8
199811,59.6
199812,53.0
199901,49.9
199902,51.7
199903,53.4
199904,67.1
199905,69.5
199906,76.3
199907,80.5
199908,82.1
199909,73.4
199910,64.4
199911,57.7
199912,47.9
200001,46.2
200002,51.6
200003,59.1
200004,60.6
200005,73.9
200006,78.0
200007,80.8
200008,79.5
200009,72.6
200010,63.7
200011,53.6
200012,40.6
200101,43.3
200102,53.6
200103,53.8
200104,64.2
200105,70.8
200106,76.4
200107,79.3
200108,79.3
200109,72.1
200110,61.7
200111,59.9
200112,52.9
200201,48.1
200202,48.4
200203,56.9
200204,67.9
200205,70.2
200206,77.4
200207,80.8
200208,79.6
200209,76.8
200210,68.2
200211,52.3
200212,45.7
200301,42.3
200302,48.9
200303,59.0
200304,62.7
200305,71.7
200306,76.1
200307,78.7
200308,79.2
200309,73.1
200310,64.4
200311,59.4
200312,44.3
200401,45.0
200402,46.1
200403,59.0
200404,62.2
200405,73.6
200406,78.1
200407,80.1
200408,77.6
200409,73.6
200410,67.7
200411,57.9
200412,46.8
200501,49.5
200502,50.9
200503,53.7
200504,60.7
200505,68.3
200506,76.6
200507,80.9
200508,80.3
200509,77.0
200510,65.8
200511,57.0
200512,44.8
200601,51.8
200602,47.4
200603,56.1
200604,67.0
200605,70.4
200606,77.4
200607,81.0
200608,81.6
200609,73.3
200610,62.5
200611,54.2
200612,51.9
200701,49.2
200702,46.7
200703,60.0
200704,60.9
200705,70.5
200706,77.7
200707,78.9
200708,83.2
200709,75.8
200710,67.8
200711,54.0
200712,52.9
200801,45.0
200802,50.8
200803,55.4
200804,62.6
200805,70.3
200806,79.4
200807,79.7
200808,78.9
200809,74.6
200810,62.4
200811,51.4
200812,51.7
200901,46.3
200902,47.7
200903,56.4
200904,61.8
200905,71.3
200906,79.8
200907,78.5
200908,78.8
200909,74.5
200910,64.1
200911,55.6
200912,46.2
201001,41.8
201002,42.1
201003,52.1
201004,64.5
201005,73.6
201006,81.0
201007,82.2
201008,82.2
201009,76.5
201010,64.8
201011,54.8
201012,39.9
201101,41.8
201102,51.1
201103,57.8
201104,65.8
201105,71.3
201106,81.1
