Iowa December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,14.0
198502,19.6
198503,40.1
198504,53.6
198505,63.2
198506,66.5
198507,72.7
198508,67.9
198509,62.7
198510,50.6
198511,28.5
198512,11.4
198601,23.2
198602,19.8
198603,39.9
198604,51.9
198605,60.9
198606,71.4
198607,75.3
198608,67.0
198609,64.7
198610,51.3
198611,31.3
198612,26.0
198701,24.4
198702,33.8
198703,40.4
198704,52.9
198705,65.3
198706,73.0
198707,76.3
198708,69.9
198709,62.8
198710,46.3
198711,41.0
198712,28.1
198801,15.6
198802,18.7
198803,37.8
198804,48.5
198805,65.2
198806,73.8
198807,75.5
198808,75.8
198809,64.7
198810,46.0
198811,37.4
198812,25.4
198901,29.1
198902,14.1
198903,33.7
198904,49.3
198905,59.1
198906,67.7
198907,75.0
198908,71.2
198909,60.5
198910,52.2
198911,33.5
198912,13.8
199001,29.7
199002,27.8
199003,39.6
199004,48.1
199005,56.4
199006,70.3
199007,72.3
199008,71.7
199009,66.2
199010,50.4
199011,41.2
199012,19.8
199101,13.4
199102,29.2
199103,39.2
199104,51.4
199105,64.2
199106,73.0
199107,73.6
199108,71.6
199109,62.4
199110,49.7
199111,28.2
199112,27.1
199201,27.2
199202,32.0
199203,39.0
199204,46.0
199205,60.1
199206,67.4
199207,68.3
199208,65.7
199209,60.8
199210,50.6
199211,33.0
199212,24.0
199301,17.6
199302,18.9
199303,31.0
199304,45.0
199305,59.2
199306,66.9
199307,71.9
199308,71.6
199309,57.4
199310,49.2
199311,33.8
199312,25.5
199401,10.5
199402,17.2
199403,38.0
199404,49.2
199405,60.6
199406,70.9
199407,70.3
199408,68.6
199409,64.3
199410,53.5
199411,39.4
199412,27.0
199501,18.3
199502,25.4
199503,37.0
199504,44.8
199505,56.5
199506,69.9
199507,73.9
199508,76.2
199509,60.2
199510,50.7
199511,30.3
199512,23.9
199601,15.8
199602,23.2
199603,29.9
199604,45.7
199605,56.4
199606,69.5
199607,70.5
199608,70.0
199609,60.7
199610,51.7
199611,29.0
199612,19.6
199701,14.6
199702,25.0
199703,37.2
199704,44.3
199705,54.2
199706,70.4
199707,73.4
199708,69.5
199709,64.2
199710,52.1
199711,32.9
199712,27.4
199801,23.5
199802,34.8
199803,32.8
199804,49.7
199805,65.0
199806,67.1
199807,73.8
199808,72.9
199809,68.2
199810,53.1
199811,40.7
199812,29.4
199901,17.0
199902,32.9
199903,36.3
199904,50.0
199905,60.5
199906,68.9
199907,76.8
199908,70.0
199909,61.3
199910,50.9
199911,44.3
199912,27.0
200001,21.6
200002,32.5
200003,43.1
200004,49.4
200005,62.8
200006,67.7
200007,72.2
200008,72.7
200009,64.6
200010,54.8
200011,32.2
200012,10.0
200101,20.8
200102,18.1
200103,30.2
200104,52.7
200105,60.9
200106,68.3
200107,75.1
200108,72.5
200109,61.2
200110,50.2
200111,48.0
200112,30.7
200201,28.6
200202,29.8
200203,31.0
200204,48.9
200205,56.8
200206,72.4
200207,76.5
200208,70.9
200209,65.3
200210,46.2
200211,34.7
200212,28.9
200301,19.1
200302,20.4
200303,35.1
200304,50.4
200305,57.9
200306,67.3
200307,73.1
200308,74.1
200309,61.1
200310,52.4
200311,35.9
200312,28.2
200401,17.7
200402,22.7
200403,40.8
200404,51.1
200405,60.7
200406,67.0
200407,70.5
200408,66.2
200409,66.4
200410,51.9
200411,40.6
200412,26.6
200501,18.9
200502,31.2
200503,36.0
200504,53.4
200505,57.8
200506,72.6
200507,74.7
200508,71.5
200509,67.6
200510,52.6
200511,39.6
200512,19.5
200601,32.4
200602,25.1
200603,36.5
200604,53.8
200605,60.6
200606,70.0
200607,75.9
200608,72.1
200609,60.0
200610,47.9
200611,39.3
200612,31.1
200701,21.6
200702,15.5
200703,41.8
200704,46.7
200705,64.7
200706,70.4
200707,73.7
200708,74.2
200709,64.7
200710,55.9
200711,37.2
200712,20.3
200801,16.6
200802,17.0
200803,32.6
200804,46.0
200805,57.4
200806,69.3
200807,73.1
200808,69.9
200809,63.5
200810,50.7
200811,37.3
200812,17.6
200901,13.2
200902,26.7
200903,37.1
200904,47.0
200905,59.8
200906,68.9
200907,68.0
200908,68.3
200909,63.3
200910,44.9
200911,43.4
200912,19.8
201001,13.6
201002,17.3
201003,38.4
201004,55.2
201005,59.9
201006,70.8
201007,74.6
201008,74.4
201009,63.1
201010,53.9
201011,38.0
201012,19.1
201101,14.8
201102,22.6
201103,35.1
201104,47.6
201105,59.1
201106,69.6
201107,78.0
201108,72.0
201109,60.2
201110,53.4
201111,39.4
201112,29.1
201201,26.5
201202,29.6
201203,51.6
201204,52.4
201205,65.0
201206,71.4
201207,79.6
201208,71.0
201209,62.1
201210,48.8
201211,39.2
201212,27.7
201301,22.0
201302,24.2
201303,29.0
201304,43.8
201305,59.0
201306,68.9
201307,72.3
201308,71.9
201309,67.0
201310,50.5
201311,33.9
201312,17.4
201401,14.2
201402,13.2
201403,29.7
201404,47.5
201405,60.0
201406,70.2
201407,68.8
201408,71.2
201409,62.0
201410,51.2
201411,29.3
201412,28.2
201501,21.6
201502,14.5
201503,37.3
201504,51.1
201505,60.0
201506,69.4
201507,72.0
201508,68.9
201509,68.4
201510,53.0
201511,42.0
201512,33.0
201601,19.6
201602,28.6
201603,42.4
201604,50.1
201605,59.5
201606,73.0
201607,72.8
201608,72.0
201609,67.3
201610,55.3
201611,45.1
201612,22.9
201701,24.2
201702,34.5
201703,37.5
201704,51.1
201705,58.5
201706,71.1
201707,74.7
201708,67.8
201709,66.7
201710,53.3
201711,36.2
201712,24.4
201801,17.8
201802,20.5
201803,35.2
201804,39.3
201805,67.0
201806,73.1
201807,73.1
201808,71.8
201809,65.9
201810,48.2
201811,30.0
201812,28.0
201901,18.7
201902,15.3
201903,31.1
201904,49.2
