Idaho December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,17.3
198502,18.6
198503,27.8
198504,43.5
198505,51.4
198506,58.6
198507,69.1
198508,60.9
198509,49.2
198510,41.2
198511,22.7
198512,15.7
198601,25.7
198602,31.1
198603,39.8
198604,41.0
198605,49.8
198606,62.2
198607,61.2
198608,66.7
198609,49.9
198610,44.9
198611,32.2
198612,24.4
198701,21.2
198702,30.0
198703,35.4
198704,47.2
198705,53.1
198706,59.8
198707,62.6
198708,61.7
198709,57.8
198710,47.2
198711,33.7
198712,24.4
198801,21.1
198802,29.4
198803,33.8
198804,44.3
198805,49.7
198806,61.9
198807,66.9
198808,64.2
198809,54.5
198810,51.4
198811,31.1
198812,21.9
198901,20.8
198902,18.9
198903,34.0
198904,44.2
198905,48.5
198906,58.3
198907,67.7
198908,61.5
198909,55.7
198910,43.6
198911,33.7
198912,26.1
199001,26.9
199002,24.9
199003,36.1
199004,46.1
199005,47.3
199006,57.2
199007,66.4
199008,64.6
199009,61.7
199010,42.7
199011,33.1
199012,14.5
199101,20.9
199102,34.4
199103,33.2
199104,39.4
199105,46.5
199106,54.7
199107,66.3
199108,67.1
199109,57.0
199110,44.3
199111,29.7
199112,25.8
199201,26.0
199202,34.4
199203,41.0
199204,45.7
199205,55.3
199206,60.4
199207,62.4
199208,64.9
199209,54.2
199210,47.2
199211,28.0
199212,20.2
199301,19.1
199302,22.5
199303,35.0
199304,39.6
199305,53.8
199306,53.6
199307,56.2
199308,59.7
199309,54.6
199310,45.1
199311,26.6
199312,25.1
199401,28.7
199402,25.2
199403,37.4
199404,43.9
199405,52.7
199406,58.4
199407,67.2
199408,67.0
199409,58.9
199410,42.8
199411,25.2
199412,24.5
199501,26.6
199502,33.3
199503,33.8
199504,39.8
199505,48.3
199506,54.4
199507,63.4
199508,62.5
199509,56.8
199510,41.5
199511,36.6
199512,26.8
199601,24.0
199602,27.0
199603,34.8
199604,41.4
199605,46.5
199606,58.3
199607,67.0
199608,64.5
199609,52.5
199610,43.4
199611,33.4
199612,25.3
199701,24.1
199702,26.8
199703,34.6
199704,38.5
199705,52.3
199706,57.2
199707,62.9
199708,65.0
199709,57.4
199710,42.8
199711,33.8
199712,23.4
199801,27.9
199802,29.4
199803,34.0
199804,41.3
199805,49.0
199806,53.6
199807,69.1
199808,67.0
199809,60.4
199810,43.3
199811,34.3
199812,22.6
199901,27.1
199902,27.0
199903,33.8
199904,38.7
199905,46.6
199906,55.6
199907,63.7
199908,65.4
199909,54.2
199910,46.2
199911,38.8
199912,25.9
200001,25.7
200002,32.0
200003,34.5
200004,45.3
200005,50.3
200006,58.6
200007,66.5
200008,66.3
200009,54.0
200010,44.1
200011,25.7
200012,24.2
200101,23.0
200102,25.1
200103,36.6
200104,40.1
200105,52.6
200106,57.4
200107,65.6
200108,68.2
200109,59.4
200110,44.6
200111,36.2
200112,22.1
200201,23.2
200202,23.9
200203,30.1
200204,41.5
200205,48.7
200206,58.8
200207,69.0
200208,61.8
200209,55.9
200210,41.0
200211,32.8
200212,28.8
200301,31.4
200302,27.1
200303,36.3
200304,40.8
200305,49.9
200306,59.1
200307,70.4
200308,67.7
200309,56.7
200310,48.7
200311,28.2
200312,28.1
200401,22.8
200402,26.3
200403,39.3
200404,44.6
200405,48.9
200406,58.4
200407,66.3
200408,63.7
200409,53.7
200410,44.6
200411,32.7
200412,28.5
200501,26.5
200502,28.5
200503,35.9
200504,41.7
200505,49.9
200506,54.3
200507,66.8
200508,64.8
200509,54.1
200510,45.5
200511,32.0
200512,23.0
200601,27.9
200602,24.4
200603,32.4
200604,42.8
200605,51.8
200606,60.6
200607,70.1
200608,63.7
200609,55.1
200610,43.0
200611,33.1
200612,25.3
200701,20.7
200702,30.8
200703,38.9
200704,43.0
200705,52.0
200706,59.6
200707,72.0
200708,65.4
200709,54.9
200710,43.1
200711,33.5
200712,23.4
200801,19.9
200802,27.6
200803,30.3
200804,36.3
200805,48.9
200806,56.3
200807,66.5
200808,64.8
200809,55.5
200810,44.5
200811,37.1
200812,22.6
200901,25.0
200902,27.6
200903,31.4
200904,40.7
200905,50.8
200906,56.3
200907,65.8
200908,63.8
200909,60.1
200910,39.5
200911,33.0
200912,19.8
201001,28.2
201002,28.9
201003,35.2
201004,40.0
201005,44.1
201006,55.5
201007,64.2
201008,62.8
201009,56.4
201010,47.5
201011,30.5
201012,26.6
201101,24.0
201102,24.3
201103,33.4
201104,36.4
201105,45.8
201106,54.0
201107,64.3
201108,66.1
201109,59.6
201110,45.4
201111,30.5
201112,24.8
201201,26.8
201202,28.0
201203,36.4
201204,44.4
201205,49.0
201206,56.9
201207,68.5
201208,67.3
201209,58.4
201210,43.7
201211,36.0
201212,25.8
201301,20.2
201302,27.5
201303,35.1
201304,40.1
201305,51.0
201306,59.3
201307,69.6
201308,67.6
201309,57.1
201310,42.1
201311,33.8
201312,21.1
201401,27.7
