Illinois December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,18.2
198502,24.4
198503,44.5
198504,56.7
198505,64.5
198506,69.1
198507,74.3
198508,70.5
198509,66.7
198510,56.2
198511,41.6
198512,20.9
198601,27.9
198602,28.3
198603,43.6
198604,55.9
198605,64.1
198606,72.9
198607,77.7
198608,69.6
198609,69.2
198610,55.2
198611,37.8
198612,31.8
198701,26.6
198702,35.6
198703,44.4
198704,53.2
198705,68.2
198706,74.6
198707,77.3
198708,74.3
198709,66.6
198710,48.7
198711,45.7
198712,33.9
198801,23.2
198802,25.9
198803,40.8
198804,52.0
198805,64.6
198806,73.6
198807,77.5
198808,78.0
198809,67.6
198810,48.7
198811,42.4
198812,31.0
198901,34.8
198902,22.3
198903,40.2
198904,51.4
198905,59.5
198906,70.5
198907,75.5
198908,72.8
198909,63.3
198910,55.8
198911,40.7
198912,18.0
199001,36.4
199002,35.5
199003,44.6
199004,50.8
199005,59.0
199006,71.9
199007,74.2
199008,72.4
199009,67.9
199010,52.8
199011,46.8
199012,30.4
199101,23.3
199102,34.2
199103,43.9
199104,56.0
199105,68.6
199106,75.1
199107,76.3
199108,74.7
199109,66.4
199110,55.6
199111,37.3
199112,33.5
199201,31.0
199202,37.2
199203,42.7
199204,51.0
199205,61.2
199206,68.8
199207,73.2
199208,68.4
199209,64.3
199210,53.5
199211,40.6
199212,30.7
199301,27.8
199302,27.0
199303,36.8
199304,49.2
199305,63.2
199306,70.5
199307,76.6
199308,74.9
199309,61.6
199310,51.8
199311,39.6
199312,31.4
199401,19.9
199402,27.1
199403,41.1
199404,53.2
199405,60.6
199406,73.8
199407,73.8
199408,70.6
199409,65.3
199410,56.4
199411,46.2
199412,35.9
199501,25.8
199502,29.8
199503,43.3
199504,50.1
199505,60.1
199506,72.3
199507,76.4
199508,78.8
199509,63.3
199510,55.4
199511,35.6
199512,28.2
199601,24.4
199602,30.4
199603,34.5
199604,48.6
199605,61.6
199606,71.5
199607,72.6
199608,73.5
199609,64.2
199610,54.8
199611,34.9
199612,30.5
199701,21.4
199702,33.6
199703,42.9
199704,47.6
199705,57.6
199706,70.6
199707,75.1
199708,71.0
199709,66.3
199710,54.9
199711,38.6
199712,32.0
199801,31.8
199802,40.0
199803,40.6
199804,52.6
199805,67.4
199806,71.8
199807,75.4
199808,74.8
199809,70.9
199810,56.6
199811,45.6
199812,35.1
199901,25.1
199902,37.4
199903,38.3
199904,54.3
199905,64.1
199906,72.2
199907,78.6
199908,71.7
199909,65.2
199910,54.5
199911,48.4
199912,32.6
200001,27.3
200002,37.4
200003,46.2
200004,51.5
200005,65.1
200006,70.3
200007,73.2
200008,74.6
200009,66.3
200010,58.0
200011,38.9
200012,17.6
200101,25.7
200102,30.9
200103,37.1
200104,57.6
200105,64.8
200106,69.8
200107,75.9
200108,74.6
200109,64.4
200110,53.8
200111,49.9
200112,35.8
200201,33.6
200202,34.6
200203,37.8
200204,53.5
200205,59.1
200206,73.9
200207,78.2
200208,75.0
200209,69.3
200210,52.1
200211,39.6
200212,32.2
200301,22.8
200302,26.4
200303,41.6
200304,53.5
200305,61.1
200306,67.9
200307,74.8
200308,75.3
200309,64.1
200310,54.5
200311,44.8
200312,33.8
200401,24.7
200402,30.0
200403,45.4
200404,54.1
200405,65.7
200406,70.0
200407,72.8
200408,68.6
200409,67.7
200410,55.4
200411,45.6
200412,31.0
200501,29.2
200502,36.1
200503,39.0
200504,55.4
200505,60.9
200506,75.0
200507,76.3
200508,75.6
200509,70.7
200510,55.7
200511,44.5
200512,26.0
200601,38.1
200602,30.9
200603,41.8
200604,57.0
200605,62.3
200606,71.4
200607,77.1
200608,74.7
200609,63.7
200610,51.3
200611,44.4
200612,35.3
200701,30.3
200702,21.7
200703,48.0
200704,50.2
200705,67.6
200706,72.7
200707,73.3
200708,78.2
200709,69.8
200710,59.9
200711,42.2
200712,30.2
200801,26.9
200802,26.0
200803,39.0
200804,51.4
200805,59.0
200806,73.2
200807,74.5
200808,71.8
200809,67.1
200810,54.2
200811,41.1
200812,26.8
200901,20.6
200902,32.5
200903,43.6
200904,51.4
200905,62.8
200906,72.7
200907,70.3
200908,70.9
200909,65.9
200910,50.1
200911,47.2
200912,29.1
201001,21.5
201002,25.7
201003,43.8
201004,58.7
201005,64.3
201006,74.9
201007,77.6
201008,76.8
201009,67.2
201010,56.5
201011,43.7
201012,24.0
201101,22.7
201102,30.2
