Indiana December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,20.2
198502,24.7
198503,43.8
198504,56.2
198505,63.6
198506,68.4
198507,73.4
198508,70.5
198509,66.0
198510,56.7
198511,45.7
198512,23.0
198601,28.1
198602,30.3
198603,42.2
198604,54.0
198605,62.8
198606,71.5
198607,76.4
198608,69.2
198609,68.4
198610,54.9
198611,39.1
198612,31.9
198701,26.9
198702,33.8
198703,43.4
198704,51.4
198705,66.7
198706,73.0
198707,75.5
198708,73.3
198709,66.6
198710,47.4
198711,45.8
198712,34.9
198801,24.0
198802,26.8
198803,40.3
198804,50.6
198805,63.1
198806,72.1
198807,76.4
198808,76.2
198809,65.5
198810,47.1
198811,42.6
198812,30.7
198901,34.7
198902,26.2
198903,40.7
198904,50.0
198905,58.1
198906,70.1
198907,74.5
198908,71.5
198909,63.2
198910,54.3
198911,40.7
198912,18.2
199001,36.6
199002,36.6
199003,44.4
199004,50.3
199005,58.6
199006,70.3
199007,72.8
199008,70.8
199009,66.3
199010,52.7
199011,46.6
199012,33.5
199101,26.3
199102,34.2
199103,43.2
199104,54.8
199105,68.3
199106,73.9
199107,75.6
199108,73.4
199109,65.4
199110,56.3
199111,38.7
199112,34.4
199201,30.4
199202,37.0
199203,41.1
199204,50.3
199205,59.6
199206,66.6
199207,72.5
199208,67.9
199209,63.7
199210,52.2
199211,42.1
199212,32.0
199301,30.3
199302,26.4
199303,37.0
199304,49.2
199305,62.2
199306,69.4
199307,76.2
199308,73.7
199309,61.5
199310,51.1
199311,41.0
199312,31.3
199401,20.2
199402,27.9
199403,39.6
199404,52.8
199405,58.4
199406,72.8
199407,73.4
199408,69.5
199409,64.3
199410,55.1
199411,46.9
199412,37.0
199501,28.1
199502,29.3
199503,43.4
199504,50.4
199505,60.1
199506,71.6
199507,75.2
199508,77.9
199509,63.2
199510,55.1
199511,36.3
199512,27.3
199601,25.2
199602,30.4
199603,34.1
199604,48.1
199605,60.8
199606,70.8
199607,71.5
199608,72.7
199609,63.9
199610,54.4
199611,35.7
199612,33.0
199701,23.1
199702,34.7
199703,42.3
199704,46.9
199705,56.2
199706,69.2
199707,73.8
199708,69.8
199709,64.8
199710,53.6
199711,38.6
199712,33.0
199801,34.8
199802,39.4
199803,41.3
199804,52.4
199805,66.4
199806,71.1
199807,73.6
199808,73.7
199809,69.6
199810,55.8
199811,44.9
199812,36.4
199901,27.0
199902,36.4
199903,36.7
199904,53.6
199905,63.6
199906,72.0
199907,77.9
199908,71.2
199909,65.6
199910,53.7
199911,47.8
199912,33.0
200001,26.6
200002,36.7
200003,45.4
200004,50.4
200005,64.2
200006,70.4
200007,71.8
200008,72.0
200009,64.4
200010,57.2
200011,40.3
200012,19.2
200101,26.9
200102,33.5
200103,37.2
200104,56.5
200105,64.0
200106,69.1
200107,73.7
200108,73.8
200109,63.6
200110,53.7
200111,49.0
200112,36.9
200201,34.1
200202,35.2
200203,38.3
200204,53.5
200205,58.4
200206,72.9
200207,77.0
200208,74.8
200209,69.2
200210,52.4
200211,39.9
200212,31.7
200301,21.6
200302,25.7
200303,42.1
200304,53.2
200305,60.5
200306,67.1
200307,73.0
200308,73.8
200309,63.4
200310,52.9
200311,46.0
200312,33.5
200401,24.5
200402,29.9
200403,44.3
200404,53.3
200405,65.9
200406,69.5
200407,72.0
200408,68.6
200409,67.1
200410,54.8
200411,45.9
200412,30.8
200501,29.9
200502,34.8
200503,37.3
200504,54.0
200505,59.2
200506,73.4
200507,75.0
200508,74.9
200509,69.2
200510,55.2
200511,44.6
200512,26.7
200601,39.1
200602,31.7
200603,40.7
200604,55.7
200605,60.1
200606,69.8
200607,75.4
200608,73.6
200609,62.5
200610,51.1
200611,44.1
200612,37.3
200701,32.2
200702,20.2
