Kansas December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,23.4
198502,28.2
198503,46.5
198504,57.5
198505,65.6
198506,71.1
198507,79.0
198508,74.6
198509,66.6
198510,55.0
198511,35.9
198512,27.0
198601,37.8
198602,35.5
198603,49.8
198604,56.9
198605,64.3
198606,75.8
198607,80.7
198608,74.4
198609,70.4
198610,55.4
198611,39.3
198612,34.0
198701,31.0
198702,40.0
198703,43.8
198704,55.0
198705,67.2
198706,74.8
198707,78.2
198708,76.0
198709,67.5
198710,53.6
198711,44.9
198712,33.4
198801,25.4
198802,32.2
198803,43.1
198804,52.4
198805,66.2
198806,77.2
198807,78.1
198808,79.2
198809,68.5
198810,53.7
198811,44.5
198812,36.3
198901,36.2
198902,24.6
198903,43.8
198904,57.2
198905,64.0
198906,69.4
198907,77.1
198908,75.0
198909,64.5
198910,57.6
198911,43.3
198912,25.0
199001,36.1
199002,36.1
199003,45.3
199004,52.7
199005,60.4
199006,76.8
199007,77.7
199008,77.0
199009,71.9
199010,56.1
199011,48.0
199012,28.0
199101,26.0
199102,41.8
199103,46.8
199104,55.8
199105,67.0
199106,76.2
199107,80.1
199108,77.0
199109,68.3
199110,56.8
199111,36.3
199112,36.3
199201,36.4
199202,41.7
199203,47.8
199204,54.6
199205,62.7
199206,68.7
199207,75.5
199208,70.9
199209,67.9
199210,56.4
199211,37.8
199212,29.5
199301,24.8
199302,28.1
199303,41.0
199304,50.0
199305,62.3
199306,71.6
199307,77.6
199308,76.9
199309,63.5
199310,53.6
199311,38.3
199312,35.5
199401,28.8
199402,29.9
199403,47.2
199404,53.4
199405,64.7
199406,77.0
199407,75.8
199408,76.9
199409,68.0
199410,57.5
199411,43.8
199412,36.0
199501,31.2
199502,39.2
199503,43.3
199504,50.4
199505,57.3
199506,70.4
199507,78.1
199508,80.2
199509,66.2
199510,56.2
199511,42.1
199512,32.5
199601,27.0
199602,36.2
199603,37.8
199604,53.5
199605,65.2
199606,74.4
199607,76.8
199608,74.5
199609,65.0
199610,56.3
199611,38.2
199612,32.1
199701,28.6
199702,34.8
199703,46.6
199704,48.6
199705,60.7
199706,72.3
199707,78.2
199708,75.1
199709,69.9
199710,56.8
199711,40.2
199712,32.2
199801,32.6
199802,39.6
199803,38.2
199804,51.9
199805,67.9
199806,73.6
199807,79.6
199808,77.9
199809,74.4
199810,58.5
199811,47.1
199812,34.5
199901,31.7
199902,42.8
199903,42.8
199904,53.5
199905,63.1
199906,71.0
199907,80.4
199908,77.5
199909,65.4
199910,56.5
199911,50.4
199912,36.8
200001,33.3
200002,41.0
200003,46.3
200004,53.8
200005,66.5
200006,72.0
200007,79.0
200008,83.0
200009,71.1
200010,59.4
200011,36.8
200012,24.2
200101,31.0
200102,30.4
200103,41.1
200104,58.3
200105,65.1
200106,72.9
200107,83.0
200108,79.0
200109,67.9
200110,56.2
200111,49.2
200112,36.9
200201,33.8
200202,35.9
200203,39.2
200204,56.4
200205,62.1
200206,76.9
200207,80.7
200208,78.4
200209,70.4
200210,50.5
200211,42.4
200212,35.5
200301,31.8
200302,31.3
200303,44.2
200304,56.1
200305,62.9
200306,70.4
200307,81.8
200308,80.2
200309,65.1
200310,58.3
200311,42.2
200312,35.3
200401,30.4
200402,31.8
200403,49.2
200404,54.9
200405,66.9
200406,71.2
200407,75.2
200408,72.7
200409,70.8
200410,57.8
200411,44.2
200412,35.7
200501,29.9
200502,39.2
200503,44.7
200504,55.0
200505,64.1
200506,74.7
200507,78.7
200508,77.3
200509,72.2
200510,57.7
200511,46.4
200512,30.8
200601,41.3
200602,34.5
200603,45.6
200604,59.6
200605,65.8
200606,75.8
200607,81.1
200608,78.8
200609,64.4
200610,55.1
200611,44.6
200612,35.9
200701,27.0
200702,30.0
200703,52.3
200704,50.9
200705,65.9
200706,72.3
200707,78.0
200708,81.5
200709,70.5
200710,59.1
200711,44.1
200712,29.3
200801,30.0
200802,32.3
200803,43.2
200804,50.5
200805,63.0
200806,73.8
200807,78.6
200808,75.2
200809,66.4
200810,55.4
200811,44.6
200812,29.9
200901,31.4
200902,39.7
200903,44.4
200904,52.1
200905,63.0
200906,74.4
200907,75.6
200908,74.4
200909,65.3
200910,48.8
200911,47.6
200912,26.5
201001,27.2
201002,29.9
201003,44.2
201004,57.8
201005,62.1
201006,77.0
201007,79.6
201008,79.7
201009,70.8
201010,59.1
201011,43.6
201012,32.3
201101,27.3
201102,30.2
201103,44.1
201104,55.2
201105,62.6
201106,76.8
201107,84.9
201108,80.9
201109,66.2
201110,57.5
201111,43.7
201112,33.1
201201,36.1
201202,37.1
201203,55.5
201204,59.2
201205,69.0
201206,77.5
201207,84.4
201208,76.5
201209,68.2
201210,54.0
201211,46.5
201212,34.6
201301,32.3
201302,33.6
201303,40.3
201304,48.4
201305,63.3
201306,75.2
201307,77.2
201308,76.5
201309,72.1
201310,55.2
201311,41.3
201312,29.2
201401,29.6
201402,27.8
201403,40.6
201404,54.0
201405,64.7
201406,73.6
201407,75.4
201408,78.3
201409,68.2
201410,58.9
201411,38.5
201412,34.6
201501,32.1
201502,31.2
201503,46.8
201504,56.4
201505,61.7
201506,75.8
201507,78.9
201508,75.2
201509,74.2
201510,59.2
201511,46.5
201512,37.6
201601,32.0
201602,40.8
201603,49.7
201604,56.3
201605,61.6
201606,77.5
201607,79.7
201608,76.4
201609,70.8
201610,61.5
201611,49.9
201612,29.8
201701,33.0
201702,43.1
201703,48.9
201704,55.6
201705,62.2
201706,75.1
201707,80.1
201708,73.1
201709,70.5
201710,57.6
201711,45.2
201712,33.6
201801,29.9
201802,31.9
201803,45.9
201804,47.6
201805,71.1
201806,78.2
201807,78.7
201808,75.7
201809,70.1
201810,53.6
201811,38.2
201812,34.3
201901,31.3
201902,27.9
201903,39.4
201904,55.4
201905,60.5
201906,72.4
201907,78.6
201908,77.1
201909,75.2
201910,51.1
201911,40.2
201912,36.7
202001,34.0
202002,34.9
202003,47.9
202004,52.7
202005,61.7
202006,77.7
202007,79.2
202008,76.4
202009,66.3
202010,52.6
202011,48.1
202012,35.9
202101,34.0
202102,24.1
202103,48.1
202104,52.5
202105,61.9
202106,75.8
202107,77.7
202108,79.1
202109,73.3
202110,59.1
202111,46.7
202112,41.1
202201,29.8
202202,31.8
202203,44.0
202204,54.1
202205,64.6
202206,75.8
202207,81.1
202208,79.2
202209,72.0
202210,57.7
202211,41.1
202212,30.6
202301,33.0
202302,35.2
202303,42.1
202304,54.6
202305,65.8
202306,73.3
202307,78.3
202308,78.8
202309,72.3
202310,57.9
202311,45.2
202312,39.2
202401,25.9
202402,43.9
202403,47.2
