Kentucky December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,25.0
198502,31.9
198503,48.7
198504,58.9
198505,65.2
198506,70.9
198507,75.4
198508,73.1
198509,67.3
198510,60.6
198511,53.0
198512,30.4
198601,33.0
198602,39.9
198603,46.8
198604,57.7
198605,65.9
198606,73.8
198607,78.8
198608,72.5
198609,70.8
198610,58.2
198611,45.8
198612,36.2
198701,32.5
198702,38.7
198703,47.8
198704,53.4
198705,69.5
198706,74.3
198707,76.8
198708,76.7
198709,68.5
198710,51.0
198711,49.3
198712,39.2
198801,30.2
198802,34.8
198803,45.4
198804,54.8
198805,63.6
198806,72.4
198807,77.4
198808,77.6
198809,67.7
198810,50.0
198811,46.7
198812,37.0
198901,40.3
198902,33.8
198903,47.9
198904,54.5
198905,60.6
198906,71.4
198907,75.5
198908,73.9
198909,66.9
198910,56.7
198911,45.7
198912,24.9
199001,41.6
199002,44.6
199003,49.4
199004,53.9
199005,62.0
199006,72.2
199007,75.4
199008,73.7
199009,69.0
199010,56.0
199011,49.8
199012,40.2
199101,34.3
199102,39.5
199103,48.3
199104,58.8
199105,70.0
199106,74.0
199107,77.4
199108,75.0
199109,68.7
199110,58.4
199111,43.8
199112,40.3
199201,35.6
199202,42.2
199203,45.7
199204,55.6
199205,61.9
199206,68.8
199207,75.9
199208,70.7
199209,67.0
199210,55.0
199211,46.1
199212,36.5
199301,37.7
199302,34.3
199303,42.2
199304,53.1
199305,64.3
199306,71.8
199307,79.3
199308,76.0
199309,66.5
199310,54.5
199311,44.4
199312,35.9
199401,27.0
199402,37.8
199403,44.8
199404,58.0
199405,60.0
199406,74.6
199407,75.6
199408,72.7
199409,65.4
199410,57.0
199411,50.7
199412,41.1
199501,35.0
199502,35.0
199503,48.4
199504,56.1
199505,63.6
199506,72.0
199507,76.8
199508,79.3
199509,66.5
199510,57.2
199511,40.6
199512,33.9
199601,32.4
199602,36.4
199603,40.0
199604,52.5
199605,66.5
199606,72.4
199607,73.8
199608,74.3
199609,66.2
199610,57.0
199611,41.0
199612,40.3
199701,32.5
199702,41.9
199703,48.5
199704,50.2
199705,59.0
199706,70.1
199707,76.3
199708,73.0
199709,67.2
199710,56.2
199711,42.2
199712,36.6
199801,40.8
199802,42.4
199803,46.5
199804,54.5
199805,67.9
199806,73.5
199807,76.0
199808,75.4
199809,73.0
199810,59.2
199811,48.3
199812,40.7
199901,37.5
199902,41.4
199903,41.7
199904,58.4
199905,64.9
199906,73.5
199907,79.5
199908,75.3
199909,68.1
199910,56.8
199911,51.3
199912,38.7
200001,33.8
200002,43.1
200003,50.1
200004,53.9
200005,67.0
200006,73.1
200007,74.5
200008,74.8
200009,67.2
200010,59.6
200011,44.2
200012,26.7
200101,31.8
200102,41.3
200103,41.4
200104,59.9
200105,66.2
200106,71.0
200107,75.7
200108,76.4
200109,66.3
200110,56.1
200111,51.2
200112,41.8
200201,37.9
200202,38.8
200203,45.6
200204,58.6
200205,62.1
200206,74.3
200207,78.3
200208,77.2
200209,71.7
200210,57.4
200211,43.6
200212,36.5
200301,28.4
200302,33.6
200303,48.8
200304,57.7
200305,64.2
200306,68.7
200307,75.2
200308,75.9
200309,66.2
200310,56.7
200311,50.5
200312,37.0
200401,32.5
200402,36.9
200403,49.3
200404,55.8
200405,69.2
200406,72.1
200407,74.3
200408,71.2
200409,68.7
200410,60.0
200411,50.5
200412,36.4
200501,39.0
200502,40.9
200503,42.6
200504,57.0
200505,61.7
200506,73.9
200507,77.4
200508,78.0
200509,71.5
200510,57.9
200511,48.2
200512,33.3
200601,43.1
200602,36.2
200603,46.1
200604,60.3
200605,62.6
200606,71.4
200607,76.7
200608,77.4
200609,64.8
200610,54.2
200611,47.3
200612,41.6
200701,38.0
200702,29.8
200703,53.3
200704,53.5
200705,67.8
200706,73.7
200707,74.6
200708,80.9
200709,71.9
200710,62.4
200711,46.0
200712,40.7
200801,33.3
200802,37.5
200803,45.2
200804,55.4
200805,61.8
200806,74.3
200807,75.2
200808,73.9
200809,71.0
200810,56.7
200811,43.2
200812,36.7
200901,30.2
200902,38.9
200903,48.1
200904,55.8
200905,64.8
200906,73.9
200907,71.8
200908,73.6
200909,69.0
200910,53.8
200911,49.2
200912,35.6
201001,29.8
201002,30.6
201003,46.5
201004,59.9
201005,67.3
201006,77.0
201007,78.4
201008,78.3
201009,70.0
201010,58.2
201011,47.1
201012,29.0
201101,30.2
201102,39.1
201103,47.9
201104,58.8
201105,64.2
201106,74.2
201107,79.5
201108,75.8
201109,66.9
201110,55.6
201111,49.9
201112,41.0
201201,38.7
201202,41.2
201203,58.0
201204,57.3
201205,69.4
201206,72.5
201207,80.5
201208,74.6
201209,67.3
201210,55.2
201211,43.2
201212,43.0
201301,36.7
201302,36.8
201303,39.4
201304,55.2
201305,64.9
201306,72.9
201307,74.0
201308,73.7
201309,69.1
201310,57.6
201311,42.8
201312,37.4
201401,26.8
201402,33.2
201403,41.5
201404,57.4
201405,66.1
201406,74.1
201407,72.6
201408,75.1
201409,68.2
201410,57.6
201411,39.8
201412,39.7
201501,32.2
201502,26.3
201503,44.5
201504,57.4
201505,67.3
201506,74.2
201507,76.5
201508,72.8
201509,70.2
201510,57.8
201511,50.9
201512,48.7
201601,31.6
201602,38.9
201603,51.8
201604,57.3
201605,62.9
201606,74.9
201607,77.9
201608,78.0
201609,72.2
201610,62.7
201611,49.9
201612,37.0
201701,40.9
201702,46.2
201703,47.9
201704,61.5
201705,65.0
201706,71.7
201707,76.9
201708,73.1
201709,68.3
201710,59.4
201711,47.1
201712,35.8
201801,30.0
201802,44.6
201803,44.1
201804,50.7
201805,71.8
201806,75.5
201807,76.6
201808,75.8
201809,73.1
201810,58.9
201811,41.9
201812,40.5
201901,35.1
201902,42.3
201903,43.1
201904,57.8
201905,68.4
201906,71.9
201907,77.4
201908,75.6
201909,74.8
201910,60.0
201911,41.2
201912,42.1
202001,40.2
202002,39.7
202003,51.4
202004,52.8
202005,62.2
202006,72.6
202007,78.7
202008,74.8
202009,68.3
202010,57.8
202011,49.9
202012,37.3
202101,35.7
202102,32.3
202103,50.4
202104,54.6
202105,62.4
202106,73.4
202107,75.9
202108,76.6
202109,68.9
202110,62.4
202111,43.4
202112,47.6
202201,31.3
202202,38.4
202203,49.1
202204,54.4
202205,67.5
202206,74.0
202207,78.2
202208,75.3
202209,68.1
202210,55.0
202211,46.8
202212,37.8
202301,42.5
202302,45.8
202303,47.3
202304,56.8
202305,64.1
202306,70.4
202307,76.7
202308,74.8
202309,69.6
202310,59.4
202311,47.4
202312,42.6
202401,33.0
202402,45.3
202403,50.6
