Louisiana December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,42.6
198502,48.4
198503,63.2
198504,68.2
198505,73.8
198506,80.0
198507,81.1
198508,82.0
198509,76.3
198510,69.9
198511,63.9
198512,46.9
198601,49.3
198602,56.5
198603,59.1
198604,67.1
198605,74.3
198606,80.3
198607,83.1
198608,80.8
198609,79.9
198610,67.3
198611,60.9
198612,49.1
198701,46.6
198702,53.4
198703,57.2
198704,64.0
198705,75.6
198706,79.0
198707,81.5
198708,83.3
198709,76.1
198710,62.9
198711,58.3
198712,54.0
198801,44.5
198802,50.6
198803,58.0
198804,66.3
198805,71.8
198806,78.6
198807,81.4
198808,81.7
198809,77.4
198810,64.9
198811,60.9
198812,51.5
198901,54.9
198902,50.2
198903,58.9
198904,65.3
198905,74.2
198906,77.9
198907,80.3
198908,80.5
198909,75.0
198910,66.4
198911,59.8
198912,42.0
199001,53.8
199002,58.0
199003,60.6
199004,65.7
199005,73.6
199006,81.7
199007,81.2
199008,82.0
199009,78.7
199010,65.3
199011,60.1
199012,53.0
199101,47.7
199102,54.2
199103,60.7
199104,69.2
199105,75.5
199106,80.0
199107,82.0
199108,80.6
199109,75.8
199110,69.0
199111,53.5
199112,54.8
199201,48.2
199202,55.8
199203,60.1
199204,65.1
199205,71.5
199206,78.7
199207,81.8
199208,78.2
199209,76.4
199210,66.9
199211,54.3
199212,52.9
199301,50.8
199302,51.8
199303,56.2
199304,61.9
199305,71.1
199306,79.8
199307,82.8
199308,83.6
199309,77.9
199310,66.5
199311,54.4
199312,50.5
199401,47.0
199402,53.0
199403,59.1
199404,67.3
199405,72.0
199406,80.3
199407,80.6
199408,79.9
199409,75.4
199410,67.7
199411,62.1
199412,53.1
199501,50.4
199502,53.5
199503,60.6
199504,66.2
199505,75.0
199506,78.4
199507,82.5
199508,83.8
199509,77.3
199510,67.0
199511,56.1
199512,50.5
199601,49.0
199602,52.9
199603,54.4
199604,64.2
199605,76.6
199606,79.0
199607,82.1
199608,80.1
199609,75.7
199610,67.0
199611,58.8
199612,54.1
199701,49.2
199702,53.7
199703,63.6
199704,62.0
199705,72.2
199706,78.5
199707,82.9
199708,81.2
199709,78.3
199710,67.1
199711,54.8
199712,49.0
199801,53.3
199802,53.2
199803,57.8
199804,64.4
199805,76.8
199806,83.4
199807,85.4
199808,83.8
199809,80.6
199810,70.0
199811,61.4
199812,53.6
199901,54.1
199902,57.8
199903,58.4
199904,70.6
199905,73.6
199906,79.8
199907,82.1
199908,84.8
199909,75.8
199910,66.7
199911,59.6
199912,50.9
200001,52.6
200002,57.7
200003,63.6
200004,64.9
200005,76.6
200006,79.8
200007,83.2
200008,84.3
200009,77.7
200010,67.5
200011,55.3
200012,43.7
200101,45.6
200102,56.6
200103,55.3
200104,69.9
200105,74.3
200106,78.3
200107,82.4
200108,81.4
200109,75.4
200110,64.4
200111,61.9
200112,54.4
200201,51.4
200202,49.3
200203,58.1
200204,69.6
200205,73.9
200206,79.0
200207,82.3
200208,81.6
200209,78.6
200210,69.4
200211,55.7
200212,50.8
200301,45.6
200302,50.7
200303,58.6
200304,66.7
200305,76.4
200306,79.6
200307,81.3
200308,82.5
200309,76.0
200310,67.8
200311,61.9
200312,49.4
200401,50.2
200402,49.1
200403,63.2
200404,65.9
200405,73.9
200406,79.2
200407,81.4
200408,79.6
200409,77.8
200410,73.9
200411,61.8
200412,49.7
200501,53.9
200502,55.3
200503,57.8
200504,65.6
200505,72.6
200506,80.2
200507,82.5
200508,83.5
200509,81.3
200510,67.2
200511,61.0
200512,49.2
200601,55.4
200602,50.9
200603,61.8
200604,71.0
200605,74.2
200606,80.1
200607,82.2
200608,83.7
200609,75.9
