Maryland December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,27.9
198502,34.8
198503,45.2
198504,56.7
198505,64.3
198506,69.2
198507,74.8
198508,73.1
198509,67.8
198510,58.6
198511,51.7
198512,33.1
198601,32.4
198602,32.6
198603,44.0
198604,53.1
198605,64.8
198606,72.4
198607,77.4
198608,71.9
198609,67.5
198610,57.8
198611,44.0
198612,37.0
198701,31.3
198702,32.7
198703,44.5
198704,51.6
198705,64.0
198706,73.4
198707,78.4
198708,74.8
198709,68.3
198710,51.2
198711,47.6
198712,38.5
198801,27.8
198802,34.8
198803,43.8
198804,51.1
198805,62.5
198806,71.2
198807,78.0
198808,77.0
198809,65.3
198810,50.7
198811,46.2
198812,35.6
198901,37.0
198902,35.0
198903,42.8
198904,51.2
198905,60.9
198906,73.2
198907,75.0
198908,73.2
198909,67.6
198910,57.2
198911,44.8
198912,24.6
199001,40.6
199002,41.9
199003,46.8
199004,53.5
199005,61.0
199006,71.3
199007,76.1
199008,73.1
199009,65.8
199010,59.6
199011,48.4
199012,41.2
199101,34.6
199102,39.6
199103,45.6
199104,54.9
199105,68.8
199106,72.4
199107,77.5
199108,75.7
199109,66.9
199110,56.9
199111,45.5
199112,39.5
199201,35.2
199202,37.5
199203,41.4
199204,52.2
199205,59.2
199206,68.0
199207,75.4
199208,70.7
199209,66.4
199210,53.1
199211,45.9
199212,36.8
199301,36.9
199302,31.4
199303,39.2
199304,51.9
199305,64.0
199306,71.0
199307,78.3
199308,75.3
199309,67.7
199310,54.7
199311,45.6
199312,34.6
199401,26.0
199402,32.8
199403,41.7
199404,57.9
199405,59.3
199406,74.3
199407,77.4
199408,71.6
199409,65.6
199410,54.6
199411,50.1
199412,41.0
199501,36.6
199502,31.7
199503,45.7
199504,52.8
199505,61.9
199506,71.2
199507,77.6
199508,76.4
199509,66.9
199510,59.0
199511,40.9
199512,32.0
199601,30.6
199602,34.1
199603,38.7
199604,53.4
199605,60.4
199606,72.4
199607,73.5
199608,72.6
199609,67.2
199610,56.0
199611,40.4
199612,39.6
199701,33.3
199702,40.0
199703,44.9
199704,50.4
199705,59.1
199706,69.3
199707,75.7
199708,72.7
199709,66.3
199710,55.9
199711,43.2
199712,37.7
199801,40.3
199802,40.5
199803,44.9
199804,55.1
199805,65.3
199806,70.6
199807,75.4
199808,75.1
199809,71.5
199810,57.0
199811,46.7
199812,41.7
199901,36.1
199902,37.5
199903,41.0
199904,53.5
199905,63.2
199906,71.3
199907,78.9
199908,75.0
199909,67.4
199910,54.8
199911,50.7
199912,39.1
200001,32.5
200002,38.7
200003,48.4
200004,52.7
200005,64.9
200006,72.4
200007,72.0
200008,72.6
200009,65.7
200010,57.2
200011,43.3
200012,29.2
200101,32.2
200102,38.0
200103,40.4
200104,54.5
200105,62.6
200106,72.4
200107,72.3
200108,76.0
200109,65.6
200110,56.5
200111,50.8
200112,42.6
200201,39.0
200202,39.8
200203,45.4
200204,56.6
200205,62.0
200206,73.0
200207,77.6
200208,77.2
200209,69.4
200210,56.3
200211,44.7
200212,34.3
200301,28.6
200302,31.0
200303,44.4
200304,52.6
200305,59.7
200306,69.5
200307,75.5
200308,76.1
200309,67.8
200310,54.7
200311,50.6
200312,36.5
200401,28.1
200402,34.5
200403,45.6
200404,54.3
200405,69.3
200406,70.8
200407,75.5
200408,73.5
200409,68.7
200410,55.7
200411,48.3
200412,37.7
200501,33.9
200502,36.5
200503,39.7
200504,54.7
200505,58.7
200506,72.8
200507,77.6
200508,77.0
200509,71.1
200510,57.8
200511,48.5
200512,33.7
200601,41.1
200602,36.1
200603,44.3
200604,56.3
200605,62.1
200606,71.6
200607,77.6
200608,76.9
200609,65.3
200610,55.0
200611,49.1
200612,42.8
200701,38.5
200702,28.3
200703,44.9
200704,51.1
200705,64.6
200706,72.6
200707,75.4
200708,76.3
200709,69.6
200710,63.3
200711,45.6
200712,38.1
200801,35.7
200802,37.2
200803,44.8
200804,55.6
200805,60.4
200806,74.3
200807,76.2
200808,72.6
200809,68.8
200810,55.2
200811,44.4
200812,38.6
200901,29.3
200902,37.2
200903,43.1
200904,54.8
200905,63.4
200906,71.0
200907,73.5
200908,76.2
200909,66.4
200910,55.4
200911,49.6
200912,35.4
201001,32.2
201002,30.8
201003,47.4
201004,57.5
201005,65.7
201006,76.2
201007,79.1
201008,76.4
201009,70.2
201010,57.8
201011,46.1
201012,30.8
201101,29.6
201102,37.6
201103,43.7
201104,56.7
201105,65.8
201106,74.0
201107,79.6
201108,75.1
201109,69.0
201110,55.9
201111,49.5
201112,41.8
201201,37.4
201202,40.5
201203,52.7
201204,54.2
201205,67.7
201206,71.7
201207,79.8
201208,75.8
201209,67.8
201210,57.5
201211,42.6
201212,42.2
201301,36.3
201302,34.5
201303,39.7
201304,54.4
201305,62.8
201306,72.7
201307,77.8
201308,72.4
201309,66.0
201310,58.1
201311,43.3
201312,38.6
201401,27.8
201402,32.8
201403,38.2
201404,52.7
201405,64.2
201406,72.3
201407,74.7
201408,71.7
201409,68.0
201410,58.2
201411,42.7
201412,39.6
201501,30.7
201502,25.3
201503,39.4
201504,54.0
201505,67.6
201506,73.0
201507,75.9
201508,73.9
201509,70.8
201510,55.6
201511,50.5
201512,48.6
201601,32.1
201602,36.9
201603,49.4
201604,53.1
201605,60.9
201606,72.2
201607,78.4
201608,78.0
201609,71.5
201610,59.4
201611,47.7
201612,38.0
201701,38.3
201702,43.7
201703,43.1
201704,59.5
201705,62.2
201706,72.6
201707,77.4
201708,72.8
201709,68.3
201710,61.2
201711,45.8
201712,35.3
201801,31.0
201802,41.6
201803,39.3
201804,50.7
201805,68.8
201806,72.1
201807,76.2
201808,77.1
201809,72.7
201810,59.0
201811,43.4
201812,39.2
201901,34.0
201902,37.6
201903,42.1
201904,57.8
201905,67.3
201906,72.5
201907,78.6
201908,75.6
201909,71.4
201910,60.3
201911,42.6
201912,38.9
202001,39.1
202002,41.0
202003,49.3
202004,51.6
202005,60.5
202006,72.7
202007,80.1
202008,76.6
202009,67.3
202010,59.0
202011,50.9
202012,38.3
202101,35.4
202102,34.2
202103,47.2
202104,55.0
202105,62.2
202106,73.1
202107,77.2
202108,77.1
202109,69.6
202110,62.9
202111,44.4
202112,43.8
202201,30.9
202202,38.4
202203,46.7
202204,53.1
202205,64.6
202206,72.1
202207,77.7
202208,76.7
202209,68.5
202210,54.6
202211,48.8
202212,36.5
202301,42.0
202302,42.8
202303,45.0
202304,57.9
202305,60.8
202306,69.2
202307,78.1
202308,75.0
202309,69.3
202310,59.4
202311,45.2
202312,42.4
202401,36.6
202402,40.3
202403,48.2
