Maine December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,8.9
198502,19.4
198503,26.6
198504,38.0
198505,50.5
198506,58.0
198507,66.2
198508,62.4
198509,56.4
198510,45.1
198511,32.0
198512,15.4
198601,16.3
198602,15.5
198603,27.0
198604,43.3
198605,52.0
198606,57.3
198607,62.9
198608,61.8
198609,52.0
198610,43.2
198611,29.2
198612,20.3
198701,13.0
198702,15.0
198703,28.9
198704,43.4
198705,51.3
198706,60.7
198707,65.3
198708,61.9
198709,55.0
198710,44.3
198711,31.4
198712,22.6
198801,14.0
198802,17.1
198803,26.0
198804,39.6
198805,53.3
198806,59.6
198807,67.6
198808,65.7
198809,54.0
198810,41.5
198811,35.5
198812,17.2
198901,16.7
198902,15.0
198903,22.7
198904,36.9
198905,54.7
198906,60.8
198907,65.0
198908,63.2
198909,55.9
198910,45.1
198911,30.4
198912,5.0
199001,22.0
199002,16.4
199003,27.2
199004,39.9
199005,49.1
199006,61.0
199007,66.2
199008,66.2
199009,54.9
199010,46.8
199011,34.4
199012,24.8
199101,12.2
199102,20.0
199103,29.2
199104,40.9
199105,53.7
199106,61.6
199107,65.5
199108,65.7
199109,53.1
199110,46.2
199111,34.6
199112,17.8
199201,14.2
199202,16.2
199203,23.0
199204,36.9
199205,51.3
199206,60.3
199207,61.2
199208,63.3
199209,55.9
199210,41.8
199211,31.3
199212,22.5
199301,15.1
199302,7.1
199303,24.6
199304,39.8
199305,51.6
199306,59.8
199307,65.4
199308,65.7
199309,55.1
199310,40.4
199311,32.7
199312,22.1
199401,4.2
199402,11.4
199403,27.1
199404,38.5
199405,48.8
199406,63.2
199407,68.6
199408,62.7
199409,54.3
199410,45.9
199411,36.4
199412,24.0
199501,19.8
199502,13.0
199503,28.5
199504,35.8
199505,50.0
199506,62.6
199507,68.0
199508,64.9
199509,52.2
199510,48.8
199511,30.6
199512,17.0
199601,13.7
199602,16.9
199603,25.4
199604,39.1
199605,48.7
199606,61.2
199607,64.3
199608,64.2
199609,55.9
199610,43.3
199611,30.8
199612,28.2
199701,13.8
199702,18.2
199703,22.8
199704,36.8
199705,46.8
199706,60.7
199707,65.6
199708,62.8
199709,54.9
199710,43.2
199711,31.3
199712,20.8
199801,17.8
199802,24.2
199803,29.6
199804,41.4
199805,56.5
199806,59.7
199807,66.1
199808,64.8
199809,56.7
199810,45.2
199811,33.7
199812,26.2
199901,14.3
199902,21.4
199903,31.0
199904,40.4
199905,55.4
199906,64.8
199907,67.8
199908,63.9
199909,61.7
199910,42.4
199911,37.3
199912,25.2
200001,14.1
200002,18.2
200003,32.6
200004,39.1
200005,49.5
200006,59.4
200007,63.0
200008,63.1
200009,54.5
200010,44.6
200011,35.6
200012,17.5
200101,14.0
200102,16.0
200103,24.2
200104,38.1
200105,54.4
200106,63.0
200107,64.2
200108,67.0
200109,57.7
200110,47.1
200111,37.4
200112,28.7
200201,21.0
200202,20.4
200203,26.9
200204,39.9
200205,48.8
200206,58.3
200207,65.6
200208,66.7
200209,59.3
200210,41.7
200211,30.7
200212,21.1
200301,9.2
200302,12.2
200303,24.2
200304,35.7
200305,49.6
200306,61.2
200307,65.9
200308,66.0
200309,58.4
200310,44.6
200311,35.4
200312,23.0
200401,6.4
200402,18.0
200403,28.7
200404,39.6
200405,51.9
200406,57.5
200407,64.6
200408,64.6
200409,56.2
200410,45.5
200411,33.2
200412,19.1
200501,11.5
200502,19.6
200503,25.0
200504,41.1
200505,47.2
200506,63.2
200507,66.6
200508,65.5
200509,58.5
200510,47.2
200511,35.3
200512,21.3
200601,22.6
200602,19.0
200603,29.0
200604,42.3
200605,53.2
200606,63.3
200607,68.9
200608,61.7
200609,56.1
200610,44.9
200611,38.9
200612,27.8
200701,17.3
200702,11.6
200703,25.8
200704,37.0
200705,51.2
200706,61.1
200707,64.6
200708,63.5
200709,57.2
200710,49.6
200711,31.7
200712,18.0
200801,18.6
200802,18.5
200803,23.1
200804,41.5
200805,50.0
200806,61.2
200807,67.7
200808,63.1
200809,56.2
200810,44.2
200811,35.0
200812,20.2
200901,7.9
200902,18.9
200903,26.2
200904,41.9
200905,51.1
200906,58.7
200907,63.0
200908,66.1
200909,54.9
200910,41.2
200911,38.5
200912,21.9
201001,20.3
201002,24.6
201003,34.6
201004,44.9
201005,54.6
201006,60.8
201007,69.2
201008,65.2
201009,58.3
201010,45.2
201011,34.5
201012,23.4
201101,15.9
201102,16.2
201103,26.8
201104,39.0
201105,51.9
201106,60.2
201107,67.6
201108,64.8
201109,59.0
201110,47.6
201111,38.8
201112,26.0
201201,18.2
201202,21.4
201203,34.3
201204,42.2
201205,53.8
201206,60.2
201207,67.6
201208,67.4
201209,55.9
201210,48.2
201211,32.7
201212,24.4
201301,15.8
201302,20.0
201303,30.3
201304,39.1
201305,52.3
201306,60.8
201307,68.3
201308,63.7
201309,56.7
201310,47.3
201311,32.3
201312,17.0
201401,14.2
201402,15.7
201403,18.1
201404,38.7
201405,51.7
201406,61.6
201407,67.2
201408,64.4
201409,56.4
201410,48.5
201411,31.8
201412,26.0
201501,11.7
201502,5.2
201503,21.6
201504,37.8
201505,55.7
201506,57.5
201507,64.8
201508,67.2
201509,61.8
201510,43.2
201511,37.0
201512,31.2
201601,20.1
201602,21.9
201603,29.2
201604,37.3
201605,52.8
201606,60.5
201607,67.0
201608,66.6
201609,59.1
201610,46.9
201611,37.2
201612,20.5
201701,21.5
201702,20.6
201703,22.2
201704,42.0
201705,50.7
201706,61.0
201707,65.2
201708,63.3
201709,61.1
