Michigan December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,16.0
198502,18.0
198503,32.8
198504,46.7
198505,56.5
198506,60.0
198507,66.8
198508,64.7
198509,59.9
198510,48.1
198511,34.3
198512,17.7
198601,19.2
198602,19.4
198603,32.3
198604,46.8
198605,56.6
198606,61.5
198607,69.4
198608,63.3
198609,58.8
198610,47.3
198611,32.1
198612,26.8
198701,22.5
198702,25.8
198703,34.6
198704,46.7
198705,57.9
198706,67.2
198707,71.4
198708,66.6
198709,59.8
198710,43.1
198711,38.0
198712,28.9
198801,17.6
198802,17.0
198803,29.8
198804,43.1
198805,57.3
198806,65.9
198807,71.5
198808,69.8
198809,58.6
198810,42.5
198811,37.4
198812,23.7
198901,25.5
198902,16.3
198903,26.6
198904,40.6
198905,53.4
198906,62.5
198907,69.5
198908,66.0
198909,57.8
198910,48.3
198911,31.6
198912,13.4
199001,27.6
199002,23.7
199003,33.3
199004,45.0
199005,51.5
199006,63.5
199007,67.3
199008,65.9
199009,58.9
199010,46.3
199011,39.1
199012,25.9
199101,17.4
199102,25.2
199103,33.4
199104,46.7
199105,60.0
199106,67.3
199107,68.7
199108,68.1
199109,56.8
199110,48.0
199111,32.6
199112,25.9
199201,22.9
199202,25.1
199203,29.0
199204,40.2
199205,54.5
199206,60.3
199207,63.0
199208,62.3
199209,57.1
199210,45.3
199211,33.9
199212,26.6
199301,21.4
199302,17.9
199303,29.0
199304,40.4
199305,53.9
199306,61.4
199307,69.1
199308,68.3
199309,54.0
199310,44.7
199311,33.8
199312,25.1
199401,9.5
199402,14.2
199403,30.5
199404,43.3
199405,52.8
199406,65.0
199407,67.5
199408,63.7
199409,60.6
199410,49.8
199411,39.1
199412,30.3
199501,22.9
199502,19.1
199503,33.3
199504,38.9
199505,53.3
199506,67.4
199507,69.4
199508,71.4
199509,56.4
199510,49.5
199511,28.7
199512,20.2
199601,16.7
199602,19.0
199603,25.0
199604,38.3
199605,51.2
199606,64.3
199607,64.8
199608,67.4
199609,59.5
199610,47.7
199611,30.5
199612,25.6
199701,17.5
199702,23.5
199703,29.6
199704,40.4
199705,47.4
199706,65.6
199707,67.4
199708,63.1
199709,58.5
199710,47.3
199711,33.1
199712,29.0
199801,24.8
199802,32.0
199803,32.8
199804,45.7
199805,60.4
199806,63.8
199807,68.8
199808,69.0
199809,62.6
199810,50.1
199811,39.2
199812,29.8
199901,17.7
199902,27.3
199903,30.4
199904,45.8
199905,57.7
199906,66.4
199907,71.8
199908,65.3
199909,59.7
199910,46.4
199911,41.0
199912,26.9
200001,19.3
200002,26.5
200003,38.8
200004,42.4
200005,56.6
200006,63.5
200007,66.1
200008,66.1
200009,58.0
200010,50.8
200011,36.2
200012,15.9
200101,23.4
200102,22.1
200103,29.4
200104,46.1
200105,57.2
200106,64.4
200107,68.4
200108,69.6
200109,57.7
200110,47.8
200111,43.6
200112,31.9
200201,27.5
200202,27.4
200203,27.4
200204,43.4
200205,49.7
200206,65.6
200207,72.4
200208,68.0
200209,63.3
200210,44.5
200211,33.7
200212,26.0
200301,16.7
200302,16.3
200303,29.3
200304,41.4
200305,52.8
200306,62.1
200307,67.8
200308,68.8
200309,59.5
200310,46.6
200311,37.7
200312,28.6
200401,14.3
200402,22.6
200403,34.5
200404,44.2
200405,53.8
200406,62.0
200407,66.4
200408,63.2
200409,63.3
200410,49.0
200411,38.2
200412,23.5
200501,18.0
200502,25.2
200503,27.3
200504,46.4
200505,52.0
200506,69.4
200507,70.4
200508,68.9
200509,63.7
200510,50.6
200511,37.5
200512,23.1
200601,29.9
200602,22.5
200603,32.4
200604,47.5
200605,56.1
200606,64.3
200607,71.4
200608,67.7
200609,57.3
200610,44.7
200611,38.9
200612,31.5
200701,24.1
200702,15.2
200703,34.8
200704,41.8
200705,57.8
200706,67.1
200707,68.0
200708,68.8
200709,61.8
200710,54.4
200711,35.2
200712,24.1
200801,22.8
200802,18.2
200803,27.0
200804,45.7
200805,51.2
200806,64.8
200807,68.3
200808,66.5
200809,60.6
200810,46.8
200811,35.7
200812,20.8
200901,12.6
200902,22.9
200903,31.6
200904,43.1
200905,53.7
200906,62.5
200907,63.5
200908,65.4
200909,60.8
200910,44.6
200911,41.0
200912,23.6
201001,21.3
201002,23.1
201003,37.6
201004,49.0
201005,58.3
201006,64.9
201007,71.4
201008,70.7
201009,58.1
201010,49.9
201011,37.8
201012,22.8
201101,16.9
201102,21.3
201103,28.8
201104,42.0
201105,55.0
201106,64.2
201107,72.7
201108,68.3
201109,58.7
201110,49.7
201111,39.9
201112,29.9
201201,25.1
201202,28.4
201203,44.7
201204,43.9
201205,59.0
201206,66.5
201207,73.5
201208,67.5
201209,58.4
201210,47.5
