Minnesota December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,6.0
198502,10.4
198503,32.0
198504,46.6
198505,58.7
198506,60.0
198507,67.7
198508,62.6
198509,54.8
198510,43.8
198511,18.8
198512,3.0
198601,12.9
198602,11.3
198603,30.2
198604,45.2
198605,56.4
198606,65.1
198607,69.8
198608,63.2
198609,55.7
198610,45.2
198611,23.5
198612,19.4
198701,16.2
198702,27.2
198703,32.7
198704,49.8
198705,59.2
198706,67.8
198707,71.4
198708,65.3
198709,58.5
198710,41.0
198711,33.6
198712,20.5
198801,4.5
198802,7.6
198803,28.2
198804,42.9
198805,61.4
198806,70.4
198807,72.5
198808,69.3
198809,57.8
198810,40.9
198811,28.6
198812,14.5
198901,14.4
198902,3.6
198903,21.3
198904,40.2
198905,55.3
198906,63.2
198907,71.8
198908,67.5
198909,57.1
198910,46.0
198911,24.0
198912,4.8
199001,20.3
199002,16.6
199003,30.5
199004,42.5
199005,52.3
199006,65.4
199007,67.6
199008,67.4
199009,59.8
199010,43.6
199011,32.2
199012,11.3
199101,5.8
199102,20.4
199103,29.2
199104,45.8
199105,58.6
199106,68.0
199107,68.2
199108,68.8
199109,55.8
199110,42.1
199111,21.5
199112,16.7
199201,17.1
199202,22.5
199203,29.6
199204,39.0
199205,57.3
199206,61.3
199207,61.8
199208,62.3
199209,55.6
199210,43.8
199211,26.9
199212,13.5
199301,8.0
199302,11.6
199303,25.5
199304,40.4
199305,53.6
199306,60.7
199307,66.0
199308,66.6
199309,51.6
199310,42.1
199311,25.2
199312,15.8
199401,-2.5
199402,6.3
199403,30.2
199404,41.9
199405,57.0
199406,65.8
199407,66.2
199408,63.9
199409,59.9
199410,48.6
199411,33.4
199412,20.4
199501,11.8
199502,12.8
199503,29.0
199504,37.1
199505,53.1
199506,68.4
199507,68.4
199508,69.5
199509,56.0
199510,44.1
199511,21.1
199512,12.3
199601,1.0
199602,12.0
199603,19.3
199604,36.5
199605,51.6
199606,65.3
199607,66.4
199608,67.4
199609,57.6
199610,45.2
199611,20.3
199612,8.8
199701,4.5
199702,15.0
199703,24.0
199704,38.8
199705,49.6
199706,67.0
199707,68.0
199708,64.9
199709,59.9
199710,46.3
199711,24.9
199712,23.9
199801,14.0
199802,28.8
199803,27.5
199804,46.8
199805,60.4
199806,62.1
199807,69.0
199808,68.9
199809,62.4
199810,47.7
199811,31.9
199812,19.4
199901,7.6
199902,23.2
199903,30.4
199904,44.7
199905,56.8
199906,64.4
199907,71.3
199908,66.3
199909,56.4
199910,44.2
199911,37.6
199912,21.4
200001,10.3
200002,22.8
200003,36.4
200004,42.2
200005,56.7
200006,61.5
200007,68.6
200008,67.6
200009,56.6
200010,48.2
200011,28.4
200012,2.5
200101,16.0
200102,6.7
200103,24.2
200104,43.4
200105,56.6
200106,65.1
200107,70.4
200108,69.3
200109,57.4
200110,44.5
200111,40.7
200112,22.3
200201,18.1
200202,23.8
200203,19.5
200204,40.4
200205,49.8
200206,67.0
200207,72.2
200208,66.5
200209,60.5
200210,37.7
200211,27.8
200212,21.2
200301,10.1
200302,9.9
200303,25.8
200304,43.4
200305,54.3
200306,63.6
200307,68.8
200308,70.2
200309,57.9
200310,47.0
200311,26.6
200312,20.6
200401,5.1
200402,16.7
200403,30.9
200404,43.7
200405,51.2
200406,60.7
200407,66.7
200408,60.9
200409,62.1
200410,46.8
200411,34.0
200412,16.8
200501,7.6
200502,20.3
200503,26.2
200504,47.7
200505,52.4
200506,67.4
200507,70.6
200508,66.4
200509,61.6
200510,47.8
200511,32.2
200512,16.6
200601,24.1
200602,12.7
200603,29.4
200604,48.8
200605,56.8
200606,65.7
200607,73.1
200608,67.7
200609,56.3
200610,42.2
200611,32.0
200612,23.8
200701,14.5
200702,7.7
200703,31.7
200704,41.2
200705,58.7
200706,67.2
200707,70.6
200708,66.5
200709,59.2
200710,49.4
200711,30.4
200712,11.6
200801,8.5
200802,9.4
200803,23.5
200804,39.6
200805,51.5
200806,62.9
200807,68.4
200808,66.8
200809,58.7
200810,46.0
200811,30.8
200812,6.9
200901,2.2
200902,15.0
200903,26.0
200904,41.8
200905,53.4
200906,62.3
200907,64.1
200908,64.2
200909,62.6
200910,39.9
200911,37.8
200912,12.0
201001,8.8
201002,12.8
201003,35.8
201004,50.0
201005,56.0
201006,63.8
201007,70.4
201008,70.2
201009,55.0
201010,49.1
201011,30.7
201012,11.5
201101,5.0
201102,13.2
201103,23.6
201104,41.6
201105,53.6
201106,63.4
201107,72.7
201108,68.2
201109,57.5
201110,49.9
201111,32.9
201112,22.7
201201,18.4
201202,22.4
201203,41.8
201204,45.5
201205,58.3
201206,66.8
201207,74.3
201208,66.7
201209,57.3
201210,43.2
201211,30.9
201212,16.8
201301,11.4
201302,13.0
201303,20.6
201304,34.0
201305,53.2
201306,63.9
