Missouri December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,21.6
198502,28.1
198503,48.2
198504,58.5
198505,65.4
198506,70.1
198507,77.0
198508,73.2
198509,68.0
198510,58.0
198511,42.7
198512,25.3
198601,34.1
198602,34.5
198603,48.2
198604,58.2
198605,65.8
198606,75.6
198607,80.4
198608,72.1
198609,71.1
198610,56.8
198611,39.9
198612,34.4
198701,30.4
198702,39.5
198703,47.6
198704,55.9
198705,69.8
198706,75.4
198707,78.4
198708,77.1
198709,67.4
198710,51.7
198711,47.0
198712,35.8
198801,27.7
198802,30.2
198803,44.2
198804,54.7
198805,66.2
198806,75.2
198807,77.3
198808,78.6
198809,68.5
198810,51.5
198811,45.3
198812,35.4
198901,38.3
198902,25.6
198903,44.2
198904,55.8
198905,62.2
198906,70.5
198907,76.2
198908,74.6
198909,63.7
198910,58.1
198911,44.6
198912,22.6
199001,39.3
199002,39.7
199003,46.9
199004,53.6
199005,60.7
199006,73.9
199007,76.5
199008,75.0
199009,71.1
199010,54.9
199011,50.1
199012,32.7
199101,26.5
199102,39.9
199103,48.2
199104,57.8
199105,69.1
199106,75.4
199107,78.1
199108,76.3
199109,67.6
199110,57.6
199111,39.0
199112,37.3
199201,35.4
199202,41.1
199203,47.0
199204,54.8
199205,62.3
199206,69.9
199207,75.6
199208,69.9
199209,65.9
199210,56.1
199211,42.0
199212,34.2
199301,29.6
199302,30.7
199303,40.6
199304,51.2
199305,63.4
199306,72.0
199307,78.4
199308,77.4
199309,63.3
199310,53.5
199311,40.4
199312,35.2
199401,26.2
199402,32.5
199403,45.6
199404,55.5
199405,62.3
199406,75.1
199407,75.2
199408,73.7
199409,65.8
199410,58.0
199411,48.1
199412,38.2
199501,29.4
199502,36.0
199503,46.2
199504,53.6
199505,60.9
199506,71.6
199507,77.1
199508,79.9
199509,64.8
199510,57.4
199511,40.5
199512,32.8
199601,27.7
199602,35.4
199603,38.2
199604,52.3
199605,65.7
199606,72.8
199607,74.9
199608,74.8
199609,64.8
199610,56.6
199611,38.1
199612,34.0
199701,26.4
199702,37.4
199703,47.0
199704,50.0
199705,59.8
199706,71.5
199707,77.7
199708,73.8
199709,68.4
199710,56.9
199711,41.2
199712,34.1
199801,35.3
199802,41.2
199803,41.1
199804,54.0
199805,69.2
199806,73.6
199807,78.0
199808,76.8
199809,73.4
199810,58.6
199811,48.4
199812,36.4
199901,30.6
199902,42.4
199903,42.3
199904,56.9
199905,63.8
199906,72.6
199907,80.0
199908,75.6
199909,66.5
199910,56.9
199911,52.0
199912,36.8
200001,33.0
200002,42.2
200003,48.2
200004,54.4
200005,67.2
200006,71.2
200007,76.1
200008,79.5
200009,69.0
200010,60.1
200011,39.8
200012,21.1
200101,29.4
200102,34.3
200103,40.1
200104,60.5
200105,65.9
200106,71.7
200107,78.9
200108,77.2
200109,66.3
200110,55.8
200111,51.1
200112,38.5
200201,35.1
200202,37.3
200203,40.5
200204,57.3
200205,61.4
200206,74.7
200207,79.0
200208,76.9
200209,70.8
200210,53.1
200211,42.0
200212,35.7
200301,27.4
200302,31.2
200303,44.6
200304,56.7
200305,63.5
200306,69.2
200307,78.1
200308,78.8
200309,64.8
200310,57.2
200311,46.3
200312,36.2
200401,29.8
200402,33.1
200403,48.3
200404,56.2
200405,67.0
200406,70.8
200407,74.3
200408,70.7
200409,68.5
200410,58.4
200411,47.8
200412,34.7
200501,33.3
200502,40.1
200503,43.4
200504,56.8
200505,63.2
200506,75.2
200507,78.0
200508,77.8
200509,72.0
200510,56.9
200511,47.3
200512,30.8
200601,41.2
200602,34.2
200603,45.9
200604,60.9
200605,64.6
200606,73.5
200607,78.9
200608,78.4
200609,64.9
200610,53.8
200611,46.5
200612,38.2
200701,31.7
200702,29.4
200703,53.0
200704,52.3
200705,68.3
200706,73.4
200707,75.9
200708,81.3
200709,70.5
200710,60.0
200711,45.2
200712,33.2
200801,30.8
200802,31.0
200803,43.2
200804,52.2
200805,62.4
200806,73.5
200807,76.6
200808,73.9
200809,67.2
200810,55.7
200811,43.7
200812,31.0
200901,27.7
200902,38.4
200903,46.5
200904,53.4
200905,63.8
200906,74.6
200907,72.8
200908,72.6
200909,66.6
200910,50.9
200911,49.8
200912,30.6
201001,25.5
201002,28.4
201003,45.0
201004,60.5
201005,64.5
201006,77.3
201007,79.1
201008,79.0
201009,68.8
201010,58.3
201011,46.5
201012,29.6
201101,26.7
201102,33.2
201103,45.1
201104,56.8
201105,62.8
201106,75.8
201107,82.7
201108,77.8
201109,64.8
201110,57.2
201111,47.4
201112,37.4
201201,36.3
201202,39.9
201203,58.1
201204,59.0
201205,69.5
201206,74.8
201207,83.6
201208,76.2
201209,67.0
201210,54.3
201211,45.1
201212,38.8
201301,33.8
201302,34.4
201303,38.3
201304,52.1
201305,63.4
201306,73.0
201307,75.0
201308,74.6
201309,70.7
201310,55.9
201311,41.8
201312,30.3
201401,25.8
