Mississippi December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,36.9
198502,44.3
198503,59.9
198504,64.7
198505,71.4
198506,78.5
198507,79.6
198508,79.3
198509,73.5
198510,67.6
198511,60.8
198512,41.9
198601,44.2
198602,52.2
198603,55.7
198604,64.0
198605,72.2
198606,79.5
198607,82.9
198608,79.1
198609,77.6
198610,64.5
198611,57.3
198612,45.5
198701,42.9
198702,49.4
198703,55.6
198704,61.1
198705,74.5
198706,77.7
198707,80.6
198708,81.8
198709,74.1
198710,58.7
198711,55.6
198712,50.2
198801,40.1
198802,45.9
198803,54.4
198804,63.8
198805,69.5
198806,77.7
198807,80.2
198808,81.0
198809,75.5
198810,60.1
198811,57.2
198812,47.1
198901,50.7
198902,46.5
198903,56.6
198904,61.9
198905,69.9
198906,76.6
198907,79.0
198908,79.0
198909,72.7
198910,62.9
198911,55.5
198912,37.9
199001,50.0
199002,54.9
199003,57.7
199004,62.2
199005,70.0
199006,79.0
199007,80.1
199008,80.6
199009,77.0
199010,62.5
199011,56.9
199012,50.2
199101,44.6
199102,50.4
199103,57.3
199104,66.1
199105,73.8
199106,78.4
199107,81.3
199108,79.2
199109,74.4
199110,65.2
199111,50.4
199112,50.7
199201,44.3
199202,52.1
199203,55.8
199204,62.6
199205,69.4
199206,76.1
199207,80.6
199208,76.2
199209,73.6
199210,63.3
199211,51.8
199212,47.9
199301,47.7
199302,47.0
199303,52.4
199304,59.1
199305,69.3
199306,78.3
199307,82.3
199308,81.4
199309,74.3
199310,63.0
199311,51.6
199312,46.1
199401,41.2
199402,49.4
199403,55.8
199404,65.6
199405,69.4
199406,79.0
199407,78.6
199408,78.1
199409,72.8
199410,64.7
199411,58.3
199412,49.6
199501,46.2
199502,48.3
199503,58.2
199504,64.0
199505,72.7
199506,76.0
199507,81.3
199508,82.6
199509,74.0
199510,63.8
199511,50.5
199512,45.7
199601,44.4
199602,48.2
199603,51.0
199604,60.8
199605,74.4
199606,77.6
199607,80.5
199608,78.5
199609,72.9
199610,64.0
199611,53.8
199612,50.1
199701,45.0
199702,50.9
199703,60.4
199704,59.2
199705,68.9
199706,76.0
199707,81.3
199708,78.6
199709,75.6
199710,63.7
199711,50.4
199712,44.9
199801,48.7
199802,49.9
199803,54.9
199804,62.2
199805,74.1
199806,81.6
199807,82.9
199808,81.4
199809,78.8
199810,67.6
199811,58.0
199812,50.1
199901,49.8
199902,53.3
199903,53.6
199904,68.0
199905,71.1
199906,78.4
199907,81.6
199908,82.5
199909,73.7
199910,63.9
199911,56.7
199912,47.6
200001,47.3
200002,53.2
200003,59.8
200004,61.3
200005,74.4
200006,78.1
200007,82.2
200008,83.2
200009,75.4
200010,65.2
200011,52.1
200012,38.4
200101,40.9
200102,52.5
200103,51.7
200104,66.8
200105,71.7
200106,76.6
200107,81.0
200108,79.7
200109,73.0
200110,61.1
200111,58.6
200112,50.8
200201,47.5
200202,46.0
200203,54.9
200204,66.7
200205,70.9
200206,77.8
200207,81.1
200208,80.1
200209,77.6
200210,67.0
200211,51.6
200212,46.6
200301,40.5
200302,46.7
200303,56.4
200304,64.3
200305,73.0
200306,76.6
200307,79.7
200308,80.6
200309,73.4
200310,64.5
200311,58.6
200312,44.9
200401,45.3
200402,45.4
200403,59.6
200404,62.3
200405,72.6
200406,77.4
200407,79.5
200408,76.8
200409,74.7
200410,70.2
200411,58.8
200412,45.5
200501,50.1
200502,51.6
200503,53.8
200504,62.8
200505,69.4
200506,77.7
200507,81.0
200508,82.0
200509,77.9
200510,64.1
200511,56.7
200512,44.2
200601,51.5
200602,46.0
200603,57.1
200604,68.4
200605,71.6
200606,78.6
200607,82.0
200608,83.0
200609,73.0
200610,63.4
200611,53.5
200612,49.0
200701,46.2
200702,46.0
200703,61.3
200704,61.0
200705,72.2
200706,79.2
200707,79.1
200708,84.2
200709,76.7
200710,66.5
200711,55.1
200712,51.9
200801,43.5
200802,50.1
200803,56.3
200804,63.0
200805,71.1
200806,79.2
200807,81.2
200808,78.5
200809,74.1
200810,62.6
200811,52.0
200812,48.3
200901,45.1
200902,50.6
200903,57.6
200904,62.8
200905,71.8
200906,80.2
200907,79.4
200908,78.7
200909,75.8
200910,62.6
200911,54.7
200912,44.3
201001,40.6
201002,40.7
201003,52.3
201004,65.1
201005,74.4
201006,82.2
201007,82.7
201008,83.8
201009,77.0
201010,65.0
201011,55.7
201012,42.3
201101,42.2
201102,49.8
201103,57.8
201104,67.0
201105,70.6
201106,82.2
201107,82.9
201108,83.0
201109,72.5
201110,61.3
201111,56.1
201112,48.0
201201,50.8
201202,52.2
201203,65.4
201204,65.8
201205,74.3
201206,78.2
201207,81.9
201208,79.5
201209,74.4
201210,62.1
201211,52.0
201212,51.6
201301,49.1
201302,49.0
201303,50.4
201304,62.1
201305,68.9
201306,78.9
201307,78.8
201308,79.6
201309,77.0
201310,65.4
201311,51.1
201312,46.7
201401,38.5
201402,46.3
201403,51.6
201404,62.7
201405,70.8
201406,78.6
201407,77.5
201408,79.8
201409,76.5
201410,66.5
201411,48.8
201412,50.2
201501,43.8
201502,41.9
201503,57.7
201504,67.0
201505,72.3
201506,79.2
201507,82.8
201508,80.1
201509,76.3
201510,66.5
201511,59.2
201512,56.7
201601,43.7
201602,50.9
201603,60.2
201604,65.2
201605,70.5
201606,80.2
201607,82.4
201608,82.0
201609,79.0
201610,69.2
201611,58.2
201612,49.4
201701,52.9
201702,57.1
201703,60.1
201704,67.3
201705,70.1
201706,76.7
201707,81.2
201708,79.3
201709,74.5
201710,66.2
201711,56.8
201712,47.1
201801,40.1
201802,56.9
201803,57.1
201804,58.9
