Montana December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,14.8
198502,17.1
198503,30.2
198504,44.6
198505,54.4
198506,57.9
198507,69.2
198508,60.9
198509,47.8
198510,41.1
198511,13.0
198512,18.7
198601,28.3
198602,19.3
198603,40.0
198604,40.6
198605,50.8
198606,63.5
198607,62.6
198608,65.2
198609,48.9
198610,44.8
198611,26.7
198612,25.1
198701,24.2
198702,29.8
198703,33.0
198704,48.0
198705,54.7
198706,61.9
198707,64.4
198708,60.0
198709,56.5
198710,43.9
198711,34.7
198712,24.1
198801,17.4
198802,24.4
198803,33.6
198804,44.1
198805,54.7
198806,67.9
198807,67.9
198808,65.2
198809,53.8
198810,46.7
198811,30.6
198812,23.1
198901,21.4
198902,9.4
198903,26.7
198904,41.0
198905,49.9
198906,58.8
198907,68.8
198908,63.1
198909,54.3
198910,43.1
198911,33.0
198912,20.2
199001,25.6
199002,23.8
199003,33.4
199004,42.3
199005,48.8
199006,58.9
199007,65.6
199008,66.1
199009,60.3
199010,42.6
199011,33.1
199012,13.2
199101,15.6
199102,33.9
199103,32.1
199104,40.6
199105,49.8
199106,58.2
199107,66.3
199108,68.6
199109,55.6
199110,40.4
199111,27.2
199112,27.0
199201,28.0
199202,32.3
199203,38.7
199204,43.8
199205,53.5
199206,60.9
199207,59.9
199208,61.4
199209,53.4
199210,44.7
199211,29.7
199212,15.4
199301,12.2
199302,15.1
199303,34.4
199304,41.5
199305,53.7
199306,55.8
199307,57.2
199308,59.7
199309,51.6
199310,43.0
199311,25.2
199312,26.3
199401,20.8
199402,15.2
199403,35.9
199404,42.6
199405,53.6
199406,59.3
199407,65.9
199408,66.6
199409,58.6
199410,42.5
199411,27.5
199412,23.9
199501,22.4
199502,27.8
199503,29.9
199504,38.0
199505,48.4
199506,57.9
199507,64.1
199508,64.4
199509,54.5
199510,41.3
199511,31.4
199512,20.8
199601,11.3
199602,23.1
199603,24.2
199604,41.7
199605,45.9
199606,60.5
199607,66.0
199608,66.5
199609,52.6
199610,41.8
199611,22.3
199612,15.0
199701,14.3
199702,26.0
199703,31.8
199704,36.0
199705,51.0
199706,60.6
199707,64.4
199708,64.8
199709,58.1
199710,43.4
199711,30.4
199712,25.8
199801,19.0
199802,30.4
199803,28.9
199804,43.7
199805,52.7
199806,54.4
199807,69.1
199808,68.1
199809,61.4
199810,44.2
199811,33.1
199812,21.2
199901,22.2
199902,30.2
199903,35.2
199904,40.0
199905,48.7
199906,57.0
199907,64.0
199908,66.4
199909,51.6
199910,44.7
199911,39.0
199912,29.5
200001,22.1
200002,26.9
200003,35.5
200004,43.2
200005,51.5
200006,58.0
200007,68.4
200008,66.8
200009,54.4
200010,43.5
200011,22.1
200012,15.8
200101,24.6
200102,16.5
200103,33.8
200104,41.1
200105,53.3
200106,58.4
200107,67.1
200108,68.9
200109,58.7
200110,42.7
200111,36.3
200112,22.4
200201,22.7
200202,26.4
200203,19.8
200204,37.6
200205,47.5
200206,59.5
200207,69.6
200208,61.3
200209,55.7
200210,36.6
200211,33.8
200212,26.8
200301,24.7
200302,21.4
200303,29.8
200304,44.1
200305,50.1
200306,58.4
200307,70.3
200308,70.0
200309,54.6
200310,47.5
200311,24.0
200312,25.1
200401,17.0
200402,24.1
200403,37.5
200404,44.3
200405,48.1
200406,56.1
200407,66.1
200408,62.4
200409,54.1
200410,43.1
200411,33.6
200412,27.4
200501,18.1
200502,28.9
200503,34.6
200504,42.7
200505,49.0
200506,57.7
200507,67.6
200508,63.9
200509,55.4
200510,45.1
200511,33.2
200512,20.5
200601,31.4
200602,23.4
200603,30.6
200604,44.9
200605,52.9
200606,61.6
200607,71.2
200608,65.5
200609,54.8
200610,40.4
200611,30.3
200612,25.5
200701,21.8
200702,22.0
200703,38.9
200704,40.9
200705,52.1
200706,60.7
200707,73.3
200708,65.8
200709,55.0
200710,44.6
200711,31.6
200712,21.6
200801,18.1
200802,24.2
200803,31.2
200804,37.6
200805,49.6
200806,56.7
200807,66.5
200808,65.6
200809,53.6
200810,43.7
200811,35.8
200812,14.0
200901,21.1
200902,25.1
200903,28.3
200904,39.8
200905,50.5
200906,56.6
200907,64.6
200908,63.4
200909,60.7
200910,36.4
200911,35.2
200912,12.0
201001,20.6
201002,21.1
201003,36.2
201004,41.6
201005,46.3
201006,57.5
201007,64.3
201008,63.8
201009,54.1
201010,47.6
201011,26.6
201012,19.0
201101,19.1
201102,16.4
201103,28.6
201104,37.7
201105,47.1
201106,56.3
201107,66.6
201108,66.8
201109,58.3
201110,45.9
201111,30.0
201112,26.2
201201,25.1
201202,24.9
201203,39.4
201204,44.8
201205,49.5
201206,60.2
201207,70.7
201208,66.7
201209,58.2
201210,41.0
201211,32.4
201212,21.5
201301,21.7
201302,27.4
201303,30.5
201304,36.9
201305,51.9
201306,59.0
201307,67.5
201308,67.3
201309,58.8
201310,40.8
201311,30.4
201312,16.4
201401,24.5
201402,14.7
201403,29.4
201404,41.0
201405,51.1
201406,56.5
201407,67.6
201408,64.8
201409,55.1
201410,47.9
201411,25.3
201412,25.0
201501,24.7
201502,26.9
201503,39.5
201504,42.8
201505,49.6
201506,63.8
201507,66.2
201508,65.9
201509,57.3
201510,48.0
201511,30.0
201512,23.6
201601,23.4
201602,33.6
201603,37.4
201604,45.0
201605,51.0
201606,62.4
201607,65.9
201608,64.4
201609,54.8
201610,44.3
201611,39.1
201612,14.2
201701,15.2
201702,25.4
201703,35.8
201704,42.1
201705,52.3
201706,60.6
201707,71.6
201708,65.5
201709,55.2
201710,42.6
201711,30.7
201712,21.1
201801,21.7
201802,11.4
201803,28.3
201804,37.9
201805,55.7
201806,59.2
201807,66.8
201808,64.5
201809,53.0
201810,41.6
201811,30.2
201812,25.0
201901,24.7
201902,5.1
201903,25.2
201904,41.9
201905,47.7
201906,58.6
201907,65.0
201908,64.8
201909,55.0
201910,35.4
201911,29.3
201912,25.8
202001,23.4
202002,25.6
202003,31.6
202004,38.3
202005,50.6
202006,59.3
202007,65.6
202008,67.4
202009,57.0
202010,39.3
202011,32.8
202012,28.5
202101,26.7
202102,13.7
202103,36.1
202104,40.5
202105,48.6
202106,65.3
202107,72.5
202108,64.7
202109,58.3
202110,45.6
202111,36.3
202112,19.3
202201,22.9
202202,22.6
202203,33.5
202204,35.2
202205,48.5
202206,58.5
202207,69.0
202208,69.7
202209,60.6
202210,47.1
202211,22.7
202212,14.6
202301,22.9
202302,23.3
202303,23.4
202304,39.2
202305,56.3
202306,60.4
202307,67.4
202308,66.8
202309,58.5
202310,42.4
202311,34.5
202312,31.3
202401,18.2
202402,28.5
202403,31.0
