North Carolina December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,34.1
198502,41.4
198503,51.9
198504,60.9
198505,67.0
198506,73.7
198507,75.8
198508,74.3
198509,69.4
198510,64.0
198511,58.8
198512,39.1
198601,38.1
198602,44.6
198603,49.8
198604,59.9
198605,66.8
198606,75.9
198607,80.1
198608,74.4
198609,70.8
198610,61.7
198611,53.0
198612,42.4
198701,38.2
198702,40.0
198703,48.2
198704,55.1
198705,68.4
198706,74.8
198707,78.7
198708,77.9
198709,71.0
198710,53.7
198711,51.9
198712,43.7
198801,34.4
198802,41.0
198803,49.2
198804,57.0
198805,64.7
198806,72.0
198807,76.9
198808,78.2
198809,68.7
198810,53.6
198811,50.7
198812,40.7
198901,44.2
198902,43.3
198903,50.4
198904,56.7
198905,63.4
198906,75.1
198907,76.5
198908,74.9
198909,70.2
198910,59.8
198911,50.6
198912,33.4
199001,46.5
199002,49.4
199003,53.3
199004,57.8
199005,66.1
199006,73.7
199007,78.0
199008,76.5
199009,70.0
199010,62.0
199011,52.4
199012,47.3
199101,41.6
199102,45.4
199103,52.2
199104,60.6
199105,70.5
199106,74.0
199107,79.0
199108,75.6
199109,69.9
199110,59.8
199111,48.4
199112,45.6
199201,41.9
199202,45.8
199203,48.8
199204,57.3
199205,62.1
199206,70.5
199207,78.7
199208,73.4
199209,70.3
199210,56.8
199211,51.0
199212,41.9
199301,43.6
199302,40.0
199303,46.5
199304,55.4
199305,67.1
199306,74.4
199307,80.7
199308,76.3
199309,71.7
199310,58.9
199311,50.2
199312,39.8
199401,36.3
199402,43.2
199403,51.2
199404,61.3
199405,62.9
199406,75.5
199407,77.6
199408,74.0
199409,67.6
199410,58.1
199411,53.8
199412,46.6
199501,41.2
199502,40.0
199503,51.7
199504,59.4
199505,66.6
199506,72.2
199507,78.1
199508,77.6
199509,68.7
199510,61.4
199511,45.9
199512,38.3
199601,38.2
199602,41.8
199603,45.2
199604,57.4
199605,67.4
199606,73.9
199607,76.6
199608,74.3
199609,69.2
199610,59.4
199611,45.5
199612,44.4
199701,40.5
199702,46.0
199703,54.4
199704,54.5
199705,62.4
199706,70.3
199707,77.5
199708,74.2
199709,69.6
199710,59.3
199711,46.8
199712,41.6
199801,44.3
199802,45.6
199803,49.4
199804,58.5
199805,68.4
199806,75.8
199807,78.4
199808,76.5
199809,73.2
199810,61.0
199811,51.8
199812,47.0
199901,45.0
199902,44.8
199903,46.6
199904,60.4
199905,65.2
199906,72.4
199907,78.6
199908,77.8
199909,68.6
199910,58.7
199911,54.5
199912,43.4
200001,38.8
200002,45.6
200003,53.4
200004,56.9
200005,69.1
200006,75.0
200007,75.4
200008,75.0
200009,69.1
200010,59.7
200011,47.5
200012,35.1
200101,39.3
200102,46.4
200103,47.2
200104,59.8
200105,66.3
200106,74.3
200107,74.6
200108,76.7
200109,67.6
200110,57.7
200111,54.8
200112,48.0
200201,42.6
200202,44.4
200203,51.1
200204,62.5
200205,65.3
200206,75.2
200207,78.7
200208,77.0
200209,72.2
200210,62.1
200211,48.1
200212,40.5
200301,36.4
200302,41.4
200303,52.8
200304,57.6
200305,65.8
200306,72.5
200307,76.6
200308,77.3
200309,69.4
200310,58.9
200311,55.7
200312,40.3
200401,37.9
200402,40.4
200403,51.8
200404,58.8
200405,71.1
200406,74.4
200407,77.3
200408,73.9
200409,70.2
200410,61.6
200411,52.8
200412,41.9
200501,43.0
200502,43.8
200503,47.2
200504,57.6
200505,63.3
200506,73.5
200507,79.2
200508,78.1
200509,73.6
200510,61.7
200511,52.1
200512,40.0
200601,46.6
200602,42.1
200603,49.8
200604,61.7
200605,64.2
200606,73.1
200607,77.6
200608,78.3
200609,68.1
200610,57.7
200611,51.5
200612,47.1
200701,44.2
200702,39.1
200703,53.8
200704,57.3
200705,66.0
200706,74.1
200707,75.8
200708,80.6
200709,72.4
200710,65.4
200711,49.5
200712,47.5
200801,40.1
200802,46.2
200803,51.0
200804,58.7
200805,64.8
200806,77.1
200807,76.6
200808,75.5
200809,70.8
200810,57.8
200811,47.2
200812,46.1
200901,38.7
200902,42.8
200903,49.3
200904,58.7
200905,67.5
200906,75.1
200907,75.2
200908,77.4
200909,69.6
200910,58.9
200911,52.7
200912,40.7
201001,36.6
201002,36.9
201003,49.5
201004,61.3
201005,69.5
201006,78.8
201007,79.4
201008,78.6
201009,73.1
201010,60.9
201011,50.0
201012,33.6
201101,36.2
201102,45.7
201103,50.6
201104,61.4
201105,67.6
201106,77.0
201107,80.0
201108,77.7
201109,71.0
201110,58.2
201111,52.4
201112,46.9
201201,43.9
201202,45.8
201203,58.7
201204,59.2
201205,69.6
201206,72.3
201207,80.3
201208,75.6
201209,69.8
201210,59.5
201211,46.3
201212,47.6
201301,44.1
201302,41.8
201303,44.0
201304,58.7
201305,65.1
201306,74.3
201307,77.0
201308,74.4
201309,69.4
201310,60.7
201311,47.8
201312,45.4
201401,35.3
201402,43.0
201403,45.5
201404,59.2
201405,68.5
201406,75.2
201407,75.7
201408,74.3
201409,71.2
201410,61.4
201411,45.8
201412,45.1
201501,39.4
201502,34.9
201503,50.7
201504,60.0
201505,68.6
201506,77.3
201507,78.5
201508,76.1
201509,71.6
201510,60.0
201511,54.4
201512,54.7
201601,38.4
201602,43.2
201603,56.2
201604,58.7
201605,65.8
201606,75.3
201607,80.1
201608,79.2
201609,74.3
201610,63.2
201611,51.7
201612,44.0
201701,45.4
201702,50.7
201703,50.0
201704,63.9
201705,67.7
201706,73.8
201707,78.7
201708,75.8
201709,70.5
201710,62.8
201711,50.3
201712,42.4
201801,35.9
201802,51.9
201803,46.3
201804,56.1
201805,71.6
201806,76.8
201807,77.2
201808,77.3
201809,76.2
201810,62.5
201811,48.4
201812,45.0
201901,42.0
201902,48.1
201903,48.8
201904,61.1
201905,72.2
201906,74.2
201907,79.0
201908,77.0
201909,74.9
201910,64.6
201911,47.4
201912,46.6
202001,46.0
202002,47.0
202003,55.9
202004,57.4
202005,63.6
202006,73.2
202007,79.6
202008,77.5
202009,69.7
202010,63.0
202011,54.8
202012,42.2
202101,40.8
202102,42.2
202103,53.1
202104,58.6
202105,65.5
202106,73.8
202107,77.1
202108,77.8
202109,70.6
202110,64.4
202111,48.1
202112,50.8
202201,38.7
202202,46.0
202203,53.4
202204,58.8
202205,68.8
202206,75.1
202207,79.1
202208,76.5
202209,70.3
202210,57.4
202211,53.2
202212,41.8
202301,46.6
202302,51.2
202303,52.1
202304,60.2
202305,64.1
202306,70.8
202307,78.6
202308,77.3
202309,70.7
202310,60.8
202311,50.1
202312,45.9
202401,41.8
202402,46.9
202403,53.9
