North Dakota December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,6.6
198502,10.7
198503,31.6
198504,46.2
198505,58.6
198506,58.4
198507,69.3
198508,62.7
198509,51.8
198510,42.6
198511,13.4
198512,7.0
198601,17.8
198602,11.1
198603,35.5
198604,41.2
198605,55.4
198606,65.8
198607,68.2
198608,64.9
198609,52.9
198610,45.0
198611,21.3
198612,20.8
198701,19.4
198702,26.4
198703,27.9
198704,50.2
198705,59.3
198706,67.5
198707,69.8
198708,63.9
198709,58.2
198710,41.6
198711,33.8
198712,22.3
198801,7.3
198802,11.9
198803,29.4
198804,44.1
198805,60.1
198806,74.1
198807,72.1
198808,69.1
198809,55.6
198810,42.6
198811,26.9
198812,15.8
198901,12.9
198902,2.6
198903,20.4
198904,41.9
198905,55.9
198906,62.3
198907,73.5
198908,68.7
198909,57.2
198910,44.8
198911,25.9
198912,6.6
199001,21.8
199002,17.7
199003,31.9
199004,42.1
199005,52.7
199006,64.3
199007,67.9
199008,69.2
199009,60.6
199010,43.4
199011,30.2
199012,9.0
199101,6.7
199102,25.1
199103,30.1
199104,45.4
199105,56.5
199106,66.2
199107,68.8
199108,70.7
199109,56.7
199110,39.6
199111,21.7
199112,20.3
199201,20.3
199202,24.4
199203,33.3
199204,40.1
199205,57.0
199206,61.4
199207,61.8
199208,62.8
199209,54.9
199210,43.7
199211,26.0
199212,9.2
199301,5.9
199302,9.6
199303,28.2
199304,41.3
199305,54.2
199306,58.8
199307,62.4
199308,64.5
199309,52.2
199310,41.8
199311,24.2
199312,16.3
199401,-1.9
199402,3.0
199403,30.8
199404,41.8
199405,57.3
199406,63.9
199407,65.7
199408,65.7
199409,59.9
199410,46.6
199411,29.7
199412,17.3
199501,9.7
199502,16.5
199503,24.9
199504,36.6
199505,51.6
199506,66.3
199507,67.6
199508,69.5
199509,56.1
199510,43.1
199511,22.0
199512,11.6
199601,0.3
199602,14.6
199603,17.3
199604,36.3
199605,50.4
199606,65.1
199607,66.6
199608,69.1
199609,56.1
199610,42.8
199611,15.0
199612,4.6
199701,1.6
199702,16.7
199703,22.5
199704,36.5
199705,51.7
199706,67.2
199707,68.7
199708,67.4
199709,60.4
199710,45.3
199711,25.4
199712,24.9
199801,10.4
199802,27.8
199803,21.8
199804,46.9
199805,56.9
199806,59.8
199807,70.2
199808,70.6
199809,62.4
199810,45.4
199811,28.8
199812,17.4
199901,6.9
199902,22.9
199903,31.2
199904,42.6
199905,54.3
199906,62.6
199907,69.2
199908,67.3
199909,53.6
199910,43.3
199911,37.3
199912,24.3
200001,12.4
200002,22.1
200003,35.1
200004,41.6
200005,55.4
200006,60.4
200007,69.7
200008,68.4
