Nebraska December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,19.2
198502,23.2
198503,40.7
198504,52.5
198505,62.2
198506,66.1
198507,74.6
198508,69.5
198509,60.0
198510,49.4
198511,24.6
198512,19.1
198601,31.6
198602,26.6
198603,43.7
198604,49.2
198605,58.7
198606,71.6
198607,75.3
198608,69.7
198609,62.5
198610,50.4
198611,34.2
198612,29.5
198701,28.9
198702,35.4
198703,36.5
198704,51.7
198705,63.2
198706,71.0
198707,75.6
198708,69.8
198709,61.8
198710,47.5
198711,39.7
198712,28.4
198801,17.4
198802,25.5
198803,38.2
198804,48.2
198805,62.1
198806,74.8
198807,74.2
198808,74.0
198809,62.9
198810,48.9
198811,38.4
198812,30.5
198901,31.1
198902,17.2
198903,35.2
198904,51.0
198905,59.0
198906,66.0
198907,75.2
198908,72.0
198909,61.0
198910,51.4
198911,37.2
198912,19.5
199001,31.9
199002,29.8
199003,39.2
199004,48.0
199005,55.9
199006,71.0
199007,72.5
199008,72.7
199009,67.0
199010,50.8
199011,40.2
199012,20.9
199101,19.9
199102,36.4
199103,40.1
199104,49.8
199105,61.0
199106,71.6
199107,74.3
199108,73.1
199109,63.7
199110,49.5
199111,30.5
199112,31.5
199201,31.5
199202,36.8
199203,41.9
199204,48.6
199205,59.7
199206,65.2
199207,68.1
199208,66.9
199209,62.5
199210,50.8
199211,32.3
199212,22.8
199301,18.2
199302,19.1
199303,35.9
199304,45.5
199305,58.1
199306,65.3
199307,70.8
199308,70.7
199309,57.7
199310,48.9
199311,31.8
199312,29.9
199401,21.8
199402,21.0
199403,40.8
199404,48.2
199405,62.1
199406,71.1
199407,70.7
199408,71.8
199409,64.5
199410,52.2
199411,37.6
199412,29.0
199501,24.8
199502,33.5
199503,37.0
199504,43.5
199505,52.6
199506,66.6
199507,74.0
199508,76.1
199509,61.3
199510,49.6
199511,36.0
199512,27.7
199601,19.0
199602,29.8
199603,31.0
199604,47.3
199605,56.4
199606,69.5
199607,71.8
199608,70.6
199609,60.3
199610,50.8
199611,30.0
199612,22.8
199701,21.2
199702,29.4
199703,40.2
199704,42.4
199705,55.2
199706,69.4
199707,74.2
199708,71.1
199709,64.9
199710,51.6
199711,34.6
199712,29.4
199801,26.6
199802,35.2
199803,31.8
199804,47.4
199805,61.9
199806,65.0
199807,75.3
199808,73.4
199809,69.1
199810,51.7
199811,40.6
199812,29.3
199901,26.4
199902,37.0
199903,39.2
199904,47.1
199905,58.2
199906,66.9
199907,76.1
199908,71.8
199909,60.3
199910,51.2
199911,45.0
199912,32.5
200001,28.6
200002,35.0
200003,41.9
200004,48.7
200005,61.6
200006,67.6
200007,75.2
200008,76.4
200009,64.5
200010,52.7
200011,28.2
200012,18.7
200101,27.5
200102,22.0
200103,35.8
200104,50.6
200105,59.8
200106,68.5
200107,77.1
200108,73.9
200109,63.6
200110,51.0
200111,43.9
200112,30.3
200201,29.5
200202,31.8
200203,30.1
200204,49.9
200205,56.0
200206,73.9
200207,78.3
200208,73.0
200209,64.3
200210,44.4
200211,37.1
200212,31.8
200301,26.9
200302,25.0
200303,38.7
200304,50.5
200305,57.4
200306,66.1
200307,76.4
200308,75.5
200309,61.1
200310,54.6
200311,34.7
200312,30.5
200401,24.0
200402,26.3
200403,43.1
200404,50.5
200405,60.4
200406,65.2
200407,71.7
200408,68.5
200409,66.2
200410,52.3
200411,38.7
200412,30.8
200501,23.1
200502,34.4
200503,39.4
200504,49.7
200505,57.8
200506,70.0
200507,75.9
200508,72.6
200509,67.5
200510,51.9
200511,41.1
200512,25.0
200601,37.1
200602,28.1
200603,36.8
200604,53.3
200605,61.2
200606,71.8
200607,77.5
200608,72.9
200609,58.8
200610,48.0
200611,37.6
200612,30.2
200701,21.6
200702,23.1
200703,45.6
200704,46.4
200705,62.1
200706,69.2
200707,76.1
200708,75.6
200709,64.7
200710,53.6
200711,39.5
200712,22.0
200801,21.3
200802,26.2
200803,37.4
200804,44.6
200805,56.3
200806,67.5
200807,75.0
200808,71.4
200809,62.2
200810,50.2
200811,38.9
200812,21.3
200901,25.5
200902,31.8
200903,37.4
200904,46.1
200905,59.1
200906,66.8
200907,70.2
200908,69.4
200909,61.8
200910,42.3
200911,42.2
200912,18.6
201001,22.1
201002,23.0
201003,39.7
201004,51.7
201005,56.3
201006,69.6
201007,74.5
201008,74.8
201009,63.6
201010,54.0
201011,36.7
201012,26.1
201101,20.4
201102,24.5
201103,37.1
201104,47.5
201105,56.0
201106,68.2
201107,77.7
201108,73.9
201109,60.6
201110,52.7
201111,38.2
201112,28.6
201201,30.4
201202,29.3
201203,50.8
201204,53.5
201205,62.3
201206,73.4
201207,80.0
201208,73.0
201209,64.1
201210,48.2
201211,40.0
201212,27.6
201301,25.5
201302,28.8
201303,34.8
201304,42.5
201305,58.5
201306,68.8
201307,73.2
201308,73.8
201309,68.0
201310,48.8
201311,36.0
201312,22.8
201401,25.4
201402,20.8
201403,35.4
201404,48.3
201405,58.5
201406,68.1
201407,71.2
201408,72.2
201409,62.9
201410,53.2
201411,32.2
201412,28.0
201501,27.2
201502,26.1
201503,42.9
201504,50.5
