New Hampshire December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,13.0
198502,22.2
198503,31.0
198504,41.7
198505,53.6
198506,58.9
198507,66.7
198508,63.6
198509,57.5
198510,46.4
198511,35.8
198512,18.7
198601,19.6
198602,17.8
198603,31.5
198604,45.4
198605,55.2
198606,59.1
198607,64.8
198608,63.1
198609,54.3
198610,45.0
198611,31.7
198612,25.0
198701,17.0
198702,17.6
198703,31.7
198704,44.6
198705,53.5
198706,62.1
198707,67.5
198708,62.3
198709,56.1
198710,43.9
198711,34.1
198712,26.3
198801,16.2
198802,20.4
198803,29.4
198804,41.3
198805,54.8
198806,60.5
198807,69.1
198808,67.6
198809,55.0
198810,42.3
198811,35.9
198812,20.2
198901,21.9
198902,19.3
198903,27.7
198904,38.3
198905,55.6
198906,62.4
198907,66.6
198908,64.0
198909,57.5
198910,46.6
198911,33.1
198912,7.6
199001,26.0
199002,22.2
199003,31.4
199004,42.5
199005,50.2
199006,62.5
199007,67.0
199008,66.6
199009,56.7
199010,49.5
199011,36.8
199012,28.1
199101,17.6
199102,24.7
199103,32.9
199104,45.0
199105,57.0
199106,62.7
199107,66.0
199108,66.5
199109,54.7
199110,48.0
199111,36.4
199112,22.8
199201,18.7
199202,21.5
199203,26.1
199204,39.1
199205,52.5
199206,60.9
199207,62.9
199208,63.3
199209,56.8
199210,42.5
199211,32.8
199212,24.5
199301,21.0
199302,12.0
199303,26.9
199304,42.8
199305,54.1
199306,61.4
199307,67.3
199308,66.4
199309,56.3
199310,43.0
199311,34.8
199312,24.3
199401,8.7
199402,14.8
199403,29.1
199404,41.9
199405,51.3
199406,65.0
199407,69.9
199408,63.5
199409,55.4
199410,46.7
199411,38.7
199412,27.5
199501,24.8
199502,17.7
199503,32.8
199504,38.0
199505,51.6
199506,63.9
199507,69.4
199508,65.5
199509,54.0
199510,49.9
199511,32.2
199512,19.5
199601,17.8
199602,19.6
199603,27.4
199604,41.0
199605,50.9
199606,63.2
199607,65.8
199608,65.7
199609,58.2
199610,44.8
199611,31.6
199612,29.6
199701,17.8
199702,24.9
199703,26.7
199704,38.9
199705,48.6
199706,62.8
199707,65.6
199708,64.1
199709,56.2
199710,44.4
199711,32.9
199712,24.7
199801,23.2
199802,27.8
199803,32.7
199804,43.8
199805,57.6
199806,61.4
199807,66.9
199808,66.3
199809,58.6
199810,47.2
199811,36.1
199812,30.1
199901,18.8
199902,24.4
199903,31.5
199904,42.4
199905,55.4
199906,66.0
199907,69.1
199908,64.6
199909,61.2
199910,44.0
199911,40.2
199912,27.1
200001,16.9
200002,22.8
200003,35.5
200004,41.3
200005,52.7
200006,61.6
200007,63.7
200008,63.7
200009,56.2
200010,46.2
200011,36.1
200012,19.2
200101,18.5
200102,20.8
200103,26.8
200104,40.8
200105,55.2
200106,64.2
200107,64.3
200108,68.6
200109,58.3
200110,47.9
200111,38.9
200112,30.6
200201,26.6
200202,25.0
200203,30.9
200204,44.0
200205,50.6
200206,60.6
200207,67.5
200208,68.3
200209,61.2
200210,43.7
200211,33.3
200212,22.7
200301,11.5
200302,16.3
200303,28.4
200304,38.7
200305,52.0
200306,62.5
200307,67.6
200308,67.9
200309,58.6
200310,44.9
200311,37.4
200312,24.2
