New Jersey December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,25.4
198502,33.1
198503,42.5
198504,52.9
198505,62.7
198506,66.5
198507,73.4
198508,71.7
198509,66.7
198510,56.0
198511,48.3
198512,30.8
198601,30.7
198602,29.6
198603,41.6
198604,50.3
198605,63.1
198606,69.2
198607,74.2
198608,70.4
198609,64.5
198610,55.4
198611,42.4
198612,35.9
198701,29.3
198702,30.0
198703,42.2
198704,50.4
198705,61.0
198706,71.1
198707,75.9
198708,71.2
198709,65.4
198710,49.9
198711,45.5
198712,36.7
198801,25.0
198802,32.3
198803,41.3
198804,48.5
198805,60.1
198806,68.8
198807,76.5
198808,75.4
198809,63.4
198810,49.3
198811,45.3
198812,33.0
198901,34.3
198902,32.4
198903,39.7
198904,48.6
198905,59.4
198906,71.2
198907,73.0
198908,71.8
198909,66.0
198910,55.4
198911,43.1
198912,22.7
199001,38.0
199002,38.3
199003,43.3
199004,50.4
199005,58.5
199006,69.2
199007,74.4
199008,72.6
199009,63.9
199010,58.7
199011,46.6
199012,39.5
199101,31.6
199102,37.3
199103,43.0
199104,52.4
199105,66.0
199106,70.9
199107,75.0
199108,74.2
199109,64.8
199110,55.1
199111,44.9
199112,37.5
199201,32.8
199202,34.6
199203,38.0
199204,48.3
199205,57.7
199206,66.7
199207,72.5
199208,69.4
199209,64.8
199210,50.8
199211,43.9
199212,35.0
199301,35.1
199302,28.4
199303,36.6
199304,50.3
199305,61.9
199306,69.3
199307,76.3
199308,73.6
199309,65.1
199310,52.4
199311,43.9
199312,33.8
199401,23.7
199402,28.4
199403,38.7
199404,53.7
199405,58.3
199406,72.2
199407,76.8
199408,70.1
199409,64.2
199410,52.7
199411,48.6
199412,38.9
199501,35.6
199502,28.8
199503,43.3
199504,49.4
199505,59.0
199506,69.4
199507,76.1
199508,74.3
199509,65.5
199510,57.8
199511,40.5
199512,29.8
199601,28.8
199602,32.0
199603,36.5
199604,50.5
199605,58.3
199606,70.1
199607,71.7
199608,71.9
199609,66.2
199610,54.1
199611,39.8
199612,38.4
199701,30.3
199702,38.0
199703,41.2
199704,48.4
199705,57.1
199706,67.8
199707,74.0
199708,71.0
199709,64.4
199710,54.2
199711,42.1
199712,36.1
199801,38.8
199802,39.1
199803,43.2
199804,52.4
199805,63.3
199806,68.5
199807,74.4
199808,74.1
199809,68.2
199810,55.2
199811,44.7
199812,40.0
199901,33.1
199902,35.4
199903,40.0
199904,50.8
199905,60.5
199906,70.6
199907,78.4
199908,73.8
199909,67.2
199910,53.0
199911,48.6
199912,37.6
200001,30.0
200002,35.3
200003,45.6
200004,49.8
200005,62.0
200006,70.3
200007,71.0
200008,71.0
200009,64.4
200010,54.9
200011,43.0
200012,29.0
200101,29.8
200102,35.0
200103,38.2
200104,51.4
200105,61.6
200106,71.0
200107,71.1
200108,75.5
200109,64.8
200110,55.4
200111,48.8
200112,41.1
200201,36.9
200202,38.4
200203,42.9
200204,53.9
200205,59.2
200206,70.1
200207,76.1
200208,75.8
200209,67.8
200210,54.1
200211,43.2
200212,33.3
200301,26.4
200302,28.2
200303,41.3
200304,48.5
200305,56.9
200306,67.4
200307,74.5
200308,75.1
200309,66.9
200310,52.9
200311,48.5
200312,35.5
200401,24.6
200402,33.1
200403,42.8
200404,51.9
200405,66.0
200406,69.0
200407,73.2
200408,72.4
200409,67.6
200410,53.6
200411,46.4
200412,35.6
200501,30.1
200502,34.2
200503,37.1
200504,52.5
200505,56.6
200506,72.1
200507,76.0
200508,76.4
200509,70.2
200510,56.3
200511,47.4
200512,32.5
200601,38.7
200602,34.2
200603,41.8
200604,53.4
200605,61.4
200606,70.1
200607,76.7
200608,74.2
200609,64.3
200610,53.6
200611,49.6
200612,41.7
200701,36.7
200702,27.1
200703,40.9
200704,48.6
200705,62.8
200706,70.6
200707,73.7
200708,73.4
200709,68.0
200710,62.1
200711,43.5
200712,35.6
200801,34.3
200802,35.2
200803,41.7
200804,53.0
200805,57.9
200806,73.0
200807,76.0
200808,71.3
200809,67.4
200810,53.4
200811,43.7
200812,36.6
200901,26.9
200902,35.1
200903,40.8
200904,52.5
200905,61.3
200906,67.6
200907,72.0
200908,74.9
200909,64.7
200910,53.4
200911,49.2
200912,34.4
201001,31.2
201002,31.1
201003,46.2
201004,55.5
201005,64.0
201006,73.9
201007,78.3
201008,74.9
201009,69.2
201010,56.0
201011,45.0
201012,30.8
201101,27.2
201102,34.4
201103,41.2
201104,53.9
201105,63.7
201106,71.9
201107,78.4
201108,73.5
201109,68.9
201110,55.8
201111,48.9
201112,40.5
201201,35.6
201202,38.9
201203,49.8
201204,52.6
201205,65.1
201206,70.0
201207,77.8
201208,74.7
201209,67.0
201210,56.8
201211,41.5
201212,40.6
201301,33.9
201302,32.8
201303,38.6
201304,51.5
201305,60.9
201306,71.2
201307,77.8
201308,71.4
201309,64.4
201310,57.1
201311,42.9
201312,36.0
201401,26.0
201402,29.5
201403,35.4
201404,50.3
201405,62.0
201406,70.6
201407,74.1
201408,70.8
201409,66.9
201410,57.0
201411,42.0
201412,38.7
201501,27.9
201502,22.3
201503,35.9
201504,51.5
201505,66.1
201506,70.3
201507,75.2
201508,74.3
201509,70.7
201510,54.5
201511,49.7
201512,48.0
201601,31.4
201602,36.0
201603,47.0
201604,50.7
201605,60.2
201606,70.6
201607,77.2
201608,76.9
201609,69.7
201610,56.7
201611,46.7
201612,36.3
201701,36.2
201702,40.4
201703,38.9
201704,55.9
201705,60.0
201706,70.4
201707,75.5
201708,71.6
201709,68.2
201710,60.4
201711,44.4
201712,33.2
201801,29.2
201802,39.4
201803,38.3
201804,48.0
201805,65.2
201806,70.1
201807,76.2
201808,76.8
201809,70.2
201810,56.4
201811,42.5
201812,37.8
201901,31.6
201902,34.7
201903,39.4
201904,54.8
201905,62.8
201906,70.6
201907,78.0
201908,74.5
201909,69.0
201910,58.2
201911,41.3
201912,36.4
202001,37.3
202002,39.1
202003,46.3
202004,48.7
202005,59.1
202006,71.5
202007,78.8
202008,75.5
202009,66.8
202010,57.0
202011,49.2
202012,37.0
202101,33.7
202102,32.0
202103,44.0
202104,52.6
202105,60.8
202106,71.8
202107,75.7
202108,75.9
202109,68.7
202110,61.0
202111,43.6
202112,41.2
202201,28.6
202202,35.6
202203,43.9
202204,51.1
202205,63.2
202206,69.9
202207,77.9
202208,77.2
202209,67.6
202210,54.0
202211,47.6
202212,35.5
202301,41.1
202302,39.1
202303,42.2
202304,55.3
202305,59.2
202306,67.6
202307,77.0
202308,73.0
202309,67.6
202310,58.2
202311,43.1
202312,41.2
202401,34.5
202402,37.4
202403,46.0
