New Mexico December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,31.9
198502,35.2
198503,45.0
198504,53.4
198505,60.7
198506,69.2
198507,72.5
198508,71.6
198509,62.5
198510,53.7
198511,43.7
198512,34.7
198601,39.2
198602,40.6
198603,47.4
198604,54.1
198605,60.2
198606,68.2
198607,71.2
198608,71.5
198609,63.0
198610,52.0
198611,41.2
198612,34.3
198701,32.3
198702,37.2
198703,40.9
198704,50.6
198705,58.5
198706,68.2
198707,71.8
198708,69.7
198709,62.8
198710,56.5
198711,41.8
198712,32.7
198801,31.0
198802,39.1
198803,42.9
198804,51.0
198805,59.7
198806,69.3
198807,71.8
198808,70.2
198809,62.5
198810,56.8
198811,43.8
198812,33.5
198901,34.2
198902,37.8
198903,48.7
198904,56.3
198905,63.6
198906,69.2
198907,73.2
198908,70.2
198909,64.0
198910,54.2
198911,43.8
198912,32.6
199001,33.6
199002,37.0
199003,45.0
199004,53.4
199005,59.7
199006,74.5
199007,71.2
199008,68.6
199009,65.8
199010,54.2
199011,44.2
199012,32.0
199101,32.7
199102,40.7
199103,43.0
199104,51.6
199105,61.1
199106,68.1
199107,70.6
199108,70.0
199109,62.5
199110,55.2
199111,40.1
199112,34.5
199201,31.6
199202,39.4
199203,45.3
199204,54.6
199205,59.4
199206,66.9
199207,71.5
199208,69.9
199209,65.3
199210,56.4
199211,37.8
199212,32.6
199301,36.8
199302,38.2
199303,45.0
199304,52.2
199305,60.5
199306,69.2
199307,73.6
199308,70.5
199309,63.6
199310,52.7
199311,40.0
199312,35.4
199401,35.2
199402,37.2
199403,46.0
199404,52.2
199405,61.1
199406,73.7
199407,74.5
199408,73.6
199409,65.4
199410,53.5
199411,42.5
199412,38.4
199501,35.7
199502,44.0
199503,45.7
199504,49.5
199505,58.7
199506,67.4
199507,72.6
199508,73.7
199509,65.0
199510,55.3
199511,46.7
199512,37.5
199601,36.3
199602,42.9
199603,43.4
199604,53.2
199605,66.7
199606,72.0
199607,73.8
199608,71.0
199609,62.3
199610,53.6
199611,43.9
199612,37.0
199701,32.9
199702,36.9
199703,47.4
199704,48.5
199705,61.4
199706,68.5
199707,72.9
199708,71.6
199709,67.9
199710,53.7
199711,41.8
199712,31.3
199801,37.1
199802,37.3
199803,43.1
199804,48.3
199805,61.8
199806,69.9
199807,74.3
199808,71.5
199809,68.9
199810,55.4
199811,45.7
199812,36.9
199901,39.3
199902,42.6
199903,46.9
199904,50.3
199905,59.8
199906,68.3
199907,72.4
199908,71.1
199909,64.4
199910,55.0
199911,47.7
199912,34.2
200001,38.9
200002,43.7
200003,45.7
200004,55.5
200005,66.0
200006,70.7
200007,74.6
200008,73.2
200009,68.0
200010,53.9
200011,37.1
200012,35.2
200101,31.8
200102,39.3
200103,44.4
200104,54.2
200105,63.1
200106,71.5
200107,75.2
200108,71.5
200109,66.7
200110,56.8
200111,45.7
200112,34.7
200201,36.0
200202,37.0
200203,43.6
200204,57.3
200205,62.7
200206,73.8
200207,73.8
200208,73.2
200209,65.4
200210,52.8
200211,42.5
200212,34.5
200301,40.2
200302,38.6
200303,45.1
200304,52.9
200305,63.2
200306,69.2
200307,76.8
200308,73.5
200309,66.0
200310,58.9
200311,44.6
200312,36.8
200401,36.6
200402,35.0
200403,49.7
200404,51.4
200405,63.1
200406,69.9
200407,72.3
200408,69.3
200409,63.9
200410,54.2
200411,41.4
200412,35.7
200501,39.9
200502,40.1
200503,43.1
200504,51.7
200505,61.6
200506,69.8
200507,75.0
200508,70.8
200509,67.3
200510,55.2
200511,45.3
200512,36.8
200601,38.2
200602,40.1
200603,45.3
200604,56.2
200605,65.0
200606,73.0
200607,74.6
200608,70.2
200609,60.9
200610,53.6
200611,45.3
200612,34.5
200701,30.8
200702,39.2
200703,47.6
200704,51.6
200705,60.0
200706,69.8
200707,73.3
200708,73.7
200709,67.0
200710,56.5
200711,46.1
200712,35.0
200801,32.5
200802,39.6
200803,44.9
200804,51.6
200805,60.2
200806,71.9
200807,72.0
200808,71.0
200809,63.7
200810,54.9
200811,44.6
200812,36.8
200901,37.8
200902,41.8
200903,47.2
200904,51.7
200905,63.6
200906,69.0
200907,74.8
200908,72.2
200909,63.9
200910,52.5
200911,45.2
200912,31.6
201001,33.6
201002,35.1
201003,43.1
201004,52.7
201005,59.9
201006,72.6
201007,73.4
201008,72.3
201009,68.3
201010,56.7
201011,42.0
201012,40.4
201101,33.8
201102,35.0
201103,49.2
201104,55.6
201105,59.6
201106,73.1
201107,76.6
201108,76.0
201109,66.3
201110,55.3
201111,43.5
201112,31.4
201201,38.6
201202,38.2
201203,47.8
201204,56.6
201205,63.4
201206,74.2
201207,74.4
201208,73.9
201209,66.2
201210,56.1
201211,46.6
201212,36.0
201301,32.0
201302,36.1
201303,46.6
201304,52.6
201305,61.6
201306,74.1
201307,73.0
201308,72.3
201309,66.0
201310,52.6
201311,42.7
201312,34.5
201401,36.4
201402,41.9
201403,46.0
201404,52.3
201405,60.1
201406,72.4
201407,74.2
201408,70.5
201409,66.5
201410,57.4
201411,42.4
201412,37.6
201501,35.6
201502,41.4
201503,47.6
201504,52.5
201505,58.3
201506,71.6
201507,73.1
201508,73.4
201509,69.0
201510,57.5
201511,43.4
201512,35.9
201601,34.3
201602,42.0
201603,48.3
201604,52.3
201605,59.4
201606,73.0
201607,76.9
201608,70.1
201609,65.9
201610,59.6
201611,46.7
201612,37.8
201701,37.2
201702,44.5
201703,51.2
201704,53.7
201705,60.1
201706,72.8
201707,74.6
201708,70.8
201709,66.4
201710,56.4
201711,50.2
201712,38.7
201801,37.0
201802,41.3
201803,47.2
201804,55.1
201805,65.5
201806,74.3
201807,75.1
201808,73.0
201809,66.9
201810,53.9
201811,41.2
201812,35.6
201901,35.6
201902,38.1
201903,45.6
201904,53.9
201905,58.1
201906,69.4
201907,75.5
201908,75.3
201909,69.0
201910,52.2
201911,43.5
201912,37.2
202001,37.1
202002,38.5
202003,48.0
202004,54.0
202005,65.1
202006,72.5
202007,76.6
202008,76.2
202009,65.0
202010,56.6
202011,47.5
202012,35.0
202101,35.1
202102,37.3
202103,44.8
202104,53.2
202105,62.7
202106,73.1
202107,73.3
202108,72.2
202109,68.3
202110,55.6
202111,47.6
202112,42.0
202201,35.6
202202,35.0
202203,44.4
202204,55.3
202205,64.8
202206,72.6
