Nevada December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,26.9
198502,30.5
198503,36.9
198504,50.8
198505,56.6
198506,68.4
198507,74.4
198508,69.2
198509,57.0
198510,49.6
198511,33.6
198512,30.4
198601,38.1
198602,39.5
198603,45.9
198604,47.0
198605,56.3
198606,68.5
198607,69.7
198608,73.4
198609,56.2
198610,49.8
198611,40.4
198612,32.6
198701,27.8
198702,35.0
198703,39.4
198704,52.2
198705,57.1
198706,67.0
198707,68.9
198708,71.0
198709,64.3
198710,55.4
198711,39.6
198712,29.1
198801,27.8
198802,35.9
198803,40.6
198804,48.4
198805,54.7
198806,66.6
198807,75.0
198808,71.2
198809,61.5
198810,58.0
198811,39.3
198812,29.1
198901,25.8
198902,29.3
198903,44.5
198904,52.8
198905,55.4
198906,65.0
198907,74.2
198908,68.3
198909,62.0
198910,50.0
198911,40.6
198912,33.8
199001,31.9
199002,30.9
199003,43.1
199004,51.7
199005,53.9
199006,65.4
199007,73.5
199008,69.9
199009,65.5
199010,52.2
199011,39.2
199012,23.3
199101,29.7
199102,41.2
199103,37.2
199104,44.0
199105,50.5
199106,62.2
199107,73.6
199108,71.3
199109,63.9
199110,53.6
199111,39.6
199112,31.9
199201,30.8
199202,39.3
199203,43.6
199204,52.9
199205,61.8
199206,64.8
199207,70.4
199208,72.1
199209,63.7
199210,54.3
199211,35.7
199212,26.9
199301,26.4
199302,30.4
199303,44.0
199304,47.0
199305,58.3
199306,61.0
199307,67.6
199308,68.6
199309,62.3
199310,51.3
199311,35.3
199312,31.3
199401,34.2
199402,32.3
199403,44.9
199404,48.6
199405,57.2
199406,67.9
199407,75.2
199408,73.3
199409,63.7
199410,49.1
199411,31.0
199412,31.8
199501,34.1
199502,42.8
199503,40.0
199504,44.7
199505,51.6
199506,59.8
199507,70.3
199508,71.1
199509,64.3
199510,51.7
199511,45.6
199512,35.1
199601,34.2
199602,37.4
199603,42.0
199604,48.4
199605,56.0
199606,66.9
199607,75.3
199608,72.5
199609,60.9
199610,50.0
199611,40.7
199612,34.2
199701,32.0
199702,34.8
199703,44.5
199704,45.4
199705,60.5
199706,64.0
199707,70.1
199708,71.8
199709,63.3
199710,49.9
199711,41.0
199712,29.7
199801,35.2
199802,33.5
199803,40.3
199804,43.9
199805,50.0
199806,59.7
199807,73.8
199808,73.2
