Ohio December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,21.2
198502,25.2
198503,42.0
198504,55.1
198505,61.9
198506,65.7
198507,71.8
198508,69.7
198509,65.2
198510,55.7
198511,46.7
198512,24.7
198601,27.3
198602,30.6
198603,40.6
198604,53.0
198605,62.1
198606,69.1
198607,74.0
198608,68.9
198609,66.8
198610,54.8
198611,40.1
198612,32.2
198701,27.7
198702,32.4
198703,42.0
198704,50.1
198705,64.1
198706,71.2
198707,74.8
198708,72.0
198709,65.1
198710,47.4
198711,45.5
198712,34.8
198801,24.9
198802,27.8
198803,38.9
198804,49.0
198805,61.1
198806,69.2
198807,75.7
198808,74.4
198809,63.4
198810,46.4
198811,42.8
198812,30.7
198901,34.8
198902,27.3
198903,40.4
198904,47.1
198905,56.8
198906,68.7
198907,73.4
198908,70.2
198909,63.1
198910,52.9
198911,40.2
198912,18.2
199001,36.2
199002,36.2
199003,43.8
199004,49.8
199005,57.3
199006,68.0
199007,71.6
199008,69.9
199009,64.3
199010,53.4
199011,45.5
199012,35.9
199101,28.2
199102,33.8
199103,42.3
199104,53.6
199105,67.7
199106,72.0
199107,74.6
199108,72.3
199109,64.1
199110,55.2
199111,39.2
199112,34.4
199201,29.7
199202,35.0
199203,38.8
199204,49.5
199205,58.2
199206,65.0
199207,71.6
199208,67.2
199209,62.8
199210,50.3
199211,42.3
199212,33.0
199301,32.2
199302,26.5
199303,35.8
199304,48.8
199305,60.4
199306,68.0
199307,74.7
199308,73.2
199309,62.2
199310,50.7
199311,41.4
199312,30.9
199401,19.6
199402,27.7
199403,37.9
199404,51.9
199405,56.1
199406,71.4
199407,73.0
199408,68.8
199409,63.1
199410,53.2
199411,46.4
199412,36.5
199501,28.8
199502,26.7
199503,41.6
199504,48.2
199505,58.5
199506,70.5
199507,73.9
199508,76.2
199509,62.0
199510,54.9
199511,36.4
199512,26.4
199601,25.3
199602,28.8
199603,33.5
199604,48.3
199605,58.7
199606,70.0
199607,70.5
199608,71.4
199609,63.5
199610,53.4
199611,35.6
199612,35.4
199701,25.9
199702,34.6
199703,41.4
199704,46.2
199705,54.4
199706,68.3
199707,71.9
199708,68.3
199709,62.9
199710,52.9
199711,38.9
199712,33.6
199801,35.6
199802,38.7
199803,41.8
199804,51.2
199805,65.0
199806,69.1
199807,72.0
199808,72.7
199809,68.0
199810,54.2
199811,43.9
199812,36.9
199901,28.4
199902,34.8
199903,35.3
199904,52.8
199905,62.1
199906,71.1
199907,76.8
199908,70.0
199909,64.7
199910,52.6
199911,46.2
199912,33.0
200001,26.2
200002,35.6
200003,44.9
200004,49.7
200005,62.9
200006,69.8
200007,69.9
200008,69.7
200009,63.2
200010,55.9
200011,40.1
200012,21.6
200101,27.5
200102,34.0
200103,36.3
200104,53.9
200105,61.5
200106,68.4
200107,71.9
200108,73.0
200109,62.3
200110,53.8
200111,48.1
200112,37.7
200201,34.1
200202,35.0
200203,39.2
200204,52.6
200205,56.7
200206,71.4
200207,75.7
200208,74.2
200209,68.3
200210,52.0
200211,40.4
200212,30.8
200301,21.5
200302,25.4
200303,41.0
200304,52.0
200305,59.5
200306,66.0
200307,71.6
200308,72.6
200309,62.8
200310,51.2
200311,46.4
200312,32.8
200401,23.5
200402,30.2
200403,42.6
200404,51.0
200405,64.5
200406,67.9
200407,71.4
200408,68.6
200409,66.1
200410,53.6
200411,45.2
200412,31.5
200501,29.4
200502,32.7
200503,35.5
200504,52.2
200505,56.4
200506,72.6
200507,75.1
200508,74.2
200509,67.7
200510,54.2
200511,44.3
200512,27.2
200601,38.8
200602,31.4
200603,38.9
200604,54.3
200605,59.1
200606,67.6
200607,74.2
200608,73.3
200609,61.9
200610,50.5
200611,44.2
200612,38.3
200701,33.0
200702,19.4
200703,43.9
200704,48.4
200705,63.9
200706,70.6
200707,70.6
200708,75.0
200709,67.4
200710,59.9
200711,42.0
200712,33.1
200801,29.1
200802,28.4
200803,36.8
200804,52.9
200805,57.0
200806,70.8
200807,72.3
200808,70.4
200809,67.0
200810,52.0
200811,39.9
200812,31.0
200901,20.8
200902,31.4
200903,42.3
200904,51.1
200905,61.1
200906,69.0
200907,68.5
200908,71.0
200909,64.6
200910,50.0
200911,46.1
200912,30.6
201001,25.0
201002,25.7
201003,42.2
201004,55.4
201005,63.4
201006,72.2
201007,75.1
201008,74.2
201009,65.9
201010,54.7
201011,41.9
201012,24.8
201101,23.5
201102,30.5
201103,39.6
201104,52.1
201105,61.7
201106,70.4
201107,77.3
201108,71.9
201109,64.2
201110,52.7
201111,46.9
201112,36.9
201201,32.1
201202,35.1
201203,52.2
201204,50.2
201205,66.4
201206,70.3
201207,77.5
201208,71.4
201209,63.3
201210,52.4
201211,39.6
201212,37.7
201301,30.5
201302,29.2
201303,35.0
201304,50.6
201305,63.2
201306,69.5
201307,72.5
201308,70.2
201309,64.5
201310,54.3
201311,39.0
201312,32.0
201401,19.8
201402,23.4
201403,33.6
201404,51.4
201405,61.7
201406,70.6
201407,69.4
201408,71.0
201409,64.0
201410,53.3
201411,36.8
201412,35.3
201501,24.4
201502,17.3
201503,35.9
201504,51.5
201505,65.0
201506,69.8
201507,71.6
201508,70.1
201509,68.4
201510,54.4
201511,47.3
201512,43.7
201601,27.2
201602,33.6
201603,46.5
201604,50.2
201605,59.7
201606,71.2
201607,74.8
201608,76.0
201609,69.2
201610,57.7
201611,45.8
201612,31.0
201701,34.6
201702,40.5
201703,40.4
201704,56.6
201705,60.1
201706,69.6
201707,73.0
201708,69.7
201709,65.8
201710,57.4
201711,41.8
201712,29.2
201801,25.0
201802,36.6
201803,36.4
201804,45.1
201805,68.0
201806,71.4
201807,73.8
201808,73.6
201809,69.6
201810,54.3
201811,37.4
201812,35.1
201901,27.4
201902,33.0
201903,36.8
201904,52.3
201905,62.8
201906,68.8
201907,75.9
201908,71.8
201909,69.8
201910,56.5
201911,37.4
201912,36.2
202001,34.9
202002,32.8
202003,44.7
202004,47.8
202005,58.4
202006,70.4
202007,76.9
202008,72.2
202009,64.7
202010,53.5
202011,46.4
202012,33.6
202101,30.9
202102,25.2
202103,44.8
202104,51.4
202105,58.8
202106,71.5
202107,73.0
202108,74.6
202109,66.9
202110,60.3
202111,40.5
202112,40.2
202201,24.0
202202,30.7
202203,43.2
202204,48.6
202205,63.8
202206,70.6
202207,74.0
202208,72.2
202209,65.2
202210,52.0
202211,43.9
202212,32.6
202301,36.7
202302,38.6
