Oklahoma December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,31.0
198502,36.4
198503,52.8
198504,61.8
198505,69.4
198506,75.8
198507,81.1
198508,81.2
198509,73.2
198510,60.9
198511,46.8
198512,34.4
198601,42.1
198602,43.9
198603,54.2
198604,62.0
198605,68.2
198606,77.6
198607,84.2
198608,78.6
198609,73.9
198610,60.1
198611,44.9
198612,39.5
198701,35.6
198702,44.8
198703,48.8
198704,59.6
198705,71.2
198706,76.3
198707,79.4
198708,81.2
198709,70.9
198710,58.7
198711,49.6
198712,39.0
198801,32.6
198802,39.6
198803,48.3
198804,57.6
198805,68.4
198806,77.6
198807,81.0
198808,82.0
198809,72.3
198810,58.5
198811,50.1
198812,41.8
198901,41.8
198902,32.5
198903,50.2
198904,61.6
198905,68.3
198906,73.0
198907,78.8
198908,78.2
198909,68.1
198910,62.7
198911,50.6
198912,31.0
199001,43.4
199002,44.7
199003,50.7
199004,58.2
199005,66.4
199006,80.4
199007,79.7
199008,80.2
199009,75.5
199010,59.5
199011,53.4
199012,35.8
199101,33.6
199102,47.1
199103,52.7
199104,61.2
199105,71.2
199106,77.5
199107,81.6
199108,79.5
199109,70.2
199110,62.1
199111,44.0
199112,42.6
199201,40.5
199202,47.8
199203,52.9
199204,59.9
199205,65.8
199206,72.9
199207,79.6
199208,74.4
199209,71.4
199210,62.0
199211,45.6
199212,39.2
199301,35.1
199302,38.5
199303,47.6
199304,55.9
199305,66.1
199306,76.1
199307,83.4
199308,82.1
199309,69.6
199310,57.5
199311,43.9
199312,41.6
199401,35.9
199402,38.2
199403,51.9
199404,59.7
199405,66.7
199406,80.1
199407,79.6
199408,79.2
199409,70.9
199410,62.1
199411,50.0
199412,42.3
199501,39.0
199502,45.1
199503,50.0
199504,57.3
199505,64.6
199506,73.6
199507,81.1
199508,82.0
199509,70.6
199510,61.2
199511,49.0
199512,39.2
199601,35.4
199602,43.4
199603,45.0
199604,58.6
199605,73.0
199606,77.5
199607,80.8
199608,77.5
199609,69.1
199610,60.7
199611,45.7
199612,41.1
199701,36.6
199702,42.7
199703,52.2
199704,54.2
199705,65.6
199706,74.4
199707,81.5
199708,78.1
199709,74.0
199710,61.3
199711,45.9
199712,38.3
199801,40.4
199802,44.8
199803,46.3
199804,57.0
199805,72.0
199806,79.9
199807,85.9
199808,82.6
199809,79.6
199810,63.6
199811,52.4
199812,40.6
199901,39.7
199902,49.2
199903,48.7
199904,60.1
199905,67.2
199906,75.1
199907,82.2
199908,83.2
199909,70.3
199910,61.6
199911,56.1
199912,42.7
200001,40.3
200002,48.0
200003,52.8
200004,58.5
200005,70.5
200006,74.0
200007,81.0
200008,85.3
200009,75.3
200010,63.8
200011,43.3
200012,30.9
200101,35.8
200102,41.2
200103,46.7
200104,63.6
200105,69.0
200106,76.8
200107,85.6
200108,82.8
200109,70.9
200110,60.3
200111,54.0
200112,42.7
200201,40.0
200202,41.2
200203,46.8
200204,61.4
200205,66.5
200206,77.2
200207,80.6
200208,81.1
200209,74.0
200210,56.6
200211,47.2
200212,40.4
200301,37.2
200302,38.3
200303,49.7
200304,60.9
200305,68.7
200306,73.3
200307,83.3
200308,82.7
200309,69.0
200310,62.8
200311,50.3
200312,42.2
200401,39.1
200402,39.1
200403,55.1
200404,59.9
200405,70.8
200406,74.9
200407,78.0
200408,76.0
200409,73.6
200410,63.5
200411,50.3
200412,41.5
200501,39.7
200502,45.3
200503,50.3
200504,59.6
200505,67.5
200506,77.4
200507,80.3
200508,80.6
200509,76.4
200510,62.2
200511,52.5
200512,38.3
200601,46.8
200602,41.0
200603,53.3
200604,65.9
200605,70.6
200606,77.9
200607,83.9
200608,84.1
200609,69.3
200610,60.7
200611,50.8
200612,41.6
200701,35.1
200702,39.3
200703,58.3
200704,55.5
200705,68.9
200706,74.9
200707,78.7
200708,82.6
200709,74.1
200710,64.1
200711,50.9
200712,38.2
200801,38.3
200802,41.2
200803,50.8
200804,57.8
200805,68.5
200806,78.2
200807,81.7
200808,79.1
200809,70.1
200810,60.1
200811,50.2
200812,38.6
200901,37.5
200902,47.2
200903,52.1
200904,58.3
200905,66.0
200906,79.1
200907,80.8
200908,78.9
200909,70.1
200910,54.8
200911,53.6
200912,34.6
201001,35.2
201002,35.7
201003,49.0
201004,61.5
201005,68.2
201006,81.0
201007,81.9
201008,83.9
201009,75.0
201010,62.3
201011,50.4
201012,39.5
201101,35.0
201102,39.4
201103,52.4
201104,62.1
201105,67.7
201106,83.4
201107,89.2
201108,87.7
201109,71.1
201110,61.8
201111,50.0
201112,39.9
201201,42.7
201202,43.8
201203,59.6
201204,64.3
201205,72.6
201206,79.0
201207,85.9
201208,81.5
201209,74.4
201210,59.6
201211,52.2
201212,42.2
201301,39.7
201302,41.1
201303,47.5
201304,54.7
201305,67.0
201306,78.1
201307,79.6
201308,80.3
201309,75.8
201310,60.4
201311,46.6
201312,35.2
201401,36.0
201402,36.1
201403,46.3
201404,59.4
201405,68.9
201406,77.3
201407,77.8
201408,80.7
201409,73.3
201410,64.6
201411,44.4
201412,41.8
201501,37.7
201502,37.8
201503,51.1
201504,61.4
201505,66.1
201506,78.4
201507,82.1
201508,79.3
201509,76.6
201510,63.4
201511,51.4
201512,44.6
201601,38.2
201602,47.4
201603,54.7
201604,61.4
201605,66.2
201606,79.2
201607,83.2
201608,80.8
201609,75.3
201610,67.1
201611,55.4
201612,38.8
201701,40.9
201702,50.5
201703,56.2
201704,61.4
201705,66.9
201706,77.3
201707,82.5
201708,77.3
201709,73.3
201710,62.0
201711,52.9
201712,40.5
201801,36.6
201802,41.0
201803,53.0
201804,54.2
201805,75.1
201806,80.6
201807,82.7
201808,79.9
201809,73.9
201810,60.1
201811,44.5
201812,40.8
201901,38.3
201902,40.3
201903,47.3
201904,60.4
201905,67.0
201906,75.4
201907,80.8
201908,82.4
201909,79.7
201910,57.4
201911,46.2
201912,43.2
202001,42.2
202002,41.8
202003,55.5
202004,57.9
202005,67.2
202006,78.8
202007,82.6
202008,79.4
202009,70.3
202010,58.3
202011,53.5
202012,41.0
202101,39.7
202102,31.3
202103,53.9
202104,57.4
202105,65.9
202106,77.4
202107,80.0
202108,81.3
202109,76.7
202110,64.4
202111,51.2
202112,50.4
202201,37.0
202202,38.5
202203,50.4
202204,61.0
202205,70.6
202206,79.4
202207,86.6
202208,82.5
202209,75.9
202210,62.0
202211,47.3
202212,40.1
202301,42.4
202302,43.8
202303,50.4
202304,58.6
202305,69.1
202306,76.7
202307,81.9
202308,83.7
202309,76.6
202310,62.5
202311,51.0
202312,44.8
202401,34.0
202402,49.8
202403,54.3
