Oregon December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,27.3
198502,30.5
198503,35.6
198504,47.1
198505,51.3
198506,59.4
198507,69.2
198508,62.2
198509,52.1
198510,45.8
198511,28.5
198512,25.9
198601,35.6
198602,37.6
198603,43.9
198604,43.1
198605,51.3
198606,62.4
198607,61.2
198608,68.3
198609,52.6
198610,49.6
198611,39.5
198612,32.4
198701,29.8
198702,36.2
198703,40.1
198704,49.2
198705,54.0
198706,61.0
198707,61.8
198708,64.4
198709,60.6
198710,52.9
198711,39.2
198712,31.0
198801,30.0
198802,37.5
198803,39.5
198804,46.2
198805,50.1
198806,58.4
198807,66.3
198808,64.4
198809,58.1
198810,55.4
198811,37.8
198812,31.4
198901,30.4
198902,25.8
198903,38.8
198904,48.2
198905,49.8
198906,59.6
198907,64.0
198908,61.6
198909,58.2
198910,47.4
198911,39.9
198912,34.6
199001,34.2
199002,32.6
199003,41.0
199004,49.2
199005,48.9
199006,57.9
199007,67.4
199008,65.3
199009,62.4
199010,46.7
199011,38.9
199012,24.4
199101,31.6
199102,41.6
199103,37.0
199104,42.2
199105,47.3
199106,53.9
199107,66.3
199108,66.5
199109,61.6
199110,50.0
199111,39.0
199112,34.3
199201,35.0
199202,40.9
199203,44.6
199204,48.1
199205,57.8
199206,61.8
199207,64.4
199208,66.5
199209,57.9
199210,50.6
199211,36.8
199212,28.8
199301,26.2
199302,29.4
199303,40.9
199304,43.2
199305,54.5
199306,55.4
199307,57.6
199308,61.8
199309,59.1
199310,50.6
199311,33.6
199312,33.3
199401,36.5
199402,33.1
199403,42.3
199404,46.6
199405,53.4
199406,57.6
199407,68.1
199408,65.4
199409,61.3
199410,46.9
199411,31.7
199412,31.3
199501,35.1
199502,40.9
199503,38.9
199504,42.6
199505,51.6
199506,56.2
199507,64.5
199508,62.0
199509,60.6
199510,47.0
199511,43.3
199512,34.2
199601,33.2
199602,35.1
199603,40.6
199604,45.3
199605,48.3
199606,57.8
199607,68.2
199608,66.0
199609,55.9
199610,47.7
199611,39.6
199612,34.0
199701,32.7
199702,35.1
199703,40.7
199704,43.0
199705,55.7
199706,56.6
199707,64.0
199708,66.2
199709,59.1
199710,46.9
199711,40.8
199712,32.3
199801,35.4
199802,35.8
199803,39.9
199804,44.2
199805,48.1
199806,56.6
199807,68.8
199808,67.5
199809,62.0
199810,46.8
199811,38.5
199812,30.1
199901,34.5
199902,33.3
199903,37.4
199904,42.0
199905,48.1
199906,56.3
199907,63.5
199908,64.9
199909,58.6
199910,50.3
199911,43.1
199912,34.3
200001,32.4
200002,37.3
200003,38.6
200004,47.8
200005,51.2
200006,60.2
200007,64.7
200008,65.4
200009,57.2
200010,47.5
200011,33.8
200012,33.5
200101,32.1
200102,33.1
200103,41.3
200104,41.8
200105,55.0
200106,56.5
200107,64.4
200108,67.6
200109,60.8
200110,49.0
200111,40.0
200112,31.8
200201,31.8
200202,35.4
200203,37.0
200204,45.0
200205,50.2
200206,59.9
200207,68.6
200208,63.2
200209,58.8
200210,46.5
200211,40.7
200212,35.4
200301,39.0
200302,35.0
200303,41.5
200304,41.8
200305,51.2
200306,61.2
200307,70.1
200308,66.6
200309,61.0
200310,52.1
200311,34.9
200312,34.1
200401,32.0
200402,34.8
200403,44.2
200404,47.2
200405,51.0
200406,59.5
200407,67.7
200408,66.6
200409,56.3
200410,48.3
200411,38.3
200412,35.5
200501,33.8
200502,36.6
200503,42.3
200504,44.0
200505,52.1
200506,55.0
200507,67.4
200508,66.9
200509,56.3
200510,48.9
200511,37.5
200512,31.7
200601,35.0
200602,33.8
200603,36.4
200604,44.6
200605,53.2
200606,60.9
200607,69.3
200608,64.3
200609,59.1
200610,47.6
200611,38.3
200612,32.9
200701,30.2
200702,36.5
200703,43.5
200704,44.7
200705,53.1
200706,58.6
200707,69.6
200708,64.8
200709,56.6
200710,46.2
200711,39.1
200712,30.5
200801,28.5
200802,35.8
200803,36.5
200804,40.3
200805,51.6
200806,56.6
200807,66.3
200808,65.2
200809,59.4
200810,48.8
200811,42.4
200812,30.2
200901,34.2
200902,35.0
200903,36.4
200904,43.4
200905,53.2
200906,58.4
200907,68.0
200908,65.3
200909,61.4
200910,45.1
200911,38.2
200912,28.5
201001,36.9
201002,37.6
201003,39.5
201004,42.0
201005,46.4
201006,55.6
201007,65.3
201008,63.5
201009,58.5
201010,50.0
201011,36.7
201012,33.4
201101,33.9
201102,32.6
201103,37.9
201104,39.5
201105,46.5
201106,54.9
201107,62.7
201108,66.1
201109,62.6
