Pennsylvania December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,21.2
198502,27.1
198503,38.3
198504,51.2
198505,59.2
198506,62.8
198507,68.9
198508,68.0
198509,63.1
198510,52.1
198511,44.4
198512,25.7
198601,25.9
198602,26.7
198603,38.0
198604,49.2
198605,60.2
198606,65.8
198607,70.7
198608,66.4
198609,61.9
198610,51.7
198611,37.6
198612,31.4
198701,24.9
198702,26.8
198703,39.0
198704,48.8
198705,59.4
198706,68.3
198707,72.9
198708,68.2
198709,61.7
198710,46.0
198711,41.7
198712,32.8
198801,21.7
198802,26.8
198803,37.2
198804,46.3
198805,58.3
198806,65.1
198807,73.6
198808,71.9
198809,59.8
198810,45.6
198811,41.4
198812,29.2
198901,30.9
198902,27.1
198903,36.7
198904,44.6
198905,55.7
198906,67.0
198907,70.5
198908,68.0
198909,61.7
198910,51.5
198911,38.5
198912,17.4
199001,34.2
199002,33.9
199003,40.2
199004,48.8
199005,55.2
199006,66.0
199007,69.9
199008,68.2
199009,60.8
199010,53.5
199011,43.1
199012,34.4
199101,26.6
199102,32.4
199103,39.4
199104,50.0
199105,64.4
199106,68.4
199107,72.0
199108,70.7
199109,60.9
199110,51.9
199111,39.3
199112,32.7
199201,28.2
199202,30.9
199203,34.4
199204,46.8
199205,55.8
199206,63.1
199207,69.1
199208,65.4
199209,60.6
199210,47.0
199211,40.2
199212,30.3
199301,30.4
199302,23.5
199303,32.8
199304,47.4
199305,58.7
199306,65.8
199307,72.3
199308,70.2
199309,60.6
199310,48.5
199311,39.8
199312,28.8
199401,17.8
199402,24.1
199403,33.8
199404,50.5
199405,53.9
199406,68.8
199407,72.1
199408,66.4
199409,60.3
199410,49.3
199411,44.4
199412,34.6
199501,29.8
199502,23.9
199503,39.7
199504,45.0
199505,56.4
199506,67.6
199507,72.1
199508,72.4
199509,60.4
199510,53.8
199511,35.4
199512,25.1
199601,23.6
199602,27.0
199603,31.8
199604,47.1
199605,55.6
199606,67.9
199607,68.1
199608,68.7
199609,61.9
199610,50.5
199611,35.2
199612,34.0
199701,25.1
199702,33.0
199703,37.6
199704,44.6
199705,52.7
199706,65.9
199707,69.5
199708,66.8
199709,60.4
199710,50.5
199711,37.4
199712,32.1
199801,34.3
199802,35.8
199803,39.6
199804,49.5
199805,62.4
199806,65.6
199807,69.6
199808,70.2
199809,64.7
199810,51.8
199811,41.5
199812,36.0
199901,27.0
199902,31.7
199903,34.2
199904,48.6
199905,59.3
199906,67.3
199907,74.0
199908,68.5
199909,62.8
199910,49.3
199911,44.8
199912,32.4
200001,25.6
200002,31.6
200003,42.6
200004,47.5
200005,60.0
200006,67.2
200007,66.9
200008,67.3
200009,60.6
200010,52.0
200011,38.3
200012,22.4
200101,26.1
200102,31.5
200103,33.3
200104,49.2
200105,58.6
200106,66.8
200107,67.8
200108,71.7
200109,60.4
200110,51.7
200111,45.8
200112,36.4
200201,33.0
200202,33.9
200203,38.2
200204,50.0
200205,55.0
200206,67.9
200207,72.5
200208,71.8
200209,64.9
200210,49.4
200211,39.2
200212,27.8
200301,20.6
200302,23.8
200303,37.2
200304,47.8
200305,56.1
200306,64.0
200307,69.7
200308,70.9
200309,61.7
200310,48.5
200311,44.7
200312,30.7
200401,20.0
200402,27.0
200403,39.5
200404,48.3
200405,63.4
200406,64.8
200407,69.2
200408,67.9
200409,64.1
200410,50.6
200411,43.1
200412,30.9
200501,26.3
200502,30.1
200503,32.3
200504,49.7
200505,53.6
200506,69.7
200507,72.8
200508,72.0
200509,65.5
200510,52.5
200511,43.0
200512,26.4
200601,35.2
200602,29.8
200603,37.0
200604,50.5
200605,57.3
200606,66.0
200607,72.4
200608,70.4
200609,60.1
200610,49.1
200611,44.0
200612,37.3
200701,31.3
200702,20.1
200703,37.4
200704,44.8
200705,60.1
200706,67.8
200707,68.8
200708,70.6
200709,64.4
200710,57.8
200711,39.5
200712,31.4
200801,29.2
200802,27.7
200803,35.6
200804,51.2
200805,54.0
200806,68.8
200807,71.0
200808,66.8
200809,63.4
200810,48.9
200811,38.9
200812,30.7
200901,20.5
200902,29.6
200903,38.2
200904,49.1
200905,58.3
200906,65.0
200907,66.8
200908,70.0
200909,61.4
200910,48.6
200911,44.8
200912,28.9
201001,25.7
201002,25.8
201003,42.0
201004,52.4
201005,60.5
201006,69.3
201007,73.3
201008,70.8
201009,63.6
201010,51.4
201011,40.8
201012,25.4
201101,22.5
201102,28.6
201103,36.3
201104,49.7
201105,61.0
201106,68.0
201107,74.3
201108,69.4
201109,64.4
201110,50.8
201111,44.9
201112,35.3
201201,30.0
201202,34.3
201203,47.7
201204,47.7
201205,63.7
201206,66.5
201207,74.1
201208,69.8
201209,62.0
201210,52.2
201211,37.8
201212,35.8
201301,29.0
