Rhode Island December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,22.5
198502,30.2
198503,39.1
198504,48.5
198505,57.7
198506,62.4
198507,70.8
198508,69.2
198509,63.2
198510,52.9
198511,44.3
198512,29.3
198601,29.7
198602,27.4
198603,38.2
198604,48.0
198605,57.7
198606,64.0
198607,69.3
198608,67.3
198609,60.4
198610,51.7
198611,40.1
198612,33.8
198701,27.3
198702,27.5
198703,38.2
198704,47.1
198705,57.2
198706,66.5
198707,71.1
198708,67.8
198709,62.1
198710,49.8
198711,41.5
198712,33.6
198801,24.8
198802,30.1
198803,37.8
198804,45.4
198805,56.6
198806,64.8
198807,72.4
198808,72.8
198809,61.2
198810,47.5
198811,43.7
198812,31.1
198901,32.0
198902,28.3
198903,36.3
198904,44.6
198905,57.6
198906,66.9
198907,70.3
198908,70.0
198909,63.4
198910,52.4
198911,41.0
198912,19.8
199001,35.2
199002,32.9
199003,38.7
199004,46.6
199005,54.2
199006,65.9
199007,71.3
199008,71.8
199009,61.9
199010,56.7
199011,44.8
199012,38.2
199101,28.2
199102,33.6
199103,39.8
199104,49.8
199105,61.9
199106,67.0
199107,71.6
199108,71.3
199109,61.1
199110,54.1
199111,43.5
199112,34.6
199201,29.4
199202,30.8
199203,34.5
199204,44.2
199205,55.7
199206,64.7
199207,68.2
199208,67.8
199209,61.9
199210,49.7
199211,41.1
199212,32.8
199301,30.1
199302,24.4
199303,34.2
199304,47.1
199305,59.0
199306,66.3
199307,71.9
199308,71.3
199309,62.8
199310,50.1
199311,42.7
199312,32.2
199401,21.3
199402,24.6
199403,36.8
199404,49.0
199405,55.0
199406,68.0
199407,74.7
199408,68.5
199409,61.5
199410,51.9
199411,46.7
199412,36.6
199501,34.1
199502,27.8
199503,39.5
199504,46.2
199505,55.4
199506,66.2
199507,73.4
199508,70.7
199509,61.4
199510,55.7
199511,39.9
199512,28.4
199601,27.6
199602,28.3
199603,34.2
199604,46.7
199605,56.0
199606,66.6
199607,69.4
199608,69.8
199609,62.8
199610,51.2
199611,38.7
199612,37.6
199701,28.4
199702,35.4
199703,36.7
199704,45.6
199705,54.0
199706,66.0
199707,71.2
199708,69.0
199709,62.5
199710,50.9
199711,40.2
199712,33.4
199801,34.3
199802,36.0
199803,39.9
199804,48.4
199805,59.8
199806,64.9
199807,71.6
199808,71.6
199809,64.7
199810,52.7
199811,42.6
199812,37.7
199901,29.6
199902,33.4
199903,38.8
199904,48.3
199905,58.4
199906,68.6
199907,74.4
199908,70.4
199909,65.5
199910,51.4
199911,46.5
199912,35.7
200001,26.8
200002,33.0
200003,42.3
200004,46.1
200005,57.2
200006,66.2
200007,68.5
200008,68.7
200009,62.2
200010,52.3
200011,42.2
200012,28.1
200101,28.0
200102,30.9
200103,35.3
200104,47.5
200105,58.9
200106,68.9
200107,68.2
200108,72.7
200109,63.6
200110,53.6
200111,46.9
200112,38.6
200201,34.7
200202,34.9
200203,39.3
200204,50.0
200205,55.3
200206,64.6
200207,72.5
200208,72.6
200209,65.6
200210,51.1
200211,41.7
200212,31.8
200301,23.5
200302,25.2
200303,36.8
200304,44.2
200305,54.0
200306,64.2
200307,71.7
200308,73.0
200309,64.6
200310,50.7
200311,45.2
200312,34.7
200401,20.2
200402,30.9
200403,37.9
200404,48.1
200405,58.7
200406,64.9
200407,70.0
200408,69.8
200409,63.8
200410,51.7
200411,42.5
200412,33.4
200501,26.3
200502,30.3
200503,33.3
200504,48.5
200505,52.1
200506,68.1
200507,72.0
200508,73.8
200509,66.3
200510,54.0
200511,45.1
200512,31.3
200601,36.0
200602,30.6
200603,37.3
200604,48.7
200605,57.0
200606,67.1
200607,74.2
200608,70.0
200609,61.8
200610,52.0
200611,47.7
200612,39.7
200701,32.8
200702,25.4
200703,36.7
200704,44.8
200705,59.0
200706,66.5
200707,71.6
200708,71.0
200709,65.1
200710,58.0
200711,41.1
200712,31.4
200801,31.7
200802,31.8
200803,37.9
200804,49.3
200805,55.4
200806,69.0
200807,73.9
200808,68.4
200809,63.9
200810,51.2
200811,42.0
200812,34.8
200901,23.4
200902,32.0
200903,37.2
200904,49.4
200905,57.7
200906,63.4
200907,69.1
200908,72.7
200909,61.7
200910,50.8
200911,47.8
200912,32.1
201001,28.4
201002,31.4
201003,43.6
201004,52.0
201005,60.9
201006,68.9
201007,75.0
201008,70.8
201009,65.5
201010,53.5
201011,43.3
201012,30.3
201101,25.2
201102,28.8
201103,38.0
201104,49.1
201105,58.9
201106,66.2
201107,73.8
201108,71.3
201109,66.5
201110,54.9
201111,47.8
201112,39.0
201201,33.5
201202,35.7
201203,45.5
201204,50.1
201205,60.6
201206,65.7
201207,73.6
201208,72.5
201209,63.3
201210,55.4
201211,41.0
201212,37.6
201301,30.4
201302,30.2
201303,37.1
201304,47.7
201305,58.5
201306,68.0
201307,76.4
201308,69.1
201309,62.1
201310,54.0
201311,41.3
201312,33.0
201401,26.1
201402,27.2
201403,32.8
201404,47.0
201405,58.0
201406,66.4
201407,72.3
201408,68.6
201409,64.4
201410,55.3
201411,41.4
201412,37.4
201501,25.5
201502,17.7
201503,31.8
201504,47.2
201505,61.2
201506,64.5
201507,72.3
201508,72.6
201509,67.6
201510,52.4
201511,47.1
201512,45.3
201601,31.3
201602,33.1
201603,42.9
201604,46.2
201605,57.9
201606,66.9
201607,73.8
201608,73.9
201609,66.4
201610,54.7
201611,45.2
201612,34.2
201701,34.2
201702,35.2
201703,34.1
201704,51.5
201705,56.5
201706,66.8
201707,71.1
201708,69.8
201709,66.4
201710,59.6
201711,43.1
201712,30.1
201801,27.6
201802,37.7
201803,37.3
201804,44.4
201805,61.4
201806,65.9
201807,73.8
201808,75.1
201809,66.5
201810,52.7
201811,41.0
201812,35.3
201901,29.0
201902,31.6
201903,35.9
201904,49.2
201905,56.4
201906,66.5
201907,74.8
201908,71.3
201909,63.9
201910,54.7
201911,40.1
201912,34.1
202001,35.3
202002,35.4
202003,42.6
202004,44.1
202005,56.6
202006,68.1
202007,75.4
202008,73.8
202009,64.5
202010,54.6
202011,47.5
202012,35.7
202101,31.3
202102,30.9
202103,40.2
202104,48.8
202105,58.0
202106,69.6
202107,71.2
202108,73.6
202109,66.4
202110,58.4
202111,42.9
202112,38.6
202201,27.0
202202,32.4
202203,40.6
202204,48.4
202205,60.4
202206,66.3
202207,74.4
202208,75.0
202209,63.6
202210,54.4
202211,46.8
202212,35.5
202301,38.3
202302,34.6
202303,39.7
202304,51.1
202305,56.2
202306,64.9
202307,74.6
202308,69.5
202309,65.9
202310,57.0
202311,41.0
202312,40.1
202401,32.5
202402,34.0
202403,41.9
