South Carolina December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,39.1
198502,46.8
198503,56.4
198504,63.9
198505,70.5
198506,77.6
198507,78.9
198508,77.2
198509,72.6
198510,67.9
198511,62.5
198512,43.1
198601,42.2
198602,51.4
198603,54.6
198604,63.4
198605,71.0
198606,79.7
198607,84.1
198608,78.1
198609,74.7
198610,65.0
198611,58.1
198612,46.6
198701,42.8
198702,45.1
198703,53.1
198704,59.4
198705,71.8
198706,77.8
198707,81.2
198708,81.6
198709,74.0
198710,57.1
198711,55.6
198712,48.3
198801,38.8
198802,45.2
198803,53.8
198804,61.7
198805,68.2
198806,75.2
198807,79.7
198808,80.6
198809,72.9
198810,57.9
198811,55.0
198812,45.1
198901,49.0
198902,49.3
198903,55.4
198904,61.0
198905,67.4
198906,77.7
198907,79.2
198908,77.9
198909,73.0
198910,63.7
198911,54.8
198912,38.6
199001,50.5
199002,54.3
199003,57.8
199004,61.6
199005,70.3
199006,77.6
199007,81.2
199008,79.9
199009,74.1
199010,65.4
199011,56.0
199012,50.8
199101,45.7
199102,50.2
199103,56.6
199104,65.1
199105,73.4
199106,76.7
199107,81.2
199108,78.4
199109,73.4
199110,63.5
199111,51.2
199112,49.7
199201,45.6
199202,50.5
199203,53.3
199204,60.9
199205,66.6
199206,74.3
199207,81.4
199208,77.0
199209,73.2
199210,60.3
199211,54.7
199212,45.4
199301,48.2
199302,45.0
199303,51.0
199304,58.4
199305,70.0
199306,78.0
199307,84.2
199308,79.8
199309,75.3
199310,63.0
199311,53.9
199312,44.1
199401,41.2
199402,48.7
199403,56.9
199404,64.5
199405,67.6
199406,78.1
199407,79.3
199408,76.9
199409,71.4
199410,61.8
199411,57.4
199412,49.8
199501,45.1
199502,45.0
199503,56.8
199504,64.1
199505,71.9
199506,75.4
199507,81.1
199508,80.1
199509,72.0
199510,65.2
199511,50.0
199512,43.1
199601,42.9
199602,47.7
199603,50.1
199604,60.9
199605,72.0
199606,76.7
199607,80.4
199608,77.5
199609,72.8
199610,62.1
199611,50.2
199612,48.0
199701,46.0
199702,50.5
199703,60.6
199704,59.0
199705,66.2
199706,73.4
199707,80.3
199708,77.4
199709,73.5
199710,63.1
199711,50.3
199712,45.6
199801,48.1
199802,49.4
199803,52.7
199804,62.0
199805,72.9
199806,80.2
199807,82.3
199808,79.4
199809,75.3
199810,65.2
199811,57.3
199812,51.6
199901,49.0
199902,49.6
199903,51.3
199904,65.3
199905,68.4
199906,75.4
199907,80.9
199908,82.2
199909,72.0
199910,62.6
199911,57.3
199912,46.7
200001,43.5
200002,49.6
200003,57.8
200004,60.4
200005,73.4
200006,78.4
200007,79.8
200008,78.8
200009,72.2
200010,62.6
200011,51.8
200012,38.6
200101,43.3
200102,51.3
200103,52.3
200104,63.5
200105,70.7
200106,77.0
200107,78.4
200108,79.9
200109,71.2
200110,60.9
200111,59.0
200112,52.0
200201,47.0
200202,47.9
200203,56.0
200204,67.4
200205,68.6
200206,77.8
200207,81.9
200208,79.6
200209,75.8
200210,66.4
200211,51.8
200212,44.2
200301,41.5
200302,46.6
200303,57.0
200304,61.1
200305,70.2
200306,76.0
200307,79.0
200308,79.7
200309,72.4
200310,63.2
200311,58.6
200312,43.0
200401,43.0
200402,44.2
200403,57.2
200404,62.5
200405,74.1
200406,78.5
200407,80.3
200408,77.0
200409,73.2
200410,66.1
200411,56.5
200412,45.6
200501,47.6
200502,48.3
200503,52.4
200504,60.5
200505,67.5
200506,76.2
200507,81.6
200508,80.5
200509,77.1
200510,65.2
200511,55.7
200512,44.2
200601,50.6
200602,46.5
200603,54.4
200604,66.0
200605,68.8
200606,76.5
200607,80.5
200608,81.1
200609,72.4
200610,61.4
200611,54.2
200612,51.0
200701,48.4
200702,45.2
200703,58.5
200704,60.9
200705,69.1
200706,77.2
200707,78.5
200708,84.0
200709,75.7
200710,68.4
200711,53.6
200712,52.1
200801,43.9
200802,50.7
200803,54.7
200804,61.7
200805,69.0
200806,80.1
200807,79.8
200808,79.1
200809,73.8
200810,61.3
200811,50.3
200812,51.0
200901,44.2
200902,46.8
200903,54.1
200904,61.7
200905,70.9
200906,79.1
200907,78.9
200908,80.0
200909,73.8
200910,62.2
200911,55.5
200912,44.9
201001,40.7
201002,41.2
201003,52.2
201004,64.5
201005,73.2
201006,81.8
201007,82.3
201008,81.6
201009,76.6
201010,64.4
201011,54.0
201012,38.3
201101,40.6
201102,50.4
201103,55.8
201104,65.0
201105,71.3
201106,80.8
201107,82.8
201108,81.4
201109,74.1
201110,61.0
201111,55.3
201112,50.7
201201,48.3
201202,50.6
201203,63.2
201204,64.2
201205,72.7
201206,74.8
201207,82.8
201208,78.0
201209,73.6
201210,63.7
201211,50.7
201212,51.5
201301,50.2
201302,46.6
201303,48.4
201304,62.1
201305,67.9
201306,77.4
201307,78.8
201308,77.4
201309,73.5
