South Dakota December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,13.4
198502,17.9
198503,34.7
198504,50.2
198505,61.6
198506,62.6
198507,73.8
198508,67.2
198509,56.8
198510,46.6
198511,17.5
198512,12.8
198601,23.2
198602,17.1
198603,39.0
198604,44.6
198605,56.5
198606,68.7
198607,72.5
198608,67.7
198609,56.5
198610,48.2
198611,28.4
198612,26.9
198701,25.8
198702,31.7
198703,32.0
198704,51.5
198705,61.6
198706,69.4
198707,74.8
198708,67.6
198709,60.6
198710,44.8
198711,37.2
198712,25.6
198801,13.3
198802,18.6
198803,34.3
198804,46.4
198805,61.2
198806,75.3
198807,75.1
198808,72.8
198809,59.8
198810,46.5
198811,33.2
198812,24.0
198901,23.4
198902,10.4
198903,27.4
198904,46.1
198905,56.7
198906,64.9
198907,75.8
198908,72.1
198909,60.3
198910,48.7
198911,32.3
198912,13.1
199001,28.5
199002,25.1
199003,36.0
199004,45.0
199005,54.2
199006,67.5
199007,71.0
199008,71.7
199009,65.0
199010,47.3
199011,36.7
199012,15.1
199101,14.2
199102,30.9
199103,35.8
199104,47.4
199105,58.1
199106,69.3
199107,72.4
199108,72.8
199109,60.8
199110,45.5
199111,26.7
199112,27.3
199201,27.4
199202,31.3
199203,38.3
199204,44.3
199205,59.0
199206,63.7
199207,64.2
199208,64.9
199209,59.8
199210,47.7
199211,29.4
199212,17.2
199301,13.0
199302,13.7
199303,32.5
199304,43.2
199305,56.1
199306,61.6
199307,66.7
199308,68.0
199309,55.0
199310,46.0
199311,28.2
199312,23.6
199401,9.8
199402,12.2
199403,36.2
199404,45.1
199405,60.3
199406,67.5
199407,68.8
199408,69.0
199409,62.5
199410,49.5
199411,34.0
199412,23.4
199501,19.2
199502,26.0
199503,31.1
199504,39.1
199505,52.5
199506,65.6
199507,71.6
199508,73.7
199509,59.5
199510,46.4
199511,29.8
199512,21.9
199601,10.3
199602,23.1
199603,24.2
199604,42.4
199605,52.2
199606,67.4
199607,69.6
199608,71.2
199609,58.8
199610,46.9
199611,22.0
199612,11.5
199701,10.6
199702,22.8
199703,31.9
199704,39.5
199705,53.1
199706,68.0
199707,71.4
199708,69.4
199709,63.1
199710,49.7
199711,30.0
199712,28.0
199801,19.3
199802,32.7
199803,26.4
199804,46.9
199805,59.3
199806,61.7
199807,73.4
199808,72.2
199809,66.9
199810,48.4
199811,36.0
199812,25.6
199901,17.6
199902,32.9
199903,36.8
199904,44.7
199905,55.9
199906,65.1
199907,73.3
199908,71.0
199909,57.1
199910,47.8
199911,42.4
199912,29.1
200001,21.1
200002,30.1
200003,39.3
200004,45.0
200005,58.1
200006,64.4
200007,73.0
200008,73.2
200009,62.3
200010,50.1
200011,24.4
200012,10.5
200101,22.7
200102,12.4
200103,29.8
200104,46.1
200105,57.8
200106,66.0
200107,74.6
200108,73.4
200109,62.1
200110,47.5
200111,40.8
200112,24.7
200201,24.1
200202,29.6
200203,22.2
200204,44.5
200205,52.4
200206,70.4
200207,77.3
200208,70.4
200209,62.7
200210,39.5
200211,34.5
200212,27.3
200301,19.8
200302,18.8
200303,32.1
200304,47.9
200305,55.0
200306,63.9
200307,74.4
200308,74.8
200309,60.0
200310,51.8
200311,27.6
200312,26.6
200401,16.1
200402,22.9
200403,38.4
200404,47.9
200405,55.6
200406,62.1
200407,70.8
200408,66.1
200409,63.1
200410,48.8
200411,36.6
200412,27.2
200501,16.8
200502,29.3
200503,34.9
200504,48.2
200505,54.0
200506,67.9
200507,74.4
200508,71.0
200509,65.5
200510,49.2
200511,36.8
200512,20.1
200601,32.2
200602,23.3
200603,32.4
200604,50.2
200605,58.2
200606,69.1
200607,78.2
200608,72.2
200609,56.8
200610,44.4
200611,33.7
200612,27.0
200701,20.1
200702,15.2
200703,40.2
200704,42.9
200705,60.0
200706,68.2
200707,76.5
200708,71.4
200709,62.6
200710,50.2
200711,34.9
200712,19.4
200801,16.2
200802,19.1
200803,32.2
200804,42.1
200805,53.0
200806,63.8
200807,72.7
200808,71.2
200809,60.3
200810,47.2
200811,34.2
200812,14.1
200901,16.7
200902,23.4
200903,30.0
200904,42.3
200905,55.8
200906,63.2
200907,67.9
200908,67.4
200909,63.0
200910,39.5
200911,40.0
200912,13.5
201001,14.8
201002,14.6
201003,36.3
201004,49.3
201005,54.2
201006,65.9
201007,72.4
201008,73.6
201009,59.1
201010,51.6
201011,32.1
201012,17.7
201101,13.0
201102,16.3
201103,27.3
201104,43.1
201105,53.0
201106,64.7
201107,75.9
201108,71.6
201109,59.9
201110,51.3
201111,34.4
201112,26.8
201201,25.4
201202,25.7
201203,47.0
201204,50.2
201205,58.3
201206,70.4
201207,78.7
201208,71.0
201209,62.6
201210,45.6
201211,34.9
201212,21.4
201301,19.4
201302,23.8
201303,28.1
201304,36.9
201305,55.9
201306,65.3
201307,71.8
201308,71.6
201309,65.8
201310,44.3
201311,32.1
201312,13.5
201401,18.3
201402,13.9
201403,29.4
201404,43.4
201405,55.6
201406,64.2
201407,69.5
201408,69.3
201409,60.5
201410,50.3
201411,25.6
201412,24.2
201501,22.7
201502,19.5
201503,39.0
201504,47.7
201505,53.8
201506,67.6
201507,72.1
201508,69.8
201509,65.9
201510,51.6
201511,36.4
201512,24.3
201601,19.8
201602,31.2
201603,40.1
201604,46.3
201605,56.7
201606,70.7
201607,73.0
201608,71.0
201609,62.4
201610,51.6
201611,42.0
201612,15.4
201701,16.5
201702,29.4
201703,35.5
201704,46.1
201705,56.0
201706,68.1
201707,76.0
201708,67.4
201709,61.8
201710,48.0
201711,34.7
201712,21.7
201801,18.1
201802,11.6
201803,30.4
201804,36.7
201805,62.1
201806,69.3
201807,72.2
201808,69.9
201809,61.5
201810,43.2
201811,29.3
201812,25.3
201901,18.0
201902,6.1
201903,25.1
201904,44.2
201905,50.4
201906,66.3
201907,72.1
201908,68.2
201909,63.1
201910,40.2
201911,31.1
201912,23.3
202001,20.1
202002,23.5
202003,36.4
202004,42.0
202005,54.2
202006,70.3
202007,73.5
202008,72.6
202009,60.4
202010,41.2
202011,38.6
202012,28.3
202101,26.5
202102,12.8
202103,39.4
202104,43.6
202105,55.0
202106,72.3
202107,75.3
202108,72.5
202109,65.0
202110,51.2
202111,38.2
202112,24.5
202201,19.1
202202,20.0
202203,33.4
202204,39.7
202205,55.4
202206,67.6
202207,74.6
202208,73.2
202209,65.4
202210,49.4
202211,29.2
202212,15.1
202301,19.9
202302,22.0
202303,23.9
202304,41.4
202305,61.2
202306,69.7
202307,70.8
202308,71.6
202309,64.9
202310,47.3
202311,37.1
202312,31.2
202401,16.4
202402,32.8
202403,34.0
