Tennessee December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,28.5
198502,36.2
198503,51.4
198504,59.8
198505,66.4
198506,73.1
198507,76.5
198508,74.8
198509,68.3
198510,62.8
198511,55.5
198512,33.8
198601,35.9
198602,43.6
198603,49.1
198604,59.1
198605,67.2
198606,75.3
198607,80.1
198608,74.6
198609,72.3
198610,59.6
198611,49.9
198612,39.3
198701,35.9
198702,42.0
198703,50.3
198704,55.0
198705,71.0
198706,75.0
198707,77.6
198708,78.4
198709,69.3
198710,52.5
198711,50.7
198712,42.6
198801,32.8
198802,37.8
198803,48.5
198804,57.2
198805,64.5
198806,73.7
198807,77.2
198808,78.2
198809,69.7
198810,52.4
198811,49.3
198812,39.6
198901,42.8
198902,38.2
198903,51.1
198904,56.4
198905,62.8
198906,72.2
198907,76.0
198908,75.0
198909,68.4
198910,58.4
198911,48.2
198912,29.4
199001,43.8
199002,48.0
199003,51.3
199004,56.0
199005,64.0
199006,73.9
199007,76.3
199008,76.0
199009,71.4
199010,57.7
199011,51.7
199012,43.0
199101,38.4
199102,42.7
199103,50.8
199104,60.9
199105,70.2
199106,74.2
199107,78.1
199108,75.5
199109,70.2
199110,59.5
199111,45.4
199112,43.2
199201,38.6
199202,45.1
199203,48.3
199204,57.2
199205,63.4
199206,70.4
199207,76.9
199208,71.8
199209,68.6
199210,56.6
199211,47.8
199212,39.2
199301,40.9
199302,38.4
199303,45.1
199304,54.6
199305,65.4
199306,73.5
199307,80.5
199308,77.3
199309,68.3
199310,56.8
199311,46.1
199312,39.2
199401,32.0
199402,41.8
199403,48.2
199404,60.2
199405,61.9
199406,75.4
199407,75.8
199408,73.9
199409,66.9
199410,58.9
199411,52.8
199412,43.7
199501,38.2
199502,39.0
199503,51.8
199504,58.7
199505,66.2
199506,72.0
199507,77.3
199508,79.4
199509,68.2
199510,58.4
199511,42.8
199512,37.3
199601,35.8
199602,39.1
199603,43.5
199604,54.5
199605,68.6
199606,73.4
199607,75.6
199608,75.0
199609,67.5
199610,58.5
199611,44.5
199612,42.7
199701,37.0
199702,45.0
199703,52.9
199704,53.0
199705,61.5
199706,70.9
199707,77.5
199708,74.2
199709,69.6
199710,57.7
199711,43.9
199712,38.9
199801,42.6
199802,44.4
199803,48.4
199804,56.8
199805,69.5
199806,75.8
199807,78.0
199808,76.4
199809,74.4
199810,61.6
199811,50.7
199812,43.3
199901,42.0
199902,44.7
199903,44.8
199904,61.4
199905,65.8
199906,74.4
199907,79.4
199908,77.0
199909,69.3
199910,58.4
199911,52.8
199912,41.5
200001,37.8
