Texas December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,40.3
198502,45.7
198503,59.4
198504,66.6
198505,73.6
198506,78.3
198507,81.0
198508,83.4
198509,76.0
198510,66.4
198511,57.6
198512,44.1
198601,48.9
198602,53.2
198603,59.7
198604,68.5
198605,72.3
198606,78.4
198607,82.8
198608,81.0
198609,77.2
198610,64.5
198611,53.8
198612,45.9
198701,45.0
198702,50.6
198703,53.2
198704,62.2
198705,72.1
198706,77.3
198707,80.6
198708,82.2
198709,74.4
198710,65.6
198711,55.0
198712,47.5
198801,42.0
198802,48.4
198803,56.2
198804,64.0
198805,71.3
198806,78.3
198807,81.1
198808,82.1
198809,75.6
198810,66.3
198811,58.1
198812,48.5
198901,50.0
198902,45.4
198903,57.6
198904,66.6
198905,75.3
198906,77.6
198907,81.6
198908,80.5
198909,73.1
198910,66.9
198911,56.9
198912,39.7
199001,50.2
199002,53.3
199003,57.3
199004,64.7
199005,72.8
199006,83.6
199007,79.9
199008,80.5
199009,76.4
199010,64.5
199011,58.3
199012,45.8
199101,43.4
199102,52.5
199103,59.3
199104,67.1
199105,74.6
199106,79.4
199107,80.9
199108,80.3
199109,72.4
199110,67.1
199111,50.9
199112,49.2
199201,45.4
199202,53.0
199203,58.9
199204,64.5
199205,69.6
199206,77.9
199207,81.4
199208,78.2
199209,76.0
199210,67.4
199211,51.8
199212,48.6
199301,45.5
199302,49.3
199303,56.0
199304,63.0
199305,70.6
199306,79.0
199307,83.1
199308,82.9
199309,75.0
199310,64.4
199311,51.0
199312,49.2
199401,46.6
199402,49.1
199403,58.4
199404,65.0
199405,71.5
199406,82.1
199407,82.9
199408,81.5
199409,74.4
199410,66.8
199411,58.0
199412,50.6
199501,48.0
199502,53.2
199503,56.5
199504,63.8
199505,72.4
199506,77.4
199507,82.7
199508,82.2
199509,75.4
199510,66.3
199511,55.9
199512,48.8
199601,45.9
199602,52.9
199603,53.1
199604,64.5
199605,78.5
199606,81.1
199607,83.6
199608,80.3
199609,73.9
199610,65.8
199611,55.9
199612,49.8
199701,44.9
199702,49.0
199703,59.4
199704,59.7
199705,70.5
199706,77.6
199707,82.7
199708,81.8
199709,78.0
199710,66.0
199711,52.5
199712,45.0
