Utah December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,23.1
198502,24.7
198503,35.8
198504,49.1
198505,56.9
198506,66.8
198507,72.8
198508,69.8
198509,56.7
198510,48.5
198511,33.8
198512,25.8
198601,30.9
198602,36.2
198603,44.2
198604,45.9
198605,54.6
198606,68.1
198607,69.6
198608,71.6
198609,56.4
198610,47.2
198611,37.5
198612,29.0
198701,24.4
198702,32.5
198703,36.5
198704,50.2
198705,56.3
198706,67.0
198707,69.3
198708,68.3
198709,61.6
198710,52.6
198711,36.2
198712,25.9
198801,21.9
198802,30.8
198803,36.6
198804,47.3
198805,54.8
198806,68.6
198807,74.1
198808,70.2
198809,59.6
198810,55.4
198811,36.7
198812,25.6
198901,20.8
198902,25.8
198903,42.8
198904,51.5
198905,56.1
198906,64.0
198907,74.5
198908,68.6
198909,61.7
198910,49.4
198911,38.6
198912,29.1
199001,28.4
199002,29.3
199003,41.5
199004,50.0
199005,54.1
199006,67.1
199007,72.7
199008,69.7
199009,65.1
199010,49.7
199011,36.9
199012,19.8
199101,22.6
199102,34.7
199103,36.2
199104,43.2
199105,52.5
199106,63.5
199107,72.3
199108,70.8
199109,61.3
199110,50.9
199111,35.3
199112,26.4
199201,24.7
199202,34.9
199203,42.0
199204,52.7
199205,58.8
199206,64.4
199207,69.3
199208,70.6
199209,62.2
199210,52.8
199211,31.9
199212,23.4
199301,25.6
199302,28.1
199303,40.4
199304,45.3
199305,57.2
199306,61.4
199307,67.9
199308,67.8
199309,60.5
199310,48.0
199311,32.1
199312,27.7
199401,30.9
199402,29.8
199403,42.4
199404,47.5
199405,57.8
199406,69.4
199407,74.1
199408,73.2
199409,63.4
199410,47.6
199411,30.6
199412,29.4
199501,29.4
199502,39.3
199503,39.6
199504,44.0
199505,50.6
199506,59.9
199507,69.9
199508,71.8
199509,62.6
199510,49.1
199511,41.9
199512,31.9
199601,29.2
199602,34.1
199603,40.0
199604,46.4
199605,56.9
199606,67.9
199607,74.2
199608,71.7
199609,59.0
199610,48.0
199611,37.6
199612,30.0
199701,27.3
199702,29.5
199703,41.6
199704,42.8
199705,58.0
199706,65.2
199707,69.8
199708,70.2
199709,61.7
199710,48.4
199711,37.3
199712,26.4
199801,31.8
199802,31.5
199803,38.1
199804,43.4
199805,53.7
199806,60.0
199807,73.6
199808,71.6
199809,63.0
199810,47.8
199811,38.0
199812,27.0
199901,31.9
199902,34.0
199903,41.9
199904,41.7
199905,52.8
199906,64.0
199907,71.7
199908,69.1
199909,59.8
199910,51.8
199911,42.4
199912,28.8
200001,31.9
200002,36.0
200003,38.8
200004,51.0
200005,59.3
200006,67.3
200007,74.0
200008,73.0
200009,62.0
200010,49.1
200011,29.8
200012,30.4
200101,26.3
200102,31.7
200103,41.4
200104,47.0
200105,59.3
200106,67.1
200107,72.9
200108,72.4
200109,65.2
200110,52.2
200111,39.3
200112,25.0
200201,26.1
200202,29.0
200203,36.0
200204,49.7
200205,56.3
200206,68.7
200207,76.2
200208,70.7
200209,61.0
200210,47.0
200211,35.9
200212,29.3
200301,35.2
200302,31.0
200303,40.3
200304,45.8
200305,57.4
200306,66.0
200307,77.2
200308,72.7
200309,62.2
200310,55.0
200311,34.1
200312,30.3
200401,24.2
200402,27.8
200403,45.6
200404,48.0
200405,57.0
200406,66.1
200407,72.2
200408,68.6
200409,60.2
