Virginia December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,29.5
198502,36.3
198503,47.2
198504,58.2
198505,64.4
198506,69.8
198507,73.7
198508,71.9
198509,66.8
198510,59.2
198511,53.6
198512,34.2
198601,33.6
198602,37.5
198603,45.4
198604,56.0
198605,63.8
198606,72.7
198607,77.4
198608,71.5
198609,67.6
198610,58.1
198611,46.6
198612,37.6
198701,32.7
198702,35.5
198703,45.1
198704,51.4
198705,65.5
198706,72.8
198707,77.4
198708,75.4
198709,68.0
198710,50.5
198711,48.3
198712,39.9
198801,29.5
198802,36.4
198803,45.5
198804,53.2
198805,62.3
198806,69.8
198807,76.0
198808,76.3
198809,65.2
198810,50.0
198811,46.3
198812,36.5
198901,39.5
198902,37.5
198903,45.7
198904,52.6
198905,60.4
198906,72.9
198907,74.6
198908,72.5
198909,67.1
198910,56.8
198911,45.8
198912,27.0
199001,42.0
199002,44.4
199003,49.3
199004,54.2
199005,62.2
199006,70.8
199007,75.6
199008,73.2
199009,66.4
199010,58.5
199011,49.3
199012,42.7
199101,37.1
199102,41.0
199103,47.4
199104,56.4
199105,68.6
199106,71.8
199107,76.9
199108,73.9
199109,67.4
199110,56.8
199111,45.3
199112,41.1
199201,37.4
199202,40.4
199203,44.2
199204,54.1
199205,59.2
199206,67.5
199207,75.6
199208,70.4
199209,66.8
199210,53.4
199211,46.6
199212,37.4
199301,38.8
199302,34.8
199303,41.3
199304,52.8
199305,64.2
199306,71.0
199307,78.2
199308,74.7
199309,68.4
199310,54.8
199311,46.3
199312,35.4
199401,29.4
199402,37.5
199403,45.2
199404,58.6
199405,59.3
199406,73.6
199407,76.0
199408,71.7
199409,65.1
199410,54.6
199411,50.4
199412,42.2
199501,37.3
199502,34.9
199503,47.7
199504,54.6
199505,62.6
199506,70.6
199507,76.3
199508,76.1
199509,66.1
199510,58.0
199511,41.9
199512,33.7
199601,32.9
199602,36.1
199603,40.5
199604,54.4
199605,62.9
199606,72.1
199607,73.3
199608,72.2
199609,66.2
199610,56.3
199611,41.0
199612,40.3
199701,35.2
199702,41.6
199703,48.0
199704,50.8
199705,58.8
199706,68.6
199707,75.3
199708,72.1
199709,66.4
199710,55.9
199711,43.3
199712,38.0
199801,40.7
199802,41.5
199803,45.4
199804,55.6
199805,65.5
199806,71.7
199807,75.3
199808,74.6
199809,71.6
199810,57.4
199811,47.4
199812,42.6
199901,39.0
199902,40.0
199903,42.3
199904,56.1
199905,62.9
199906,70.7
199907,77.6
199908,74.8
199909,66.0
199910,54.7
199911,51.4
199912,39.7
200001,34.0
200002,41.5
200003,49.6
200004,53.9
200005,65.7
200006,72.6
200007,72.3
200008,72.4
200009,65.7
200010,57.4
200011,43.6
200012,30.1
200101,34.3
200102,41.2
200103,42.0
200104,56.6
200105,63.0
200106,71.5
200107,71.9
200108,75.0
200109,64.8
200110,55.2
200111,51.2
200112,43.4
200201,39.2
200202,40.5
200203,46.3
200204,57.7
200205,62.0
200206,72.9
200207,76.6
200208,75.8
200209,69.4
200210,57.5
200211,44.8
200212,36.0
200301,31.1
200302,34.8
200303,48.0
200304,54.7
200305,61.7
200306,68.9
200307,74.5
200308,75.5
200309,66.7
200310,55.2
200311,51.5
200312,36.8
200401,32.1
200402,36.3
200403,47.8
200404,55.4
200405,68.9
200406,70.8
200407,74.6
200408,71.8
200409,67.9
200410,57.3
200411,49.5
200412,38.2
200501,37.7
200502,39.3
200503,41.8
200504,55.0
200505,59.8
200506,71.8
200507,77.1
200508,76.3
200509,70.4
200510,58.2
200511,48.7
200512,35.1
200601,42.4
200602,37.4
200603,46.1
200604,58.0
200605,61.1
200606,70.7
200607,75.9
200608,76.5
200609,64.8
200610,54.2
200611,48.7
200612,43.1
200701,39.9
200702,31.9
200703,49.2
200704,53.4
200705,64.4
200706,71.9
200707,73.8
200708,77.5
200709,69.4
200710,62.5
200711,46.2
200712,41.5
200801,36.0
200802,40.3
200803,46.8
200804,55.9
200805,61.3
200806,74.0
200807,74.6
200808,72.3
200809,68.2
200810,54.8
200811,44.1
200812,40.2
200901,32.6
200902,38.9
200903,45.1
200904,55.4
200905,64.1
200906,71.6
200907,71.9
200908,75.2
200909,66.6
200910,55.3
200911,49.5
200912,35.7
201001,32.7
201002,31.9
201003,47.4
201004,58.6
201005,66.2
201006,76.0
201007,77.9
201008,76.0
201009,70.0
201010,58.0
201011,46.3
201012,30.1
201101,32.1
201102,40.9
201103,46.0
201104,58.2
201105,64.8
201106,73.4
201107,77.8
201108,74.9
201109,68.2
201110,55.5
201111,49.4
201112,42.6
201201,38.9
201202,41.8
201203,55.2
201204,55.6
201205,67.3
201206,70.2
201207,78.7
201208,74.0
201209,66.9
201210,56.4
201211,42.7
201212,42.9
201301,38.5
201302,36.8
201303,40.1
201304,56.0
201305,62.5
201306,72.2
201307,75.6
201308,71.8
201309,66.3
201310,57.6
201311,43.7
201312,40.3
201401,29.4
201402,37.0
201403,40.7
201404,55.0
201405,65.2
201406,72.5
201407,73.4
201408,71.3
201409,68.1
201410,57.8
201411,42.1
