Vermont December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,11.5
198502,20.5
198503,29.4
198504,41.4
198505,53.2
198506,58.0
198507,65.6
198508,62.8
198509,57.2
198510,46.0
198511,34.5
198512,17.7
198601,16.7
198602,15.2
198603,30.1
198604,45.7
198605,55.7
198606,58.5
198607,64.4
198608,62.5
198609,53.9
198610,44.4
198611,30.9
198612,24.0
198701,15.5
198702,13.7
198703,30.6
198704,45.2
198705,52.9
198706,62.0
198707,67.2
198708,61.7
198709,55.6
198710,43.0
198711,33.3
198712,25.5
198801,15.4
198802,18.4
198803,27.2
198804,41.2
198805,54.9
198806,59.1
198807,68.5
198808,66.6
198809,54.2
198810,41.6
198811,34.9
198812,19.0
198901,20.4
198902,17.1
198903,26.0
198904,37.5
198905,55.3
198906,62.4
198907,66.2
198908,63.3
198909,57.2
198910,46.3
198911,32.6
198912,4.5
199001,26.2
199002,20.7
199003,30.2
199004,42.3
199005,49.6
199006,61.8
199007,66.2
199008,65.8
199009,55.7
199010,48.0
199011,35.5
199012,26.6
199101,15.7
199102,23.4
199103,31.2
199104,45.0
199105,56.1
199106,62.1
199107,65.5
199108,65.9
199109,53.8
199110,47.5
199111,34.8
199112,21.3
199201,16.4
199202,18.5
199203,23.8
199204,38.3
199205,52.5
199206,59.8
199207,61.9
199208,62.5
199209,56.2
199210,41.3
199211,32.4
199212,23.9
199301,19.6
199302,9.2
199303,25.2
199304,41.8
199305,52.9
199306,60.0
199307,66.7
199308,65.7
199309,55.3
199310,42.5
199311,33.5
199312,21.7
199401,5.4
199402,12.4
199403,27.1
199404,40.9
199405,50.7
199406,64.1
199407,68.7
199408,62.3
199409,55.0
199410,45.7
199411,37.6
199412,26.0
199501,24.1
199502,15.7
199503,32.3
199504,36.4
199505,51.3
199506,63.4
199507,68.8
199508,64.8
199509,53.1
199510,49.5
199511,31.2
199512,17.3
199601,15.1
199602,18.4
199603,25.9
199604,39.8
199605,50.2
199606,62.6
199607,64.9
199608,64.8
199609,58.1
199610,44.6
199611,30.3
199612,29.2
199701,15.9
199702,23.2
199703,24.8
199704,37.9
199705,47.6
199706,62.5
199707,64.3
199708,62.9
199709,55.3
199710,43.7
199711,32.0
199712,22.7
199801,21.7
199802,26.1
199803,31.3
199804,43.2
199805,58.1
199806,61.8
199807,65.6
199808,65.1
199809,57.8
199810,46.7
199811,35.5
199812,29.2
199901,17.0
199902,22.2
199903,28.9
199904,41.3
199905,55.5
199906,65.4
199907,68.5
199908,63.6
199909,60.6
199910,43.3
199911,39.3
199912,25.7
200001,15.0
200002,20.8
200003,34.1
200004,39.8
200005,52.9
200006,60.4
200007,63.1
200008,63.3
200009,55.5
200010,45.6
200011,34.8
200012,16.6
200101,17.8
200102,19.5
200103,25.2
200104,39.9
200105,54.8
200106,63.2
200107,63.6
200108,67.9
200109,57.4
200110,47.8
200111,38.5
200112,29.8
200201,25.2
200202,24.0
200203,29.7
200204,43.4
200205,49.4
200206,60.6
200207,66.5
200208,66.8
200209,60.4
200210,42.9
200211,32.3
200212,21.6
200301,9.5
200302,14.2
200303,27.8
200304,38.1
200305,51.9
200306,61.7
200307,66.5
200308,67.3
200309,58.4
200310,44.1
200311,36.5
200312,21.8
200401,7.2
200402,17.5
200403,31.6
200404,41.4
200405,54.9
200406,59.4
200407,65.7
200408,64.5
200409,58.3
200410,45.4
200411,34.8
200412,21.4
200501,13.9
200502,21.1
200503,25.1
200504,43.4
200505,48.7
200506,66.5
200507,68.6
200508,67.0
200509,60.6
200510,47.8
200511,37.0
200512,21.3
200601,26.0
200602,21.3
200603,28.9
200604,43.0
200605,54.2
200606,62.9
200607,69.2
200608,63.4
200609,56.4
200610,44.4
200611,40.5
200612,30.5
200701,19.6
200702,12.8
200703,25.8
200704,38.7
200705,53.3
200706,62.9
200707,64.6
200708,64.6
200709,58.8
200710,51.1
200711,32.4
200712,21.5
200801,21.5
200802,20.5
200803,25.8
200804,44.8
200805,50.0
200806,63.7
200807,67.0
200808,63.1
200809,58.5
200810,44.1
200811,34.7
200812,22.9
200901,10.9
200902,20.6
200903,29.6
200904,43.3
200905,52.5
200906,60.3
200907,64.0
200908,66.2
200909,55.8
200910,42.9
200911,39.4
200912,21.9
201001,20.1
201002,23.5
201003,35.9
201004,46.2
201005,56.0
201006,61.8
201007,69.4
201008,65.4
201009,59.2
201010,45.2
201011,35.0
201012,20.8
201101,15.7
201102,17.6
201103,27.5
201104,41.7
201105,56.2
201106,62.0
201107,68.5
201108,65.8
201109,60.8
201110,47.7
201111,40.2
201112,27.9
201201,21.4
201202,25.6
201203,38.7
201204,42.7
201205,57.5
201206,62.2
201207,68.0
201208,67.1
201209,57.2
201210,49.3
201211,33.1
201212,27.4
201301,18.6
201302,21.5
201303,29.5
201304,40.8
201305,55.1
201306,62.0
201307,69.7
201308,64.1
201309,56.5
201310,47.8
201311,31.8
201312,21.4
201401,14.6
201402,16.6
201403,18.6
201404,40.5
201405,53.6
201406,62.6
201407,66.5
201408,63.3
201409,57.5
201410,49.3
201411,33.3
201412,27.0
201501,12.2
201502,5.3
201503,22.3
201504,39.5
201505,58.6
201506,59.9
201507,66.2
201508,66.6
201509,62.4
201510,44.3
201511,39.2
201512,35.1
201601,20.9
201602,23.9
201603,33.6
201604,38.2
201605,54.0
201606,62.0
201607,67.4
201608,67.5
201609,59.9
201610,47.7
201611,36.8
201612,23.9
201701,24.8
201702,25.6
201703,23.5
201704,45.2
201705,51.8
201706,61.5
201707,65.2
201708,63.3
201709,60.8
201710,53.0
201711,33.0
201712,17.9
201801,16.5
201802,25.5
201803,28.2
201804,36.1
201805,56.5
201806,60.1
201807,69.2
201808,68.4
201809,60.6
201810,44.5
201811,30.0
201812,23.0
201901,14.9
201902,19.0
201903,25.9
201904,41.2
201905,50.8
201906,60.5
201907,68.9
201908,64.6
201909,56.8
201910,47.3
201911,29.3
201912,23.3
202001,23.4
202002,22.4
202003,33.0
202004,38.8
202005,52.6
202006,62.8
202007,70.9
202008,65.2
202009,57.2
202010,46.4
202011,37.9
202012,27.3
202101,20.5
202102,18.8
202103,30.9
202104,43.2
202105,53.3
202106,65.4
202107,64.9
202108,68.8
202109,59.5
202110,51.6
202111,34.3
202112,28.2
202201,11.8
202202,21.0
202203,30.7
202204,41.3
202205,56.9
202206,61.4
202207,67.4
202208,68.4
202209,57.8
202210,48.0
202211,38.6
202212,27.2
202301,27.4
202302,23.1
202303,30.4
202304,45.0
202305,51.8
202306,61.7
202307,69.8
202308,63.9
202309,61.0
202310,51.8
202311,32.9
202312,31.3
202401,23.4
202402,26.6
202403,33.9
