Wisconsin December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,10.2
198502,14.6
198503,34.1
198504,47.9
198505,58.6
198506,61.2
198507,67.9
198508,64.1
198509,58.0
198510,46.2
198511,26.6
198512,7.5
198601,14.7
198602,15.7
198603,32.1
198604,47.8
198605,57.2
198606,63.9
198607,70.1
198608,63.2
198609,58.1
198610,46.6
198611,28.0
198612,22.1
198701,19.4
198702,27.1
198703,35.1
198704,48.5
198705,58.4
198706,68.0
198707,71.8
198708,66.2
198709,59.2
198710,41.2
198711,36.1
198712,24.8
198801,9.8
198802,12.6
198803,30.5
198804,44.0
198805,59.5
198806,68.2
198807,72.4
198808,70.9
198809,59.3
198810,41.2
198811,33.9
198812,18.8
198901,21.1
198902,10.0
198903,25.0
198904,41.3
198905,54.2
198906,62.7
198907,70.3
198908,66.9
198909,57.3
198910,47.8
198911,28.2
198912,8.5
199001,24.1
199002,20.4
199003,33.3
199004,45.5
199005,51.8
199006,64.9
199007,67.8
199008,66.7
199009,60.3
199010,45.1
199011,36.9
199012,17.7
199101,10.6
199102,22.1
199103,32.0
199104,46.7
199105,59.6
199106,68.2
199107,68.4
199108,68.1
199109,56.4
199110,45.4
199111,26.3
199112,20.8
199201,20.3
199202,25.4
199203,30.1
199204,40.4
199205,56.2
199206,61.6
199207,63.3
199208,62.7
199209,56.4
199210,45.2
199211,30.5
199212,20.7
199301,15.1
199302,16.8
199303,28.4
199304,39.8
199305,54.8
199306,61.5
199307,67.9
199308,67.9
199309,52.5
199310,44.1
199311,30.2
199312,21.6
199401,3.9
199402,11.7
199403,31.6
199404,43.3
199405,55.4
199406,66.5
199407,67.0
199408,64.0
199409,61.1
199410,49.4
199411,36.5
199412,25.3
199501,16.8
199502,17.8
199503,32.3
199504,38.4
199505,53.8
199506,68.5
199507,70.0
199508,71.8
199509,56.4
199510,47.3
199511,24.4
199512,16.2
199601,10.1
199602,15.8
199603,23.1
199604,38.8
199605,51.5
199606,64.4
199607,65.7
199608,67.1
199609,58.8
199610,46.7
199611,25.8
199612,17.9
199701,11.6
199702,20.7
199703,28.9
199704,41.1
199705,49.3
199706,66.0
199707,67.7
199708,63.6
199709,59.4
199710,47.5
199711,29.7
199712,26.2
199801,20.3
199802,31.6
199803,31.3
199804,47.0
199805,60.9
199806,63.5
199807,69.4
199808,68.9
199809,63.1
199810,49.0
199811,37.2
199812,25.4
199901,12.0
199902,26.6
199903,31.8
199904,46.6
199905,58.0
199906,65.4
199907,72.4
199908,65.9
199909,57.8
199910,45.7
199911,39.6
199912,22.7
200001,15.1
200002,25.3
200003,38.4
200004,42.9
200005,57.1
200006,62.8
200007,67.6
200008,67.6
200009,58.1
200010,50.5
200011,32.4
200012,8.6
200101,19.1
200102,14.8
200103,28.0
200104,46.8
200105,57.0
200106,64.4
200107,70.0
200108,69.7
200109,57.3
200110,46.1
200111,43.2
200112,27.5
200201,24.0
200202,26.7
200203,24.8
200204,42.9
200205,50.8
200206,66.4
200207,72.7
200208,67.4
200209,61.6
200210,42.1
200211,31.4
200212,24.2
200301,13.7
200302,13.7
200303,29.1
200304,42.6
200305,53.8
200306,63.1
200307,68.4
200308,70.1
200309,59.4
200310,46.8
200311,32.9
200312,24.8
200401,10.7
200402,20.8
200403,33.6
200404,44.6
200405,53.1
200406,62.0
200407,66.8
200408,62.2
200409,63.1
200410,48.2
200411,36.7
200412,20.4
200501,14.2
200502,24.8
200503,27.4
200504,47.7
200505,52.7
200506,69.4
200507,70.7
200508,68.2
200509,63.3
200510,49.6
200511,34.5
200512,18.3
200601,27.7
200602,18.4
200603,31.6
200604,49.0
200605,56.5
200606,65.1
200607,72.8
200608,68.0
