West Virginia December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,23.9
198502,29.8
198503,43.6
198504,54.6
198505,61.6
198506,65.9
198507,70.8
198508,68.9
198509,64.2
198510,56.8
198511,50.6
198512,28.9
198601,28.6
198602,34.5
198603,41.2
198604,53.8
198605,61.1
198606,68.6
198607,73.6
198608,68.6
198609,65.5
198610,54.9
198611,43.6
198612,33.9
198701,29.3
198702,33.2
198703,43.0
198704,48.7
198705,63.9
198706,69.8
198707,73.8
198708,72.6
198709,64.5
198710,47.6
198711,45.2
198712,36.4
198801,26.4
198802,32.0
198803,41.9
198804,50.6
198805,59.7
198806,66.7
198807,73.7
198808,74.0
198809,63.1
198810,46.4
198811,43.5
198812,33.0
198901,36.8
198902,32.4
198903,44.2
198904,48.8
198905,56.4
198906,68.9
198907,72.2
198908,69.8
198909,64.0
198910,53.3
198911,42.0
198912,21.7
199001,38.0
199002,40.6
199003,46.1
199004,50.8
199005,58.9
199006,67.5
199007,71.5
199008,70.4
199009,64.3
199010,54.3
199011,46.2
199012,38.6
199101,32.6
199102,36.3
199103,43.8
199104,54.4
199105,67.1
199106,69.7
199107,74.0
199108,71.3
199109,64.3
199110,54.4
199111,41.2
199112,37.1
199201,32.1
199202,37.2
199203,40.8
199204,50.8
199205,57.6
199206,64.6
199207,72.1
199208,67.6
199209,64.2
199210,50.7
199211,43.9
199212,33.6
199301,36.3
199302,30.9
199303,37.8
199304,50.2
199305,60.8
199306,67.6
199307,74.6
199308,72.3
199309,64.6
199310,51.6
199311,43.0
199312,32.7
199401,24.0
199402,33.9
199403,40.5
199404,54.7
199405,55.4
199406,70.7
199407,72.7
199408,68.9
199409,62.1
199410,52.2
199411,47.8
199412,38.6
199501,32.4
199502,30.0
199503,44.3
199504,51.0
199505,59.2
199506,68.7
199507,73.1
199508,74.9
199509,62.6
199510,55.0
199511,38.2
199512,29.5
199601,29.5
199602,31.9
199603,36.2
199604,50.6
199605,60.6
199606,69.4
199607,69.3
199608,70.0
199609,63.2
199610,53.5
199611,37.2
199612,37.5
199701,30.7
199702,38.4
199703,44.6
199704,46.7
199705,54.8
199706,66.8
199707,71.8
199708,68.4
199709,62.5
199710,52.6
199711,39.7
199712,34.8
199801,37.6
199802,39.0
199803,42.6
199804,52.4
199805,63.4
199806,68.0
199807,71.6
199808,71.6
199809,67.7
199810,54.4
199811,44.0
199812,38.4
199901,34.5
199902,36.3
199903,36.8
199904,54.3
199905,60.8
199906,69.3
199907,75.3
199908,70.4
199909,63.3
199910,52.3
199911,47.6
199912,35.4
200001,29.5
200002,39.0
200003,46.1
200004,51.0
