Wyoming December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198501,14.2
198502,17.2
198503,29.3
198504,42.7
198505,51.9
198506,58.2
198507,67.1
198508,61.9
198509,49.3
198510,41.2
198511,19.1
198512,18.0
198601,25.2
198602,24.3
198603,38.4
198604,40.0
198605,47.6
198606,62.3
198607,63.2
198608,64.2
198609,49.9
198610,42.3
198611,28.3
198612,22.2
198701,19.8
198702,26.9
198703,29.9
198704,45.0
198705,52.7
198706,60.1
198707,64.4
198708,60.9
198709,54.6
198710,43.8
198711,31.5
198712,20.5
198801,16.7
198802,23.9
198803,29.2
198804,42.2
198805,50.8
198806,66.4
198807,68.4
198808,64.8
198809,53.4
198810,47.4
198811,29.1
198812,21.3
198901,21.0
198902,12.7
198903,32.2
198904,41.6
198905,49.5
198906,57.0
198907,68.6
198908,63.1
198909,53.9
198910,42.7
198911,32.3
198912,19.5
199001,24.0
199002,22.7
199003,32.0
199004,41.5
199005,46.6
199006,59.5
199007,64.9
199008,64.4
199009,59.3
199010,42.1
199011,32.5
199012,12.7
199101,16.9
199102,30.7
199103,31.8
199104,37.6
199105,48.5
199106,59.2
199107,65.6
199108,65.7
199109,54.5
199110,41.8
199111,25.9
199112,22.4
199201,22.5
199202,30.2
199203,36.7
199204,44.5
199205,52.7
199206,58.5
199207,60.8
199208,62.1
199209,54.5
199210,45.3
199211,25.8
199212,16.3
199301,16.3
199302,16.0
199303,32.0
199304,38.4
199305,50.8
199306,54.3
199307,58.9
199308,60.4
199309,51.5
199310,41.2
199311,23.9
199312,22.9
199401,23.5
199402,20.0
199403,34.4
199404,40.8
199405,53.9
199406,61.1
199407,65.1
199408,66.2
199409,57.0
199410,41.5
199411,26.1
199412,25.3
199501,22.3
199502,28.1
199503,31.3
199504,36.9
199505,44.4
199506,55.4
199507,63.5
199508,66.2
199509,54.1
199510,40.2
199511,33.0
199512,24.7
199601,17.4
199602,24.2
199603,27.9
199604,39.8
199605,47.1
199606,60.6
199607,66.2
199608,64.8
199609,52.3
199610,41.8
199611,29.1
199612,21.3
199701,18.8
199702,22.1
199703,32.9
199704,34.2
199705,49.5
199706,60.0
199707,64.2
199708,63.7
199709,56.4
199710,42.8
199711,28.8
199712,21.0
199801,22.7
199802,26.4
199803,28.4
199804,39.5
199805,50.4
199806,52.4
199807,68.0
199808,65.2
199809,59.9
199810,43.2
199811,33.1
199812,21.3
199901,24.6
199902,28.0
199903,34.4
199904,36.5
199905,46.7
199906,56.7
199907,66.0
199908,64.9
199909,51.0
199910,45.0
199911,38.8
199912,25.2
200001,24.0
200002,29.4
200003,33.4
200004,42.5
200005,51.3
200006,58.3
200007,68.2
200008,67.4
200009,54.1
200010,43.1
200011,19.8
200012,19.0
200101,20.9
200102,19.8
200103,32.5
200104,41.1
200105,51.3
200106,59.9
200107,68.6
200108,67.6
200109,58.1
200110,43.1
200111,34.3
200112,21.2
200201,20.2
200202,22.9
200203,24.8
200204,40.1
200205,47.7
200206,61.3
200207,69.8
200208,62.6
200209,55.2
200210,37.4
200211,29.6
200212,24.9
200301,28.0
200302,20.2
200303,32.0
200304,42.7
200305,49.8
200306,56.1
200307,70.2
200308,68.1
200309,52.9
200310,47.0
200311,24.8
200312,24.8
200401,20.8
200402,23.4
200403,36.5
200404,42.2
200405,49.4
200406,56.6
200407,64.6
200408,60.8
200409,54.2
200410,43.6
200411,31.0
200412,25.8
200501,24.6
200502,26.6
200503,32.5
200504,40.3
200505,47.9
200506,57.2
200507,68.0
200508,62.8
200509,55.6
200510,45.1
200511,32.9
200512,20.6
200601,26.9
200602,21.3
200603,30.2
200604,43.5
200605,51.2
200606,62.6
200607,70.1
200608,64.5
200609,51.9
200610,40.6
200611,31.6
200612,23.7
200701,16.5
200702,24.8
200703,37.6
200704,40.5
200705,51.1
200706,61.0
200707,70.7
200708,66.4
200709,55.6
200710,44.2
200711,33.1
200712,18.0
200801,16.2
200802,23.4
200803,28.4
200804,35.7
200805,46.8
200806,56.4
200807,67.0
200808,64.4
200809,52.8
200810,42.9
200811,35.3
200812,18.9
200901,23.4
200902,26.8
200903,30.8
200904,38.4
200905,50.0
200906,55.4
200907,63.6
200908,61.8
200909,57.4
200910,35.1
200911,33.9
200912,14.5
201001,22.2
201002,21.5
201003,34.2
201004,39.2
201005,44.0
201006,57.4
201007,65.1
201008,64.1
201009,56.3
201010,47.1
201011,28.5
201012,23.8
201101,20.3
201102,18.0
201103,32.0
201104,37.1
201105,44.2
201106,56.4
201107,67.3
201108,66.4
201109,56.4
201110,44.8
201111,28.8
201112,21.0
201201,25.1
201202,22.7
201203,39.4
